企業名,会計年度,四半期,y_hat_ml2,best_hyparam
アマノ,2019,Q3,27.901316085979886,[1000]
アマノ,2019,Q4,45.385148194891286,[1000]
アマノ,2020,Q1,5.7006425931413816,[1000]
アマノ,2020,Q2,25.649172414448444,[1000]
アマノ,2020,Q3,20.768193623089864,[1000]
アマノ,2020,Q4,36.69397347497083,[1000]
アミューズ,2018,Q1,60.13663535834674,[1000]
アミューズ,2018,Q2,4.3158090011805825,[1000]
アミューズ,2018,Q3,50.59875155489161,[1000]
アミューズ,2018,Q4,107.81438766649612,[1000]
アミューズ,2019,Q1,79.34147504245979,[1000]
アミューズ,2019,Q2,64.22993440489634,[1000]
アミューズ,2019,Q3,74.02819795789982,[1000]
アミューズ,2019,Q4,37.54697805627541,[1000]
アミューズ,2020,Q1,53.51198960303687,[1000]
アミューズ,2020,Q2,47.82379360349088,[1000]
アミューズ,2020,Q3,54.38848753741755,[1000]
アミューズ,2020,Q4,5.443119342747112,[1000]
アリアケジャパン,2018,Q1,61.95126735685166,[1000]
アリアケジャパン,2018,Q2,68.73071980788727,[1000]
アリアケジャパン,2018,Q3,80.68663808145683,[1000]
アリアケジャパン,2018,Q4,65.3690175696398,[1000]
アリアケジャパン,2019,Q1,-490.250382506054,[1000]
アリアケジャパン,2019,Q2,13.634268966309143,[1000]
アリアケジャパン,2019,Q3,63.24493641494246,[1000]
アリアケジャパン,2019,Q4,116.14676292539653,[1000]
アリアケジャパン,2020,Q1,15.732200417812198,[1000]
アリアケジャパン,2020,Q2,-8.894947138003673,[1000]
アリアケジャパン,2020,Q3,75.93844109248161,[1000]
アリアケジャパン,2020,Q4,102.5754458415428,[1000]
アルインコ,2018,Q1,-18.446147979004408,[1]
アルインコ,2018,Q2,36.7590008516881,[1]
アルインコ,2018,Q3,28.664887610793357,[1]
アルインコ,2018,Q4,7.659048975718115,[1]
アルインコ,2019,Q1,26.85623293569338,[1]
アルインコ,2019,Q2,36.49137221729265,[1]
アルインコ,2019,Q3,44.07734142033827,[1]
アルインコ,2019,Q4,10.960800799223112,[1]
アルインコ,2020,Q1,7.522039153947745,[1]
アルインコ,2020,Q2,-0.21413911774168248,[1]
アルインコ,2020,Q3,16.541541831001176,[1]
