企業名,会計年度,四半期,y_hat_mraf
アツギ,2019,Q2,-20.8311404369805
アツギ,2019,Q3,-27.4607
アツギ,2019,Q4,-104.654
アツギ,2020,Q1,-16.083399999999994
アツギ,2020,Q2,-102.51860000000002
アツギ,2020,Q3,-58.63179999999993
アツギ,2020,Q4,-33.852599999999974
アドウェイズ,2018,Q1,1.5148
アドウェイズ,2018,Q2,-4.674199999999999
アドウェイズ,2018,Q3,1.3456000000000004
アドウェイズ,2018,Q4,2.462899999999999
アドウェイズ,2019,Q1,5.033899999999999
アドウェイズ,2019,Q2,1.9554
アドウェイズ,2019,Q3,0.9699
アドウェイズ,2019,Q4,1.1976999999999998
アドウェイズ,2020,Q1,2.3966000000000003
アドウェイズ,2020,Q2,2.4828
アドウェイズ,2020,Q3,3.933700000000004
アドウェイズ,2020,Q4,5.922200000000001
アドソル日進,2018,Q1,14.01716580601574
アドソル日進,2018,Q2,13.89216560139361
アドソル日進,2018,Q3,20.864145437695907
アドソル日進,2018,Q4,16.512385765091313
アドソル日進,2019,Q1,19.34985987722672
アドソル日進,2019,Q2,20.815911448333768
アドソル日進,2019,Q3,20.17661995907557
アドソル日進,2019,Q4,20.30365987722673
アドソル日進,2020,Q1,21.91123991815115
アドソル日進,2020,Q2,22.36471995907557
アドソル日進,2020,Q3,22.283225887864592
アドソル日進,2020,Q4,22.41898576509131
アドバネクス,2018,Q1,3.394900000000004
アドバネクス,2018,Q2,2.5692000000000026
アドバネクス,2018,Q3,6.523700000000006
アドバネクス,2018,Q4,6.757200000000006
アドバネクス,2019,Q1,-5.470000000000002
アドバネクス,2019,Q2,-6.9640999999999975
アドバネクス,2019,Q3,1.5219999999999991
アドバネクス,2019,Q4,-6.389999999999999
アドバネクス,2020,Q1,-22.058900000000005
アドバネクス,2020,Q2,-34.53587013402222
アドバネクス,2020,Q3,-9.590100000000003
アドバネクス,2020,Q4,38.35179999999999
アドバンテスト,2018,Q1,32.28923921694625
アドバンテスト,2018,Q2,52.25522615363947
アドバンテスト,2018,Q3,71.31257845618492
アドバンテスト,2018,Q4,75.9646299972974
アドバンテスト,2019,Q1,59.46777153030209
アドバンテスト,2019,Q2,68.65646307681972
アドバンテスト,2019,Q3,64.50340000000001
アドバンテスト,2019,Q4,56.156563076819765
アドバンテスト,2020,Q1,67.85960845348231
アドバンテスト,2020,Q2,67.56306307681972
アドバンテスト,2020,Q3,68.26079999999995
アドバンテスト,2020,Q4,71.16809999999995
アドヴァングループ,2018,Q1,13.478399999999995
アドヴァングループ,2018,Q2,28.046000000000017
アドヴァングループ,2018,Q3,24.571100000000005
アドヴァングループ,2018,Q4,15.829000000000006
アドヴァングループ,2019,Q1,25.706800000000023
アドヴァングループ,2019,Q2,23.19004907225976
アドヴァングループ,2019,Q3,27.01434907225976
アドヴァングループ,2019,Q4,28.581899999999987
アドヴァングループ,2020,Q1,26.37580000000001
アドヴァングループ,2020,Q2,27.433800000000005
アドヴァングループ,2020,Q3,22.76684907225976
アドヴァングループ,2020,Q4,17.571100000000005
アネスト岩田,2018,Q1,17.720499999999998
アネスト岩田,2018,Q2,18.622599999999995
アネスト岩田,2018,Q3,16.8358
アネスト岩田,2018,Q4,20.0989
アネスト岩田,2019,Q1,17.41739999999999
アネスト岩田,2019,Q2,20.03290000000001
アネスト岩田,2019,Q3,16.0505
アネスト岩田,2019,Q4,16.527499999999996
アネスト岩田,2020,Q1,14.840100000000003
アネスト岩田,2020,Q2,21.14139999999999
アネスト岩田,2020,Q3,13.676000000000004
アネスト岩田,2020,Q4,18.153899999999997
アマダ,2018,Q1,20.159616717276226
アマダ,2018,Q2,19.44760510628004
アマダ,2018,Q3,21.671473373820973
アマダ,2018,Q4,25.30675835863809
アマダ,2019,Q1,18.495258358638097
アマダ,2019,Q2,26.79798668691049
アマダ,2019,Q3,16.420371671727622
アマダ,2019,Q4,25.49907167172761
アマダ,2020,Q1,7.925000000000002
アマダ,2020,Q2,15.740671671727624
アマダ,2020,Q3,12.065671671727625
アマダ,2020,Q4,17.704115015182868
アマノ,2018,Q1,19.764199999999995
アマノ,2018,Q2,39.01900000000005
アマノ,2018,Q3,31.25120000000001
アマノ,2018,Q4,44.00430000000003
アマノ,2019,Q1,16.6737
アマノ,2019,Q2,40.43310000000005
アマノ,2019,Q3,24.541900000000005
アマノ,2019,Q4,45.301400000000015
アマノ,2020,Q1,23.413400000000006
アマノ,2020,Q2,25.99340000000002
アマノ,2020,Q3,16.9067
アマノ,2020,Q4,43.091300000000025
アミューズ,2018,Q1,29.82760000000001
アミューズ,2018,Q2,27.21714174420304
アミューズ,2018,Q3,40.9892708721015
アミューズ,2018,Q4,47.97841261630453
アミューズ,2019,Q1,88.97059999999996
アミューズ,2019,Q2,56.36437087210152
アミューズ,2019,Q3,61.3947
アミューズ,2019,Q4,47.32308348840605
アミューズ,2020,Q1,32.68557087210152
アミューズ,2020,Q2,56.80969999999999
アミューズ,2020,Q3,60.91619999999999
アミューズ,2020,Q4,22.99178348840608
アリアケジャパン,2018,Q1,63.808099999999946
アリアケジャパン,2018,Q2,65.95789999999994
アリアケジャパン,2018,Q3,64.03259999999999
アリアケジャパン,2018,Q4,64.91969999999998
アリアケジャパン,2019,Q1,140.43900000000002
アリアケジャパン,2019,Q2,84.19999999999999
アリアケジャパン,2019,Q3,72.73160000000001
アリアケジャパン,2019,Q4,80.81549999999999
アリアケジャパン,2020,Q1,76.77050000000004
アリアケジャパン,2020,Q2,74.3346
アリアケジャパン,2020,Q3,66.83269999999995
アリアケジャパン,2020,Q4,66.27870000000001
アルインコ,2018,Q1,24.677199999999992
アルインコ,2018,Q2,32.14379999999998
アルインコ,2018,Q3,33.144199999999984
アルインコ,2018,Q4,25.1241
アルインコ,2019,Q1,25.30679999999999
アルインコ,2019,Q2,30.457599999999985
アルインコ,2019,Q3,39.70490000000003
アルインコ,2019,Q4,29.22620000000001
アルインコ,2020,Q1,23.850199999999997
アルインコ,2020,Q2,34.938699999999955
アルインコ,2020,Q3,30.056299999999982
アルインコ,2020,Q4,10.273199999999983
アルコニックス,2018,Q1,79.08312674089454
アルコニックス,2018,Q2,70.45080000000006
アルコニックス,2018,Q3,72.52950000000001
アルコニックス,2018,Q4,27.84270000000001
アルコニックス,2019,Q1,58.7774
アルコニックス,2019,Q2,47.367700000000006
アルコニックス,2019,Q3,65.76679999999999
アルコニックス,2019,Q4,21.82950000000001
アルコニックス,2020,Q1,44.72099999999998
アルコニックス,2020,Q2,39.55449999999998
アルコニックス,2020,Q3,43.59299999999997
アルコニックス,2020,Q4,40.06849999999997
アルゴグラフィックス,2018,Q1,60.76960000000002
アルゴグラフィックス,2018,Q2,67.1122
アルゴグラフィックス,2018,Q3,68.95369999999997
アルゴグラフィックス,2018,Q4,78.11919999999992
アルゴグラフィックス,2019,Q1,44.2998653842713
アルゴグラフィックス,2019,Q2,49.460521794757085
アルゴグラフィックス,2019,Q3,46.70772179475711
アルゴグラフィックス,2019,Q4,46.5003217947571
アルゴグラフィックス,2020,Q1,38.15930000000001
アルゴグラフィックス,2020,Q2,37.30200000000001
アルゴグラフィックス,2020,Q3,40.07500000000002
アルゴグラフィックス,2020,Q4,40.56779999999999
アルビス,2018,Q1,72.28579999999994
アルビス,2018,Q2,64.73539999999997
アルビス,2018,Q3,63.02040000000001
アルビス,2018,Q4,50.15850000000001
アルビス,2019,Q1,41.58220000000003
アルビス,2019,Q2,38.91960000000002
アルビス,2019,Q3,53.5149
アルビス,2019,Q4,30.073899999999995
アルビス,2020,Q1,67.31130000000003
アルビス,2020,Q2,61.721899999999984
アルビス,2020,Q3,62.40509999999997
アルビス,2020,Q4,28.867900000000027
アルファ,2018,Q1,30.245499999999986
アルファ,2018,Q2,65.08629999999994
アルファ,2018,Q3,61.00149999999998
アルファ,2018,Q4,72.58969999999995
アルファ,2019,Q1,59.35529999999999
アルファ,2019,Q2,57.36749999999998
アルファ,2019,Q3,16.344099999999994
アルファ,2019,Q4,68.24109999999997
アルファ,2020,Q1,43.685200000000016
アルファ,2020,Q2,5.508000000000001
アルファ,2020,Q3,9.7762
アルファ,2020,Q4,50.67120000000002
アルファシステムズ,2018,Q1,31.730899999999977
アルファシステムズ,2018,Q2,37.47926393098152
アルファシステムズ,2018,Q3,35.329527861963065
アルファシステムズ,2018,Q4,43.16105572392614
アルファシステムズ,2019,Q1,33.148955723926115
アルファシステムズ,2019,Q2,39.15047375843537
アルファシステムズ,2019,Q3,38.02679179294461
アルファシステムズ,2019,Q4,42.62618196549078
アルファシステムズ,2020,Q1,33.23456393098155
アルファシステムズ,2020,Q2,42.092881965490754
アルファシステムズ,2020,Q3,20.82266393098153
アルファシステムズ,2020,Q4,44.78705572392612
アルフレッサ　ホールディングス,2018,Q1,40.55323398145498
アルフレッサ　ホールディングス,2018,Q2,36.1058
アルフレッサ　ホールディングス,2018,Q3,48.48963398145497
アルフレッサ　ホールディングス,2018,Q4,53.25478932097001
アルフレッサ　ホールディングス,2019,Q1,50.77176796291
アルフレッサ　ホールディングス,2019,Q2,42.45597864194001
アルフレッサ　ホールディングス,2019,Q3,50.11483398145501
アルフレッサ　ホールディングス,2019,Q4,46.459833981455006
アルフレッサ　ホールディングス,2020,Q1,37.37904466048499
アルフレッサ　ホールディングス,2020,Q2,33.903400000000005
アルフレッサ　ホールディングス,2020,Q3,42.47104466048501
アルフレッサ　ホールディングス,2020,Q4,37.19460000000001
アルプスアルパイン,2018,Q1,38.148600000000016
アルプスアルパイン,2018,Q2,90.66849999999994
アルプスアルパイン,2018,Q3,81.69999999999997
アルプスアルパイン,2018,Q4,17.305099999999996
アルプスアルパイン,2019,Q1,15.717200000000002
アルプスアルパイン,2019,Q2,67.51479999999997
