企業名,会計年度,四半期,y_hat_men_i_tuned,best_hyparam
アイティフォー,2019,Q1,5.848310890860766,[10.   0.5]
アイティフォー,2019,Q2,9.813795472764312,[10.   0.5]
アイティフォー,2019,Q3,8.608585155597815,[10.   0.5]
アイティフォー,2019,Q4,20.255687665471907,[10.   0.5]
アイティフォー,2020,Q1,8.151666213045473,[10.   0.5]
アイティフォー,2020,Q2,12.584620332930866,[10.   0.5]
アイティフォー,2020,Q3,10.400927284888486,[10.   0.5]
アイティフォー,2020,Q4,21.370983717351436,[10.   0.5]
アイティメディア,2018,Q1,-1.4321436366802232,[0.01 0.9 ]
アイティメディア,2018,Q2,8.090201974783668,[0.01 0.9 ]
アイティメディア,2018,Q3,4.020168953873224,[0.01 0.9 ]
アイティメディア,2018,Q4,-0.9150389713151981,[0.01 0.9 ]
アイティメディア,2019,Q1,7.22993426065392,[0.01 0.9 ]
アイティメディア,2019,Q2,11.286056437946712,[0.01 0.9 ]
アイティメディア,2019,Q3,9.141288409616735,[0.01 0.9 ]
アイティメディア,2019,Q4,9.991416293944695,[0.01 0.9 ]
アイティメディア,2020,Q1,10.948574483161593,[0.01 0.9 ]
アイティメディア,2020,Q2,15.750417398006977,[0.01 0.9 ]
アイティメディア,2020,Q3,22.23690545135088,[0.01 0.9 ]
アイティメディア,2020,Q4,23.45190273659513,[0.01 0.9 ]
アイネス,2018,Q1,1.550058422254563,[10000.     0.]
アイネス,2018,Q2,14.894985689887953,[10000.     0.]
アイネス,2018,Q3,3.7809287690801407,[10000.     0.]
アイネス,2018,Q4,20.081901787035754,[10000.     0.]
アイネス,2019,Q1,5.095468563666619,[10000.     0.]
アイネス,2019,Q2,15.0683403897333,[10000.     0.]
アイネス,2019,Q3,6.232341780271632,[10000.     0.]
アイネス,2019,Q4,20.280496778566594,[10000.     0.]
アイネス,2020,Q1,14.490230917053978,[10000.     0.]
アイネス,2020,Q2,13.080235352190469,[10000.     0.]
アイネス,2020,Q3,17.955595267350365,[10000.     0.]
アイネス,2020,Q4,18.493804462253806,[10000.     0.]
アイネット,2018,Q1,12.383527747772064,[1.e-04 1.e+00]
アイネット,2018,Q2,26.173480893328247,[1.e-04 1.e+00]
アイネット,2018,Q3,29.87961407587852,[1.e-04 1.e+00]
アイネット,2018,Q4,20.415281283537723,[1.e-04 1.e+00]
アイネット,2019,Q1,24.464385816684967,[1.e-04 1.e+00]
アイネット,2019,Q2,36.873744056666624,[1.e-04 1.e+00]
アイネット,2019,Q3,26.26130394873553,[1.e-04 1.e+00]
アイネット,2019,Q4,21.95145407951054,[1.e-04 1.e+00]
アイネット,2020,Q1,4.201021946818628,[1.e-04 1.e+00]
アイネット,2020,Q2,28.475484974447852,[1.e-04 1.e+00]
アイネット,2020,Q3,27.883332334762173,[1.e-04 1.e+00]
アイネット,2020,Q4,30.83768825910125,[1.e-04 1.e+00]
アイホン,2018,Q1,18.049765030728935,[10.  0.]
アイホン,2018,Q2,75.34513279099026,[10.  0.]
アイホン,2018,Q3,25.822387013806228,[10.  0.]
アイホン,2018,Q4,59.99772754968467,[10.  0.]
アイホン,2019,Q1,41.821433930851896,[10.  0.]
アイホン,2019,Q2,82.66039160023102,[10.  0.]
アイホン,2019,Q3,17.15138161511209,[10.  0.]
アイホン,2019,Q4,28.709770869453152,[10.  0.]
アイホン,2020,Q1,3.4734532570129524,[10.  0.]
アイホン,2020,Q2,57.93782240486847,[10.  0.]
アイホン,2020,Q3,46.082437676720986,[10.  0.]
アイホン,2020,Q4,12.479122540786161,[10.  0.]
アイロムグループ,2018,Q1,19.356768526903068,[1.e+03 6.e-01]
アイロムグループ,2018,Q2,47.61726963992362,[1.e+03 6.e-01]
アイロムグループ,2018,Q3,31.82035260302409,[1.e+03 6.e-01]
アイロムグループ,2018,Q4,46.25579713341089,[1.e+03 6.e-01]
アイロムグループ,2019,Q1,11.857515803470953,[1.e+03 6.e-01]
アイロムグループ,2019,Q2,3.527584952558371,[1.e+03 6.e-01]
アイロムグループ,2019,Q3,24.6104947874179,[1.e+03 6.e-01]
アイロムグループ,2019,Q4,44.680696726363884,[1.e+03 6.e-01]
アイロムグループ,2020,Q1,-0.002422607341983962,[1.e+03 6.e-01]
アイロムグループ,2020,Q2,44.80125637319924,[1.e+03 6.e-01]
アイロムグループ,2020,Q3,96.7336006061739,[1.e+03 6.e-01]
アイロムグループ,2020,Q4,2.9739863593073608,[1.e+03 6.e-01]
アキレス,2018,Q1,7.043938824745535,[1.e+04 7.e-01]
アキレス,2018,Q2,7.67949438030109,[1.e+04 7.e-01]
アキレス,2018,Q3,8.342105953846763,[1.e+04 7.e-01]
アキレス,2018,Q4,7.416994380301091,[1.e+04 7.e-01]
アキレス,2019,Q1,7.506716602523314,[1.e+04 7.e-01]
アキレス,2019,Q2,8.000327713634425,[1.e+04 7.e-01]
アキレス,2019,Q3,8.515605491412202,[1.e+04 7.e-01]
アキレス,2019,Q4,9.574216602523313,[1.e+04 7.e-01]
アキレス,2020,Q1,11.035361580081558,[1.e+04 7.e-01]
アキレス,2020,Q2,15.484918939494015,[1.e+04 7.e-01]
アキレス,2020,Q3,16.821178092718547,[1.e+04 7.e-01]
