企業名,会計年度,四半期,y_hat_msvm
アイチコーポレーション,2019,Q3,14.380598248191237
アイチコーポレーション,2019,Q4,14.36627759009954
アイチコーポレーション,2020,Q1,13.35966698271331
アイチコーポレーション,2020,Q2,13.570089479124062
アイチコーポレーション,2020,Q3,13.007104399720156
アイチコーポレーション,2020,Q4,13.636013673103776
アイティフォー,2018,Q1,4.6000786165230325
アイティフォー,2018,Q2,6.218224442011365
アイティフォー,2018,Q3,4.844892050134183
アイティフォー,2018,Q4,9.791168715264293
アイティフォー,2019,Q1,4.376706235309463
アイティフォー,2019,Q2,7.604822201212151
アイティフォー,2019,Q3,5.958731986446018
アイティフォー,2019,Q4,9.39253143800246
アイティフォー,2020,Q1,5.601198490790983
アイティフォー,2020,Q2,8.068469612411892
アイティフォー,2020,Q3,7.3290216003476445
アイティフォー,2020,Q4,10.777944624485695
アイティメディア,2018,Q1,7.001337716347556
アイティメディア,2018,Q2,6.884411344620457
アイティメディア,2018,Q3,6.777726945699003
アイティメディア,2018,Q4,6.776782750185713
アイティメディア,2019,Q1,6.77623539913005
アイティメディア,2019,Q2,7.399837199061784
アイティメディア,2019,Q3,7.498451890524186
アイティメディア,2019,Q4,7.497204335541153
アイティメディア,2020,Q1,7.831384178609082
アイティメディア,2020,Q2,8.339366604264631
アイティメディア,2020,Q3,8.61030170890114
アイティメディア,2020,Q4,9.424796625608337
アイネス,2018,Q1,6.477645790107104
アイネス,2018,Q2,10.955415879445638
アイネス,2018,Q3,7.193863809737889
アイネス,2018,Q4,12.38960713871945
アイネス,2019,Q1,8.800178755087838
アイネス,2019,Q2,12.585969331086853
アイネス,2019,Q3,10.10505460176113
アイネス,2019,Q4,13.043331095163555
アイネス,2020,Q1,10.274148971365591
アイネス,2020,Q2,11.429334439361252
アイネス,2020,Q3,9.761461556901187
アイネス,2020,Q4,12.331152765054657
アイネット,2018,Q1,15.141353099936687
アイネット,2018,Q2,15.888634168046435
アイネット,2018,Q3,17.29955950817656
アイネット,2018,Q4,19.410740482066593
アイネット,2019,Q1,18.54843559196209
アイネット,2019,Q2,19.68947560908399
アイネット,2019,Q3,19.76052366562938
アイネット,2019,Q4,20.49157318065552
アイネット,2020,Q1,20.307391402669115
アイネット,2020,Q2,20.596606060381195
アイネット,2020,Q3,20.284462222473152
アイネット,2020,Q4,21.406143927005743
アイホン,2018,Q1,18.490100729441345
アイホン,2018,Q2,18.814995330242365
アイホン,2018,Q3,20.779914750748578
アイホン,2018,Q4,22.600203965044457
アイホン,2019,Q1,22.238871485770403
アイホン,2019,Q2,23.236626500464048
アイホン,2019,Q3,22.752197330514786
アイホン,2019,Q4,23.34861486092492
アイホン,2020,Q1,22.415435394728135
アイホン,2020,Q2,23.449685700096573
アイホン,2020,Q3,25.08503889313726
アイホン,2020,Q4,28.99614958379272
アイロムグループ,2018,Q1,-0.13988180690128227
