企業名,会計年度,四半期,y_hat_mlgb
アドウェイズ,2020,Q2,445.55084600154726
アドウェイズ,2020,Q3,352.27251403302785
アドウェイズ,2020,Q4,227.8580761032386
アドソル日進,2018,Q1,15.808182941542732
アドソル日進,2018,Q2,17.460682935184902
アドソル日進,2018,Q3,16.843460732036167
アドソル日進,2018,Q4,17.441794070932602
アドソル日進,2019,Q1,17.395682964060043
アドソル日進,2019,Q2,18.52540518840154
アドソル日進,2019,Q3,17.84623850054211
アドソル日進,2019,Q4,17.850405156612396
アドソル日進,2020,Q1,18.095127363999683
アドソル日進,2020,Q2,18.961516247855293
アドソル日進,2020,Q3,18.917905145221287
アドソル日進,2020,Q4,19.885960711373222
アドバネクス,2018,Q1,4.2500829473137856
アドバネクス,2018,Q2,4.603138510551718
アドバネクス,2018,Q3,4.334805183112621
アドバネクス,2018,Q4,4.085638515651226
アドバネクス,2019,Q1,3.787305175430245
アドバネクス,2019,Q2,2.5598051341043577
アドバネクス,2019,Q3,2.9225829102926784
アドバネクス,2019,Q4,2.514805131488376
アドバネクス,2020,Q1,-0.13047275278303358
アドバネクス,2020,Q2,-2.5938060416115656
アドバネクス,2020,Q3,-3.0090838140911527
アドバネクス,2020,Q4,4.227027671204673
アドバンテスト,2018,Q1,0.897027830282847
アドバンテスト,2018,Q2,3.624250008000268
アドバンテスト,2018,Q3,6.588694433371226
アドバンテスト,2018,Q4,10.035638935036129
アドバンテスト,2019,Q1,11.102861132886675
アドバンテスト,2019,Q2,12.67675001753701
