企業名,会計年度,四半期,y_hat_mmlp
アドバネクス,2018,Q4,-14.956771
アドバネクス,2019,Q1,-25.101776
アドバネクス,2019,Q2,2.840654
アドバネクス,2019,Q3,-0.06326301
アドバネクス,2019,Q4,-1.1322378
アドバネクス,2020,Q1,-16.708603
アドバネクス,2020,Q2,-66.00752
アドバネクス,2020,Q3,-30.2913
アドバネクス,2020,Q4,4.2276983
アドバンテスト,2018,Q1,22.77287
アドバンテスト,2018,Q2,27.047554
アドバンテスト,2018,Q3,33.465763
アドバンテスト,2018,Q4,52.994072
アドバンテスト,2019,Q1,10.081985
アドバンテスト,2019,Q2,49.95051
アドバンテスト,2019,Q3,51.062172
アドバンテスト,2019,Q4,63.231636
アドバンテスト,2020,Q1,65.02327
アドバンテスト,2020,Q2,68.71097
アドバンテスト,2020,Q3,50.27147
アドバンテスト,2020,Q4,74.750694
アドヴァングループ,2018,Q1,27.222584
アドヴァングループ,2018,Q2,27.026583
アドヴァングループ,2018,Q3,22.76464
アドヴァングループ,2018,Q4,21.972973
アドヴァングループ,2019,Q1,18.723461
アドヴァングループ,2019,Q2,17.366709
アドヴァングループ,2019,Q3,27.277884
アドヴァングループ,2019,Q4,20.994053
アドヴァングループ,2020,Q1,33.730495
アドヴァングループ,2020,Q2,31.585777
アドヴァングループ,2020,Q3,34.8139
アドヴァングループ,2020,Q4,30.090267
アネスト岩田,2018,Q1,20.763197
アネスト岩田,2018,Q2,12.598271
アネスト岩田,2018,Q3,26.512611
アネスト岩田,2018,Q4,26.05743
アネスト岩田,2019,Q1,14.117188
アネスト岩田,2019,Q2,26.886723
アネスト岩田,2019,Q3,24.547989
アネスト岩田,2019,Q4,12.707761
アネスト岩田,2020,Q1,14.765711
アネスト岩田,2020,Q2,14.273007
アネスト岩田,2020,Q3,11.153059
アネスト岩田,2020,Q4,13.149368
アマダ,2018,Q1,10.506468
アマダ,2018,Q2,22.738554
アマダ,2018,Q3,31.555864
アマダ,2018,Q4,18.339779
アマダ,2019,Q1,13.787061
アマダ,2019,Q2,26.92911
アマダ,2019,Q3,22.727255
アマダ,2019,Q4,17.429535
アマダ,2020,Q1,10.004628
アマダ,2020,Q2,22.755718
アマダ,2020,Q3,15.78458
アマダ,2020,Q4,16.195934
アマノ,2018,Q1,15.036429
アマノ,2018,Q2,37.93151
アマノ,2018,Q3,32.124184
アマノ,2018,Q4,44.4619
アマノ,2019,Q1,18.468657
アマノ,2019,Q2,31.528202
アマノ,2019,Q3,25.501442
アマノ,2019,Q4,46.0808
アマノ,2020,Q1,24.0907
アマノ,2020,Q2,41.230602
アマノ,2020,Q3,44.8641
アマノ,2020,Q4,25.368263
アミューズ,2018,Q1,49.487583
アミューズ,2018,Q2,29.654123
アミューズ,2018,Q3,40.494553
アミューズ,2018,Q4,113.436325
アミューズ,2019,Q1,85.14491
アミューズ,2019,Q2,111.309906
アミューズ,2019,Q3,68.956055
アミューズ,2019,Q4,32.405483
アミューズ,2020,Q1,13.289699
アミューズ,2020,Q2,87.41082
アミューズ,2020,Q3,129.50764
アミューズ,2020,Q4,47.12931
アリアケジャパン,2018,Q1,46.956936
アリアケジャパン,2018,Q2,61.568962
アリアケジャパン,2018,Q3,33.6101
アリアケジャパン,2018,Q4,45.71338
アリアケジャパン,2019,Q1,-0.7915013
アリアケジャパン,2019,Q2,83.1688
アリアケジャパン,2019,Q3,63.840256
アリアケジャパン,2019,Q4,94.75277
アリアケジャパン,2020,Q1,68.74041
アリアケジャパン,2020,Q2,63.64277
アリアケジャパン,2020,Q3,72.33522
アリアケジャパン,2020,Q4,76.61905
アルインコ,2018,Q1,21.237799
アルインコ,2018,Q2,25.162426
アルインコ,2018,Q3,28.098251
アルインコ,2018,Q4,0.011766763
アルインコ,2019,Q1,17.882128
アルインコ,2019,Q2,28.834679
アルインコ,2019,Q3,22.495667
アルインコ,2019,Q4,17.08399
アルインコ,2020,Q1,41.844692
