企業名,会計年度,四半期,y_hat
アイチコーポレーション,2020,Q2,17.55459274276903
アイチコーポレーション,2020,Q3,12.275539488400652
アイチコーポレーション,2020,Q4,30.866859807865755
アイティフォー,2018,Q1,4.892944799638725
アイティフォー,2018,Q2,6.041304121602723
アイティフォー,2018,Q3,12.42178892170665
アイティフォー,2018,Q4,23.7666928826362
アイティフォー,2019,Q1,5.962300850147891
アイティフォー,2019,Q2,9.79353450857159
アイティフォー,2019,Q3,8.550601835724585
アイティフォー,2019,Q4,21.304766913580565
アイティフォー,2020,Q1,8.859841230050453
アイティフォー,2020,Q2,13.80010575741172
アイティフォー,2020,Q3,11.233067792573205
アイティフォー,2020,Q4,23.826639661666505
アイティメディア,2018,Q1,-2.133973687878324
アイティメディア,2018,Q2,8.122655189096122
アイティメディア,2018,Q3,3.6228173441841705
アイティメディア,2018,Q4,-2.098398471004714
アイティメディア,2019,Q1,7.011510188552137
