企業名,会計年度,四半期,y_hat_ml2_i_tuned,best_hyparam
アクセル,2019,Q4,-10.320304440789108,[100.]
アクセル,2020,Q1,28.904310139062794,[100.]
アクセル,2020,Q2,2.003412737510047,[100.]
アクセル,2020,Q3,12.811257391301055,[100.]
アクセル,2020,Q4,5.547332379993371,[100.]
アジアパイルホールディングス,2018,Q1,5.533191096070517,[29.8364724]
アジアパイルホールディングス,2018,Q2,0.476330200002387,[29.8364724]
アジアパイルホールディングス,2018,Q3,4.160915329301076,[29.8364724]
アジアパイルホールディングス,2018,Q4,24.150616675025304,[29.8364724]
アジアパイルホールディングス,2019,Q1,51.82904334513518,[29.8364724]
アジアパイルホールディングス,2019,Q2,7.917810929911546,[29.8364724]
アジアパイルホールディングス,2019,Q3,23.509173962085278,[29.8364724]
アジアパイルホールディングス,2019,Q4,11.72380324815094,[29.8364724]
アジアパイルホールディングス,2020,Q1,14.150075999697627,[29.8364724]
アジアパイルホールディングス,2020,Q2,12.98522362097723,[29.8364724]
アジアパイルホールディングス,2020,Q3,18.145394658480818,[29.8364724]
アジアパイルホールディングス,2020,Q4,8.001107553448843,[29.8364724]
アステラス製薬,2018,Q1,32.03833323589032,[100.]
アステラス製薬,2018,Q2,31.758254694899236,[100.]
アステラス製薬,2018,Q3,50.00208634187436,[100.]
アステラス製薬,2018,Q4,23.198685115974197,[100.]
アステラス製薬,2019,Q1,40.68520468875899,[100.]
アステラス製薬,2019,Q2,28.899721636510876,[100.]
アステラス製薬,2019,Q3,32.92502391281493,[100.]
アステラス製薬,2019,Q4,26.909935605081756,[100.]
アステラス製薬,2020,Q1,24.55119869999096,[100.]
アステラス製薬,2020,Q2,41.81655663482785,[100.]
アステラス製薬,2020,Q3,49.09646742692687,[100.]
アステラス製薬,2020,Q4,20.182775042544897,[100.]
アズビル,2018,Q1,49.024286737593854,[100.]
アズビル,2018,Q2,50.753752372726694,[100.]
アズビル,2018,Q3,19.06688446284764,[100.]
アズビル,2018,Q4,192.56689368645107,[100.]
アズビル,2019,Q1,47.26453625958294,[100.]
アズビル,2019,Q2,-35.50181975417294,[100.]
アズビル,2019,Q3,-57.84326830578152,[100.]
