企業名,会計年度,四半期,y_hat_mraf,best_hyparam
アイチコーポレーション,2020,Q2,15.21785000000016,[2000 10]
アイチコーポレーション,2020,Q3,11.535650000000125,[2000 10]
アイチコーポレーション,2020,Q4,22.632500000000093,[2000 10]
アイティフォー,2018,Q1,3.287400000000001,[100 10]
アイティフォー,2018,Q2,7.302199999999998,[100 10]
アイティフォー,2018,Q3,7.551300000000003,[100 10]
アイティフォー,2018,Q4,18.15310000000001,[100 10]
アイティフォー,2019,Q1,7.2909000000000015,[100 10]
アイティフォー,2019,Q2,8.581299999999999,[100 10]
アイティフォー,2019,Q3,8.9907,[100 10]
アイティフォー,2019,Q4,17.830700000000004,[100 10]
アイティフォー,2020,Q1,10.849500000000004,[100 10]
アイティフォー,2020,Q2,13.382500000000013,[100 10]
アイティフォー,2020,Q3,11.9781,[100 10]
アイティフォー,2020,Q4,19.750100000000018,[100 10]
アイティメディア,2018,Q1,5.6662813320737895,[500 10]
アイティメディア,2018,Q2,6.380935330949194,[500 10]
アイティメディア,2018,Q3,6.215264665002276,[500 10]
アイティメディア,2018,Q4,7.46637062840891,[500 10]
アイティメディア,2019,Q1,5.287345014726176,[500 10]
アイティメディア,2019,Q2,6.060839679053706,[500 10]
アイティメディア,2019,Q3,6.417489999325247,[500 10]
アイティメディア,2019,Q4,8.826677294625734,[500 10]
アイティメディア,2020,Q1,9.141686841722963,[500 10]
アイティメディア,2020,Q2,9.690257509019393,[500 10]
アイティメディア,2020,Q3,11.54278270458855,[500 10]
アイティメディア,2020,Q4,14.050661536500291,[500 10]
アイネス,2018,Q1,-3.2947000000000037,[100 10]
アイネス,2018,Q2,16.93729999999999,[100 10]
アイネス,2018,Q3,0.3014,[100 10]
アイネス,2018,Q4,18.5423,[100 10]
アイネス,2019,Q1,12.797900000000004,[100 10]
アイネス,2019,Q2,18.9331,[100 10]
アイネス,2019,Q3,11.457500000000003,[100 10]
アイネス,2019,Q4,3.0359000000000003,[100 10]
アイネス,2020,Q1,14.2097,[100 10]
アイネス,2020,Q2,-1.1853000000000002,[100 10]
アイネス,2020,Q3,11.51505000000001,[100 10]
アイネス,2020,Q4,6.899100000000001,[100 10]
アイネット,2018,Q1,14.912855510285777,[2000 100]
アイネット,2018,Q2,25.725364691828982,[2000 100]
アイネット,2018,Q3,23.651534348035646,[2000 100]
アイネット,2018,Q4,25.8549034975588,[2000 100]
アイネット,2019,Q1,19.612073593212333,[2000 100]
アイネット,2019,Q2,26.882289418874432,[2000 100]
アイネット,2019,Q3,25.529686165852752,[2000 100]
アイネット,2019,Q4,26.850695365004466,[2000 100]
