企業名,会計年度,四半期,y_hat_men,best_hyparam
アイネス,2020,Q3,18.005741762794855,[1.e+03 1.e-01]
アイネス,2020,Q4,20.74808804085525,[1.e+03 1.e-01]
アイネット,2018,Q1,13.999833680540227,[0.001 1.   ]
アイネット,2018,Q2,25.330734826587275,[0.001 1.   ]
アイネット,2018,Q3,28.912693106030247,[0.001 1.   ]
アイネット,2018,Q4,23.803997681381247,[0.001 1.   ]
アイネット,2019,Q1,21.5213099327882,[0.001 1.   ]
アイネット,2019,Q2,31.19289236929677,[0.001 1.   ]
アイネット,2019,Q3,24.776563069044983,[0.001 1.   ]
アイネット,2019,Q4,24.552872046146774,[0.001 1.   ]
アイネット,2020,Q1,1.3301930848706434,[0.001 1.   ]
アイネット,2020,Q2,24.15079857547228,[0.001 1.   ]
アイネット,2020,Q3,23.17281760141747,[0.001 1.   ]
アイネット,2020,Q4,33.60931369826294,[0.001 1.   ]
アイホン,2018,Q1,18.049765030728565,[10.  0.]
アイホン,2018,Q2,75.34513279099033,[10.  0.]
アイホン,2018,Q3,25.822387013806015,[10.  0.]
アイホン,2018,Q4,59.99772754968493,[10.  0.]
アイホン,2019,Q1,41.82143393085181,[10.  0.]
アイホン,2019,Q2,82.66039160023085,[10.  0.]
アイホン,2019,Q3,17.151381615111735,[10.  0.]
アイホン,2019,Q4,28.70977086945325,[10.  0.]
アイホン,2020,Q1,3.4734532570128387,[10.  0.]
アイホン,2020,Q2,57.93782240486763,[10.  0.]
アイホン,2020,Q3,46.08243767672093,[10.  0.]
アイホン,2020,Q4,12.479122540785877,[10.  0.]
アイロムグループ,2018,Q1,19.35676852690338,[1.e+03 6.e-01]
アイロムグループ,2018,Q2,47.617269639924785,[1.e+03 6.e-01]
アイロムグループ,2018,Q3,31.820352603023707,[1.e+03 6.e-01]
アイロムグループ,2018,Q4,46.25579713341062,[1.e+03 6.e-01]
アイロムグループ,2019,Q1,11.857515803471145,[1.e+03 6.e-01]
アイロムグループ,2019,Q2,3.5275849525589535,[1.e+03 6.e-01]
アイロムグループ,2019,Q3,24.610494787418105,[1.e+03 6.e-01]
アイロムグループ,2019,Q4,44.68069672636404,[1.e+03 6.e-01]
アイロムグループ,2020,Q1,-0.002422607342047911,[1.e+03 6.e-01]
アイロムグループ,2020,Q2,44.80125637319904,[1.e+03 6.e-01]
アイロムグループ,2020,Q3,96.73360060617361,[1.e+03 6.e-01]
アイロムグループ,2020,Q4,2.9739863593074602,[1.e+03 6.e-01]
アキレス,2018,Q1,31.50902896802394,[100.    0.5]
アキレス,2018,Q2,24.962532501085636,[100.    0.5]
アキレス,2018,Q3,28.564737281395733,[100.    0.5]
アキレス,2018,Q4,5.900451357092921,[100.    0.5]
アキレス,2019,Q1,12.410975960751424,[100.    0.5]
アキレス,2019,Q2,2.3397365222928506,[100.    0.5]
アキレス,2019,Q3,1.8370322408167894,[100.    0.5]
アキレス,2019,Q4,8.405483218108994,[100.    0.5]
アキレス,2020,Q1,17.63202986485639,[100.    0.5]
アキレス,2020,Q2,67.13184021559807,[100.    0.5]
アキレス,2020,Q3,30.429024615572295,[100.    0.5]
アキレス,2020,Q4,30.675131178877116,[100.    0.5]
アクシアル　リテイリング,2018,Q1,62.34568882054096,[10.   0.3]
アクシアル　リテイリング,2018,Q2,82.1059268340389,[10.   0.3]
アクシアル　リテイリング,2018,Q3,91.45546235328882,[10.   0.3]
アクシアル　リテイリング,2018,Q4,54.47236332660449,[10.   0.3]
アクシアル　リテイリング,2019,Q1,80.73135480707838,[10.   0.3]
アクシアル　リテイリング,2019,Q2,72.38848711833033,[10.   0.3]
アクシアル　リテイリング,2019,Q3,83.6432916287913,[10.   0.3]
アクシアル　リテイリング,2019,Q4,60.17417774956772,[10.   0.3]
アクシアル　リテイリング,2020,Q1,101.27151992721558,[10.   0.3]
アクシアル　リテイリング,2020,Q2,94.60469900985828,[10.   0.3]
アクシアル　リテイリング,2020,Q3,97.38692088807406,[10.   0.3]
アクシアル　リテイリング,2020,Q4,44.74247338508916,[10.   0.3]
アクセル,2018,Q1,-12.085857110380722,[10.  1.]
アクセル,2018,Q2,-6.453510943474054,[10.  1.]
アクセル,2018,Q3,-3.1777600442615475,[10.  1.]
アクセル,2018,Q4,-11.372358067378036,[10.  1.]
アクセル,2019,Q1,1.1543960049995299,[10.  1.]
アクセル,2019,Q2,-6.701920787610604,[10.  1.]
アクセル,2019,Q3,14.341230717421093,[10.  1.]
アクセル,2019,Q4,-1.3755855540041928,[10.  1.]
アクセル,2020,Q1,28.08593316352362,[10.  1.]
アクセル,2020,Q2,-5.61519029072312,[10.  1.]
アクセル,2020,Q3,9.236766803379272,[10.  1.]
アクセル,2020,Q4,16.721286287203213,[10.  1.]
アジアパイルホールディングス,2018,Q1,9.018055555555556,[1.e+03 5.e-01]
アジアパイルホールディングス,2018,Q2,10.02582844087969,[1.e+03 5.e-01]
アジアパイルホールディングス,2018,Q3,11.426844456628586,[1.e+03 5.e-01]
アジアパイルホールディングス,2018,Q4,12.19033995331305,[1.e+03 5.e-01]
アジアパイルホールディングス,2019,Q1,12.014444444444445,[1.e+03 5.e-01]
アジアパイルホールディングス,2019,Q2,12.817777777777778,[1.e+03 5.e-01]
アジアパイルホールディングス,2019,Q3,14.927777777777777,[1.e+03 5.e-01]
アジアパイルホールディングス,2019,Q4,15.755277777777776,[1.e+03 5.e-01]
アジアパイルホールディングス,2020,Q1,16.342777777777776,[1.e+03 5.e-01]
アジアパイルホールディングス,2020,Q2,17.245,[1.e+03 5.e-01]
アジアパイルホールディングス,2020,Q3,17.589999999999996,[1.e+03 5.e-01]
アジアパイルホールディングス,2020,Q4,17.489444444444445,[1.e+03 5.e-01]
アステラス製薬,2018,Q1,33.59991500789126,[100.   0.]
アステラス製薬,2018,Q2,27.365517424576673,[100.   0.]
アステラス製薬,2018,Q3,35.53779862264126,[100.   0.]
アステラス製薬,2018,Q4,16.172670021211637,[100.   0.]
アステラス製薬,2019,Q1,36.23674882360743,[100.   0.]
アステラス製薬,2019,Q2,26.640988183528137,[100.   0.]
アステラス製薬,2019,Q3,32.61851871999967,[100.   0.]
アステラス製薬,2019,Q4,14.429167126222007,[100.   0.]
アステラス製薬,2020,Q1,28.498248885473647,[100.   0.]
アステラス製薬,2020,Q2,34.44619668858634,[100.   0.]
アステラス製薬,2020,Q3,33.5006167786524,[100.   0.]
アステラス製薬,2020,Q4,13.138582655201864,[100.   0.]
アズビル,2018,Q1,15.23516152313438,[100.    0.8]
アズビル,2018,Q2,47.036879680769616,[100.    0.8]
アズビル,2018,Q3,-12.985504508644425,[100.    0.8]
アズビル,2018,Q4,86.25857563028121,[100.    0.8]
アズビル,2019,Q1,7.592181429530143,[100.    0.8]
アズビル,2019,Q2,26.146708073794684,[100.    0.8]
アズビル,2019,Q3,-2.852494049916487,[100.    0.8]
アズビル,2019,Q4,35.410749574998434,[100.    0.8]
アズビル,2020,Q1,6.90829828274633,[100.    0.8]
アズビル,2020,Q2,29.602718637685555,[100.    0.8]
アズビル,2020,Q3,34.15891211963719,[100.    0.8]
アズビル,2020,Q4,50.7805765103483,[100.    0.8]
アズワン,2018,Q1,70.87726989697472,[1.e+03 4.e-01]
アズワン,2018,Q2,62.12411773286577,[1.e+03 4.e-01]
アズワン,2018,Q3,66.27212314174284,[1.e+03 4.e-01]
アズワン,2018,Q4,77.96185204922024,[1.e+03 4.e-01]
アズワン,2019,Q1,73.34904896583642,[1.e+03 4.e-01]
アズワン,2019,Q2,64.21159802655679,[1.e+03 4.e-01]
アズワン,2019,Q3,70.20530624574928,[1.e+03 4.e-01]
アズワン,2019,Q4,80.1650383065922,[1.e+03 4.e-01]
アズワン,2020,Q1,77.9858579536612,[1.e+03 4.e-01]
アズワン,2020,Q2,70.80900585459067,[1.e+03 4.e-01]
アズワン,2020,Q3,86.76769227441189,[1.e+03 4.e-01]
アズワン,2020,Q4,87.21248272591366,[1.e+03 4.e-01]
アツギ,2018,Q1,1.2128605041937404,[1000.    1.]
アツギ,2018,Q2,0.8014716153048512,[1000.    1.]
アツギ,2018,Q3,1.2220271708604067,[1000.    1.]
アツギ,2018,Q4,1.2745271708604067,[1000.    1.]
アツギ,2019,Q1,-65.72136863225327,[1000.    1.]
アツギ,2019,Q2,-40.920004242076054,[1000.    1.]
アツギ,2019,Q3,-23.59306269699642,[1000.    1.]
アツギ,2019,Q4,-66.21299459089772,[1000.    1.]
アツギ,2020,Q1,-64.08111864841695,[1000.    1.]
アツギ,2020,Q2,-153.7182737996975,[1000.    1.]
アツギ,2020,Q3,-62.17261309613612,[1000.    1.]
アツギ,2020,Q4,-56.97090558423851,[1000.    1.]
アドウェイズ,2018,Q1,-2.0535212779678247,[100.   0.]
アドウェイズ,2018,Q2,-3.027438982048886,[100.   0.]
アドウェイズ,2018,Q3,7.382697447585874,[100.   0.]
アドウェイズ,2018,Q4,-1.5228578350727264,[100.   0.]
アドウェイズ,2019,Q1,-8.03929857803929,[100.   0.]
アドウェイズ,2019,Q2,1.6302236623291257,[100.   0.]
アドウェイズ,2019,Q3,-0.8730418069095054,[100.   0.]
アドウェイズ,2019,Q4,-0.9731772475169724,[100.   0.]
アドウェイズ,2020,Q1,-8.406219692753666,[100.   0.]
アドウェイズ,2020,Q2,-7.904567169809968,[100.   0.]
アドウェイズ,2020,Q3,-0.9965019567852407,[100.   0.]
アドウェイズ,2020,Q4,3.3763566902661664,[100.   0.]
アドソル日進,2018,Q1,16.652734066491398,[10.  1.]
アドソル日進,2018,Q2,17.371048612360536,[10.  1.]
アドソル日進,2018,Q3,17.32852704277849,[10.  1.]
アドソル日進,2018,Q4,14.25426736343897,[10.  1.]
アドソル日進,2019,Q1,22.260993581724826,[10.  1.]
アドソル日進,2019,Q2,23.993277675332422,[10.  1.]
アドソル日進,2019,Q3,24.204771027121694,[10.  1.]
アドソル日進,2019,Q4,18.62672612408286,[10.  1.]
アドソル日進,2020,Q1,25.686737144149358,[10.  1.]
アドソル日進,2020,Q2,25.21335462118731,[10.  1.]
アドソル日進,2020,Q3,25.467587706132772,[10.  1.]
アドソル日進,2020,Q4,17.219881823815115,[10.  1.]
アドバンテスト,2018,Q1,71.48477332925847,[10.  1.]
アドバンテスト,2018,Q2,79.20918292226614,[10.  1.]
アドバンテスト,2018,Q3,82.33118808340495,[10.  1.]
アドバンテスト,2018,Q4,50.60290359018073,[10.  1.]
アドバンテスト,2019,Q1,59.662666084590704,[10.  1.]
アドバンテスト,2019,Q2,78.57179595526783,[10.  1.]
アドバンテスト,2019,Q3,59.47146715025776,[10.  1.]
アドバンテスト,2019,Q4,52.584378816701445,[10.  1.]
アドバンテスト,2020,Q1,62.120398603673536,[10.  1.]
アドバンテスト,2020,Q2,67.81740132956926,[10.  1.]
アドバンテスト,2020,Q3,68.62459970068096,[10.  1.]
アドバンテスト,2020,Q4,89.39387603768817,[10.  1.]
アドヴァングループ,2018,Q1,-7.483860095105069,[1. 0.]
アドヴァングループ,2018,Q2,29.554112110832342,[1. 0.]
アドヴァングループ,2018,Q3,44.16054885829896,[1. 0.]
アドヴァングループ,2018,Q4,-7.516312092873406,[1. 0.]
アドヴァングループ,2019,Q1,48.98197094049087,[1. 0.]
アドヴァングループ,2019,Q2,29.337663654891163,[1. 0.]
アドヴァングループ,2019,Q3,39.516838088746724,[1. 0.]
アドヴァングループ,2019,Q4,31.63178614423321,[1. 0.]
アドヴァングループ,2020,Q1,21.951421757981763,[1. 0.]
アドヴァングループ,2020,Q2,25.633331812250887,[1. 0.]
