企業名,会計年度,四半期,y_hat_ml1_i_tuned_fine,best_hyparam
アイネット,2018,Q4,24.241882688728396,[0.00210884]
アイネット,2019,Q1,20.141717004141526,[0.00210884]
アイネット,2019,Q2,29.61765460200452,[0.00210884]
アイネット,2019,Q3,25.508945552203595,[0.00210884]
アイネット,2019,Q4,24.735814700210845,[0.00210884]
アイネット,2020,Q1,4.096843068728764,[0.00210884]
アイネット,2020,Q2,22.86344388601539,[0.00210884]
アイネット,2020,Q3,21.652783436749726,[0.00210884]
アイネット,2020,Q4,33.33280046808716,[0.00210884]
アイホン,2018,Q1,11.651355150347399,[0.01299183]
アイホン,2018,Q2,71.24257482573921,[0.01299183]
アイホン,2018,Q3,31.059262507713356,[0.01299183]
アイホン,2018,Q4,67.68370780284408,[0.01299183]
アイホン,2019,Q1,33.53567248272975,[0.01299183]
アイホン,2019,Q2,82.92602356238035,[0.01299183]
アイホン,2019,Q3,20.78846552881896,[0.01299183]
アイホン,2019,Q4,25.45898021183325,[0.01299183]
アイホン,2020,Q1,9.054456872458786,[0.01299183]
アイホン,2020,Q2,50.6008616597951,[0.01299183]
アイホン,2020,Q3,45.205008591842784,[0.01299183]
アイホン,2020,Q4,-13.211163467555025,[0.01299183]
アイロムグループ,2018,Q1,11.637768375962771,[1950.33723135]
アイロムグループ,2018,Q2,42.93718399793589,[1950.33723135]
アイロムグループ,2018,Q3,23.424112355797263,[1950.33723135]
アイロムグループ,2018,Q4,34.52560521258375,[1950.33723135]
アイロムグループ,2019,Q1,5.552493030864738,[1950.33723135]
アイロムグループ,2019,Q2,3.150221014209855,[1950.33723135]
アイロムグループ,2019,Q3,18.657816143499026,[1950.33723135]
アイロムグループ,2019,Q4,36.83671628061128,[1950.33723135]
アイロムグループ,2020,Q1,-4.21052139077635,[1950.33723135]
アイロムグループ,2020,Q2,32.75035637502363,[1950.33723135]
アイロムグループ,2020,Q3,115.91591813264813,[1950.33723135]
アイロムグループ,2020,Q4,27.57602839336421,[1950.33723135]
アキレス,2018,Q1,7.043938824745535,[8021.6465871]
アキレス,2018,Q2,7.67949438030109,[8021.6465871]
アキレス,2018,Q3,8.21199438030109,[8021.6465871]
アキレス,2018,Q4,7.416994380301091,[8021.6465871]
アキレス,2019,Q1,7.506716602523314,[8021.6465871]
アキレス,2019,Q2,8.000327713634425,[8021.6465871]
アキレス,2019,Q3,8.515605491412202,[8021.6465871]
アキレス,2019,Q4,9.574216602523313,[8021.6465871]
アキレス,2020,Q1,10.630049935856645,[8021.6465871]
アキレス,2020,Q2,14.368722813990729,[8021.6465871]
アキレス,2020,Q3,15.357124380883235,[8021.6465871]
アキレス,2020,Q4,16.06535994722492,[8021.6465871]
アクシアル　リテイリング,2018,Q1,63.1531055985655,[5.56875615]
アクシアル　リテイリング,2018,Q2,80.16960270357508,[5.56875615]
アクシアル　リテイリング,2018,Q3,93.49527903261094,[5.56875615]
アクシアル　リテイリング,2018,Q4,51.33515222579808,[5.56875615]
アクシアル　リテイリング,2019,Q1,77.75108766306616,[5.56875615]
アクシアル　リテイリング,2019,Q2,72.279541690519,[5.56875615]
アクシアル　リテイリング,2019,Q3,80.5047067036084,[5.56875615]
アクシアル　リテイリング,2019,Q4,52.91231304520899,[5.56875615]
アクシアル　リテイリング,2020,Q1,102.78335699616764,[5.56875615]
アクシアル　リテイリング,2020,Q2,96.9109289992837,[5.56875615]
アクシアル　リテイリング,2020,Q3,103.48577521388785,[5.56875615]
アクシアル　リテイリング,2020,Q4,41.89900484386873,[5.56875615]
アクセル,2018,Q1,-12.102002868866002,[10.20861859]
アクセル,2018,Q2,-6.4701644630606125,[10.20861859]
アクセル,2018,Q3,-3.1867673252312363,[10.20861859]
アクセル,2018,Q4,-11.462015727544964,[10.20861859]
アクセル,2019,Q1,1.0676457744249888,[10.20861859]
アクセル,2019,Q2,-6.677818253796854,[10.20861859]
アクセル,2019,Q3,14.288582122276697,[10.20861859]
アクセル,2019,Q4,-1.3275081283689474,[10.20861859]
アクセル,2020,Q1,27.99791661824827,[10.20861859]
アクセル,2020,Q2,-5.635224199029551,[10.20861859]
アクセル,2020,Q3,9.05256353885806,[10.20861859]
アクセル,2020,Q4,16.651782461275857,[10.20861859]
アジアパイルホールディングス,2018,Q1,9.018055555555556,[474.19382974]
アジアパイルホールディングス,2018,Q2,10.902293804725504,[474.19382974]
アジアパイルホールディングス,2018,Q3,11.73630223240735,[474.19382974]
アジアパイルホールディングス,2018,Q4,12.594843592327852,[474.19382974]
アジアパイルホールディングス,2019,Q1,12.014444444444445,[474.19382974]
アジアパイルホールディングス,2019,Q2,12.919640804291769,[474.19382974]
アジアパイルホールディングス,2019,Q3,14.927777777777777,[474.19382974]
アジアパイルホールディングス,2019,Q4,15.755277777777776,[474.19382974]
アジアパイルホールディングス,2020,Q1,16.342777777777776,[474.19382974]
アジアパイルホールディングス,2020,Q2,17.245,[474.19382974]
アジアパイルホールディングス,2020,Q3,17.589999999999996,[474.19382974]
