企業名,会計年度,四半期,rolling_sample,pruned_trials,complete_trials,best_trial_val_error,best_trial_params,final_train_epochs,final_train_min_loss,y_test,y_hat
さくらインターネット,2019,Q3,6,76,24,0.5924261212348938,"dict_items([('hidden_units', 809), ('learning_rate', 0.0010673454660092955)])",10000,"tensor(378068.1875, grad_fn=<MseLossBackward>)",-1.35,511.92142
さくらインターネット,2019,Q4,7,67,33,0.7676334381103516,"dict_items([('hidden_units', 801), ('learning_rate', 1.753810669086729e-05)])",10000,"tensor(1149477.1250, grad_fn=<MseLossBackward>)",0.88,19.008406
さくらインターネット,2020,Q1,8,72,28,0.7171053290367126,"dict_items([('hidden_units', 809), ('learning_rate', 0.0008274051881164713)])",7863,"tensor(370597.6250, grad_fn=<MseLossBackward>)",4.43,2631.9126
さくらインターネット,2020,Q2,9,78,22,0.7661685943603516,"dict_items([('hidden_units', 791), ('learning_rate', 0.00085697525778278)])",10000,"tensor(82986.9141, grad_fn=<MseLossBackward>)",4.54,1654.1836
さくらインターネット,2020,Q3,10,69,31,0.6504114270210266,"dict_items([('hidden_units', 600), ('learning_rate', 0.00044752407215860145)])",7372,"tensor(0.0066, grad_fn=<MseLossBackward>)",5.27,5.795567
さくらインターネット,2020,Q4,11,79,21,0.6395372152328491,"dict_items([('hidden_units', 906), ('learning_rate', 0.000688915558504756)])",4574,"tensor(3.4747e-06, grad_fn=<MseLossBackward>)",6.55,15.949714
たけびし,2018,Q1,0,68,32,0.01981312781572342,"dict_items([('hidden_units', 732), ('learning_rate', 0.08240062970508287)])",10,"tensor(49.8731, grad_fn=<MseLossBackward>)",42.78,19.18707
たけびし,2018,Q2,1,58,42,0.013234172016382217,"dict_items([('hidden_units', 903), ('learning_rate', 0.07062770044298357)])",10,"tensor(44.4589, grad_fn=<MseLossBackward>)",43.45,20.770002
たけびし,2018,Q3,2,63,37,0.013542243279516697,"dict_items([('hidden_units', 646), ('learning_rate', 0.10038888396792955)])",10,"tensor(50.1037, grad_fn=<MseLossBackward>)",55.45,21.62064
たけびし,2018,Q4,3,59,41,0.013565492816269398,"dict_items([('hidden_units', 731), ('learning_rate', 0.09593256738280935)])",10,"tensor(57.0461, grad_fn=<MseLossBackward>)",32.96,21.901367
たけびし,2019,Q1,4,64,36,0.02426057495176792,"dict_items([('hidden_units', 731), ('learning_rate', 0.09593256738280935)])",134,"tensor(0.0002, grad_fn=<MseLossBackward>)",28.51,41.60282
たけびし,2019,Q2,5,72,28,0.04803809896111488,"dict_items([('hidden_units', 768), ('learning_rate', 0.082528629639551)])",206,"tensor(8.4986e-05, grad_fn=<MseLossBackward>)",37.9,29.488905
たけびし,2019,Q3,6,64,36,0.042523372918367386,"dict_items([('hidden_units', 519), ('learning_rate', 0.1374521814702184)])",272,"tensor(0.0007, grad_fn=<MseLossBackward>)",22.81,32.41009
たけびし,2019,Q4,7,63,37,0.07110325247049332,"dict_items([('hidden_units', 662), ('learning_rate', 0.07096946249742545)])",461,"tensor(3.5849e-11, grad_fn=<MseLossBackward>)",21.65,26.651367
