企業名,会計年度,四半期,y_hat_ml2_i_tuned_simple
アズワン,2020,Q3,94.10132034887532
アズワン,2020,Q4,100.66999817015011
アツギ,2018,Q1,-153.7369293479161
アツギ,2018,Q2,-194.82536124584954
アツギ,2018,Q3,-13.968917044761902
アツギ,2018,Q4,-121.6213652623916
アツギ,2019,Q1,-203.39776762137762
アツギ,2019,Q2,-197.16767192017252
アツギ,2019,Q3,-82.45262077355818
アツギ,2019,Q4,-200.33329993113145
アツギ,2020,Q1,168.19602080125907
アツギ,2020,Q2,-417.69771529109505
アツギ,2020,Q3,-150.57342704710885
アツギ,2020,Q4,-73.95367461366817
アドウェイズ,2018,Q1,21.846687112621787
アドウェイズ,2018,Q2,6.255803785748228
アドウェイズ,2018,Q3,-3.5298409933866957
アドウェイズ,2018,Q4,-3.8413278927353165
アドウェイズ,2019,Q1,-7.870611347252206
アドウェイズ,2019,Q2,2.642703419158621
アドウェイズ,2019,Q3,-0.04704419526175041
アドウェイズ,2019,Q4,13.223976144926784
アドウェイズ,2020,Q1,0.5933371630194149
アドウェイズ,2020,Q2,10.51232209311349
アドウェイズ,2020,Q3,14.44422770763245
アドウェイズ,2020,Q4,0.8397328955489547
