,,,,決算期,決算月数,連結基準フラグ,決算種別フラグ,決算発表日,売上高・営業収益［累計］,売上総利益［累計］,営業利益［累計］,経常利益／税金等調整前当期純利益［累計］,売上高・営業収益［３ヵ月］,売上総利益［３ヵ月］,営業利益［３ヵ月］,経常利益／税金等調整前当期純利益［３ヵ月］,当期純利益（連結）［累計］,当期純利益（連結）［３ヵ月］,１株当たり利益［累計］,１株当たり利益（遡及調整後）［累計］,１株当たり利益［３ヵ月］,１株当たり利益（遡及調整後）［３ヵ月］,潜在株式調整後１株当たり利益［累計］,潜在株式調整後１株当たり利益（遡及調整後）［累計］,潜在株式調整後１株当たり利益［３ヵ月］,潜在株式調整後１株当たり利益（遡及調整後）［３ヵ月］,棚卸資産,資本的支出,期末従業員数,販売費及び一般管理費［累計］,販売費及び一般管理費［３ヵ月］,受取手形・売掛金／売掛金及びその他の短期債権
,,,,FINFSTA'ACC,FINFSTA'MACC,FINFSTA'A01_SECFLG,FINFSTA'A01_HACC,FINFSTA'A01036,FINFSTA'D01021,FINFSTA'D01026,FINFSTA'D01029,FINFSTA'D01066,FINFSTA'E01021,FINFSTA'E01026,FINFSTA'E01029,FINFSTA'E01066,FINFSTA'D01114,FINFSTA'E01114,FINFSTA'A01059,FINFSTA'A01161,FINFSTA'A01060,FINFSTA'A01162,FINFSTA'A01062,FINFSTA'A01164,FINFSTA'A01063,FINFSTA'A01165,FINFSTA'B01034,FINFSTA'I_A01143,FINFSTA'H01021,FINFSTA'D01027,FINFSTA'E01027,FINFSTA'B01023
,,,,年月,ヶ月,1桁コード,2桁コード,年月日,百万円,百万円,百万円,百万円,百万円,百万円,百万円,百万円,百万円,百万円,円,円,円,円,円,円,円,円,百万円,百万円,人,百万円,百万円,百万円
月次(M),2006/03,トヨタ自動車,T7203,2006/03,12,2,10,2006/05/10,21036909,4701597,1878342,2087360,5750500,-,586700,591500,-,-,421.76,-,-,-,421.62,-,-,-,1620975,2771240,285977,2823255,-,2000171
月次(M),2006/06,トヨタ自動車,T7203,2006/06,3,2,21,2006/08/04,5638112,1281560,512419,554648,5638112,1281560,512419,554648,-,-,115.21,-,115.21,-,115.16,-,115.16,-,1642730,-,-,769141,769141,1699145
月次(M),2006/09,トヨタ自動車,T7203,2006/09,6,2,22,2006/11/07,11471889,2648137,1093425,1166134,-,-,-,-,-,-,241.36,-,-,-,241.25,-,-,-,1702959,1473251,295992,1554712,-,1769849
月次(M),2006/12,トヨタ自動車,T7203,2006/12,9,2,23,2007/02/06,17618473,-,1668214,1782076,6146584,1430467,574789,615942,-,-,-,-,133.21,-,-,-,133.13,-,1820605,-,-,-,855678,1808325
月次(M),2007/03,トヨタ自動車,T7203,2007/03,12,2,10,2007/05/09,23948091,5591836,2238683,2382516,6329700,-,570500,600500,-,-,512.09,-,-,-,511.8,-,-,-,1803956,2690195,299394,3353153,-,2048601
月次(M),2007/06,トヨタ自動車,T7203,2007/06,3,2,21,2007/08/03,6522637,1531545,675427,739040,6522637,1531545,675427,739040,-,-,153.98,-,153.98,-,153.89,-,153.89,-,1932847,-,-,856118,856118,1900258
月次(M),2007/09,トヨタ自動車,T7203,2007/09,6,2,22,2007/11/07,13012209,3005515,1272164,1362278,6489572,1176947,596737,623238,-,-,295.5,-,141.51,-,295.34,-,141.44,-,1917129,1423619,309797,1733351,580210,1909748
月次(M),2007/12,トヨタ自動車,T7203,2007/12,9,2,23,2008/02/05,19722192,4533916,1873722,2014966,6709983,1528401,601558,652688,-,-,439.98,-,144.47,-,439.78,-,144.43,-,2014097,-,-,2660194,926843,1849447
月次(M),2008/03,トヨタ自動車,T7203,2008/03,12,2,10,2008/05/08,26289240,5836902,2270375,2437222,6567100,-,396700,422300,-,-,540.65,-,-,-,540.44,-,-,-,1825716,2834662,316121,2498512,-,2057704
月次(M),2008/06,トヨタ自動車,T7203,2008/06,3,2,21,2008/08/07,6215130,1225363,412591,453054,6215130,1225363,412591,453054,-,-,112.3,-,112.3,-,112.28,-,112.28,-,2065832,709284,323650,628456,628456,1873294
