企業名,会計年度,四半期,y_hat_umlp
アツギ,2018,Q3,9.607087
アツギ,2018,Q4,-7.588337
アツギ,2019,Q1,-38.15031
アツギ,2019,Q2,12.37547
アツギ,2019,Q3,-75.71648
アツギ,2019,Q4,-114.63353
アツギ,2020,Q1,-8.62308
アツギ,2020,Q2,-175.62625
アツギ,2020,Q3,-60.775925
アツギ,2020,Q4,-84.56098
アドウェイズ,2018,Q1,163.08644
アドウェイズ,2018,Q2,240.15009
アドウェイズ,2018,Q3,162.33789
アドウェイズ,2018,Q4,-38.424194
アドウェイズ,2019,Q1,55.2685
アドウェイズ,2019,Q2,296.09
アドウェイズ,2019,Q3,175.55641
アドウェイズ,2019,Q4,328.65085
アドウェイズ,2020,Q1,434.41675
アドウェイズ,2020,Q2,-190.66466
アドウェイズ,2020,Q3,156.7072
アドウェイズ,2020,Q4,83.02368
アドソル日進,2018,Q1,17.72688
アドソル日進,2018,Q2,19.506716
アドソル日進,2018,Q3,19.971193
アドソル日進,2018,Q4,12.640931
アドソル日進,2019,Q1,18.542202
アドソル日進,2019,Q2,21.922928
アドソル日進,2019,Q3,20.754808
アドソル日進,2019,Q4,17.632107
アドソル日進,2020,Q1,19.687061
アドソル日進,2020,Q2,22.0777
アドソル日進,2020,Q3,20.512016
アドソル日進,2020,Q4,9.843574
アドバネクス,2018,Q1,-15.805248
アドバネクス,2018,Q2,4.3750916
アドバネクス,2018,Q3,6.4263797
アドバネクス,2018,Q4,-10.095699
アドバネクス,2019,Q1,-10.426481
アドバネクス,2019,Q2,-13.75687
アドバネクス,2019,Q3,-2.9614453
アドバネクス,2019,Q4,-17.60306
アドバネクス,2020,Q1,-16.435635
アドバネクス,2020,Q2,-6.753338
アドバネクス,2020,Q3,-35.666058
アドバネクス,2020,Q4,139.79079
アドバンテスト,2018,Q1,-5.1736536
アドバンテスト,2018,Q2,55.577515
アドバンテスト,2018,Q3,22.247734
アドバンテスト,2018,Q4,70.73458
アドバンテスト,2019,Q1,60.10917
アドバンテスト,2019,Q2,27.077248
アドバンテスト,2019,Q3,77.7006
アドバンテスト,2019,Q4,50.651955
アドバンテスト,2020,Q1,69.11943
アドバンテスト,2020,Q2,76.75451
アドバンテスト,2020,Q3,55.145638
アドバンテスト,2020,Q4,65.98199
アドヴァングループ,2018,Q1,11.768569
アドヴァングループ,2018,Q2,33.418438
アドヴァングループ,2018,Q3,27.237154
アドヴァングループ,2018,Q4,8.81696
アドヴァングループ,2019,Q1,53.60779
アドヴァングループ,2019,Q2,35.501575
アドヴァングループ,2019,Q3,28.6408
アドヴァングループ,2019,Q4,50.635963
アドヴァングループ,2020,Q1,25.299084
アドヴァングループ,2020,Q2,18.066242
アドヴァングループ,2020,Q3,20.071203
アドヴァングループ,2020,Q4,16.415363
アネスト岩田,2018,Q1,16.984924
アネスト岩田,2018,Q2,20.570015
アネスト岩田,2018,Q3,12.854961
アネスト岩田,2018,Q4,17.241852
アネスト岩田,2019,Q1,25.67902
アネスト岩田,2019,Q2,15.267495
アネスト岩田,2019,Q3,18.627241
アネスト岩田,2019,Q4,12.394076
アネスト岩田,2020,Q1,18.87126
アネスト岩田,2020,Q2,19.26544
アネスト岩田,2020,Q3,11.3570175
アネスト岩田,2020,Q4,9.298838
アマダ,2018,Q1,9.66894
アマダ,2018,Q2,25.696377
アマダ,2018,Q3,21.882467
アマダ,2018,Q4,19.879974
アマダ,2019,Q1,18.617647
アマダ,2019,Q2,23.525343
アマダ,2019,Q3,13.425507
アマダ,2019,Q4,16.175438
アマダ,2020,Q1,7.23844
アマダ,2020,Q2,21.00519
アマダ,2020,Q3,26.072685
アマダ,2020,Q4,20.82208
アマノ,2018,Q1,12.558328
アマノ,2018,Q2,17.741884
アマノ,2018,Q3,28.325403
アマノ,2018,Q4,13.957196
アマノ,2019,Q1,10.188483
アマノ,2019,Q2,32.374992
アマノ,2019,Q3,21.915096
アマノ,2019,Q4,42.12961
アマノ,2020,Q1,14.393082
アマノ,2020,Q2,24.700571
アマノ,2020,Q3,15.857703
アマノ,2020,Q4,59.690712
アミューズ,2018,Q1,30.351746
アミューズ,2018,Q2,42.334
アミューズ,2018,Q3,149.99042
アミューズ,2018,Q4,101.88834
アミューズ,2019,Q1,46.833313
アミューズ,2019,Q2,60.92446
アミューズ,2019,Q3,50.32777
アミューズ,2019,Q4,40.355526
アミューズ,2020,Q1,14.894052
アミューズ,2020,Q2,66.392624
アミューズ,2020,Q3,86.888565
アミューズ,2020,Q4,88.01665
アリアケジャパン,2018,Q1,55.54523
アリアケジャパン,2018,Q2,57.655067
アリアケジャパン,2018,Q3,77.068306
アリアケジャパン,2018,Q4,14.615534
アリアケジャパン,2019,Q1,43.2669
アリアケジャパン,2019,Q2,16.272715
アリアケジャパン,2019,Q3,65.93618
アリアケジャパン,2019,Q4,202.01633
アリアケジャパン,2020,Q1,56.89592
アリアケジャパン,2020,Q2,96.367096
アリアケジャパン,2020,Q3,114.019714
アリアケジャパン,2020,Q4,69.261284
アルインコ,2018,Q1,39.17182
アルインコ,2018,Q2,33.60301
アルインコ,2018,Q3,36.061768
アルインコ,2018,Q4,6.010887
アルインコ,2019,Q1,22.605394
アルインコ,2019,Q2,35.42366
アルインコ,2019,Q3,40.244904
アルインコ,2019,Q4,4.0459604
アルインコ,2020,Q1,16.811663
アルインコ,2020,Q2,22.9296
アルインコ,2020,Q3,25.898207
アルインコ,2020,Q4,13.378329
アルコニックス,2018,Q1,131.87502
アルコニックス,2018,Q2,81.13443
アルコニックス,2018,Q3,126.764626
アルコニックス,2018,Q4,33.93718
アルコニックス,2019,Q1,81.12663
アルコニックス,2019,Q2,65.96475
アルコニックス,2019,Q3,145.53279
アルコニックス,2019,Q4,28.98238
アルコニックス,2020,Q1,87.978264
アルコニックス,2020,Q2,51.80872
アルコニックス,2020,Q3,166.34685
アルコニックス,2020,Q4,45.24492
アルゴグラフィックス,2018,Q1,51.218918
アルゴグラフィックス,2018,Q2,51.43041
アルゴグラフィックス,2018,Q3,51.96238
アルゴグラフィックス,2018,Q4,51.982876
アルゴグラフィックス,2019,Q1,72.36168
アルゴグラフィックス,2019,Q2,72.57423
アルゴグラフィックス,2019,Q3,47.353897
アルゴグラフィックス,2019,Q4,61.983753
アルゴグラフィックス,2020,Q1,74.8686
アルゴグラフィックス,2020,Q2,53.992443
アルゴグラフィックス,2020,Q3,54.65169
アルゴグラフィックス,2020,Q4,68.40093
アルビス,2018,Q1,77.58693
アルビス,2018,Q2,67.20909
アルビス,2018,Q3,60.891594
アルビス,2018,Q4,78.47032
アルビス,2019,Q1,45.25097
アルビス,2019,Q2,41.151974
アルビス,2019,Q3,51.11781
アルビス,2019,Q4,70.66606
アルビス,2020,Q1,27.35331
アルビス,2020,Q2,26.506721
アルビス,2020,Q3,51.842773
アルビス,2020,Q4,52.98859
アルファ,2018,Q1,37.08296
アルファ,2018,Q2,45.583893
アルファ,2018,Q3,-16.04697
アルファ,2018,Q4,19.701462
アルファ,2019,Q1,44.949795
アルファ,2019,Q2,28.604143
アルファ,2019,Q3,12.37839
アルファ,2019,Q4,54.062878
アルファ,2020,Q1,20.202372
アルファ,2020,Q2,-50.524635
アルファ,2020,Q3,107.147484
アルファ,2020,Q4,99.58002
アルファシステムズ,2018,Q1,23.31334
アルファシステムズ,2018,Q2,26.769588
アルファシステムズ,2018,Q3,24.207254
