企業名,会計年度,四半期,y_hat_rw
アマノ,2020,Q1,45.72
アマノ,2020,Q2,4.57
アマノ,2020,Q3,32.25
アマノ,2020,Q4,26.1
アミューズ,2018,Q1,18.81
アミューズ,2018,Q2,54.82
アミューズ,2018,Q3,81.28
アミューズ,2018,Q4,125.47
アミューズ,2019,Q1,76.58
アミューズ,2019,Q2,102.03
アミューズ,2019,Q3,31.73
アミューズ,2019,Q4,72.0
アミューズ,2020,Q1,-31.91
アミューズ,2020,Q2,17.26
アミューズ,2020,Q3,52.12
アミューズ,2020,Q4,42.09
アリアケジャパン,2018,Q1,63.9
アリアケジャパン,2018,Q2,64.09
アリアケジャパン,2018,Q3,64.89
アリアケジャパン,2018,Q4,36.19
アリアケジャパン,2019,Q1,358.92
アリアケジャパン,2019,Q2,61.63
アリアケジャパン,2019,Q3,58.45
アリアケジャパン,2019,Q4,75.94
アリアケジャパン,2020,Q1,67.19
アリアケジャパン,2020,Q2,49.57
アリアケジャパン,2020,Q3,50.48
アリアケジャパン,2020,Q4,65.77
アルインコ,2018,Q1,0.16
アルインコ,2018,Q2,22.31
アルインコ,2018,Q3,26.12
アルインコ,2018,Q4,37.19
アルインコ,2019,Q1,10.79
アルインコ,2019,Q2,24.13
アルインコ,2019,Q3,41.64
アルインコ,2019,Q4,50.41
アルインコ,2020,Q1,-7.45
アルインコ,2020,Q2,18.83
アルインコ,2020,Q3,11.71
アルインコ,2020,Q4,39.37
アルコニックス,2018,Q1,42.03
アルコニックス,2018,Q2,63.25
アルコニックス,2018,Q3,43.72
アルコニックス,2018,Q4,32.66
アルコニックス,2019,Q1,15.45
アルコニックス,2019,Q2,35.67
アルコニックス,2019,Q3,40.04
アルコニックス,2019,Q4,53.1
アルコニックス,2020,Q1,14.44
アルコニックス,2020,Q2,21.82
アルコニックス,2020,Q3,26.09
アルコニックス,2020,Q4,22.72
アルゴグラフィックス,2018,Q1,75.7
アルゴグラフィックス,2018,Q2,87.21
アルゴグラフィックス,2018,Q3,70.96
アルゴグラフィックス,2018,Q4,85.69
アルゴグラフィックス,2019,Q1,87.32217947570904
アルゴグラフィックス,2019,Q2,53.48
アルゴグラフィックス,2019,Q3,51.01
アルゴグラフィックス,2019,Q4,48.92
アルゴグラフィックス,2020,Q1,43.93
アルゴグラフィックス,2020,Q2,47.27
アルゴグラフィックス,2020,Q3,44.69
アルゴグラフィックス,2020,Q4,33.22
アルビス,2018,Q1,56.22
アルビス,2018,Q2,63.11
アルビス,2018,Q3,58.21
アルビス,2018,Q4,74.95
アルビス,2019,Q1,38.8
アルビス,2019,Q2,8.63
アルビス,2019,Q3,30.79
アルビス,2019,Q4,37.64
アルビス,2020,Q1,28.19
アルビス,2020,Q2,61.23
アルビス,2020,Q3,52.91
アルビス,2020,Q4,50.92
アルファ,2018,Q1,87.99
アルファ,2018,Q2,42.04
