企業名,会計年度,四半期,y_hat_uraf,best_hyparam
アイネス,2019,Q2,12.3758,[100 100]
アイネス,2019,Q3,0.5482000000000002,[100 100]
アイネス,2019,Q4,-16.529399999999995,[100 100]
アイネス,2020,Q1,24.51479999999999,[100 100]
アイネス,2020,Q2,7.0756000000000085,[100 100]
アイネス,2020,Q3,28.40110000000001,[100 100]
アイネス,2020,Q4,7.039600000000004,[100 100]
アイネット,2018,Q1,13.009919418874905,[100 100]
アイネット,2018,Q2,25.53494854718732,[100 100]
アイネット,2018,Q3,19.637400000000007,[100 100]
アイネット,2018,Q4,25.254400000000047,[100 100]
アイネット,2019,Q1,13.446329128312366,[100 100]
アイネット,2019,Q2,28.020338837749826,[100 100]
アイネット,2019,Q3,23.722883983031124,[100 100]
アイネット,2019,Q4,28.232009709437413,[100 100]
アイネット,2020,Q1,26.53570970943749,[100 100]
アイネット,2020,Q2,26.833964564156176,[100 100]
アイネット,2020,Q3,21.156199999999995,[100 100]
アイネット,2020,Q4,22.71605485471875,[100 100]
アイホン,2018,Q1,9.354440000000038,[2000 100]
アイホン,2018,Q2,45.12579999999962,[2000 100]
アイホン,2018,Q3,7.082139999999894,[2000 100]
アイホン,2018,Q4,43.65856999999933,[2000 100]
アイホン,2019,Q1,6.571460000000037,[2000 100]
アイホン,2019,Q2,53.742309999999435,[2000 100]
アイホン,2019,Q3,39.690640000000094,[2000 100]
アイホン,2019,Q4,68.09609999999832,[2000 100]
アイホン,2020,Q1,26.388305000000248,[2000 100]
アイホン,2020,Q2,43.741279999999904,[2000 100]
アイホン,2020,Q3,26.145360000000554,[2000 100]
アイホン,2020,Q4,46.92084999999932,[2000 100]
アイロムグループ,2018,Q1,-145.74169492701566,[2000 100]
アイロムグループ,2018,Q2,16.427210000000144,[2000 100]
アイロムグループ,2018,Q3,35.97647621888449,[2000 100]
アイロムグループ,2018,Q4,23.276590000000386,[2000 100]
アイロムグループ,2019,Q1,31.53300121888465,[2000 100]
アイロムグループ,2019,Q2,30.544242437768727,[2000 100]
アイロムグループ,2019,Q3,23.109995000000147,[2000 100]
アイロムグループ,2019,Q4,19.461753656653574,[2000 100]
アイロムグループ,2020,Q1,21.89703000000014,[2000 100]
アイロムグループ,2020,Q2,23.65791000000014,[2000 100]
アイロムグループ,2020,Q3,26.99675121888461,[2000 100]
アイロムグループ,2020,Q4,14.334899999999989,[2000 100]
アキレス,2018,Q1,39.648839999999936,[500 10]
アキレス,2018,Q2,26.684239999999978,[500 10]
アキレス,2018,Q3,23.72526000000012,[500 10]
アキレス,2018,Q4,-4.794096404618312,[500 10]
アキレス,2019,Q1,2.656632358435106,[500 10]
アキレス,2019,Q2,3.2611315953816837,[500 10]
アキレス,2019,Q3,20.834896928715047,[500 10]
アキレス,2019,Q4,24.733059999999906,[500 10]
アキレス,2020,Q1,29.07968000000007,[500 10]
アキレス,2020,Q2,74.28666000000024,[500 10]
アキレス,2020,Q3,50.20788000000003,[500 10]
アキレス,2020,Q4,22.720220000000072,[500 10]
アクシアル　リテイリング,2018,Q1,65.06867499999868,[2000 100]
アクシアル　リテイリング,2018,Q2,64.66195499999962,[2000 100]
アクシアル　リテイリング,2018,Q3,78.90347500000213,[2000 100]
アクシアル　リテイリング,2018,Q4,66.64004999999909,[2000 100]
アクシアル　リテイリング,2019,Q1,68.79894499999914,[2000 100]
アクシアル　リテイリング,2019,Q2,74.90903000000155,[2000 100]
アクシアル　リテイリング,2019,Q3,70.7262150000013,[2000 100]
アクシアル　リテイリング,2019,Q4,68.82725500000066,[2000 100]
アクシアル　リテイリング,2020,Q1,63.00254999999907,[2000 100]
アクシアル　リテイリング,2020,Q2,63.272530000001424,[2000 100]
アクシアル　リテイリング,2020,Q3,89.02782499999901,[2000 100]
アクシアル　リテイリング,2020,Q4,90.22252499999935,[2000 100]
アクセル,2018,Q1,10.823565000000043,[2000 100]
アクセル,2018,Q2,2.1981650000000443,[2000 100]
アクセル,2018,Q3,0.4279749999999943,[2000 100]
アクセル,2018,Q4,3.756945000000015,[2000 100]
アクセル,2019,Q1,-51.69862,[2000 100]
アクセル,2019,Q2,-5.694625000000036,[2000 100]
アクセル,2019,Q3,0.9638750000000088,[2000 100]
アクセル,2019,Q4,-24.90745500000001,[2000 100]
アクセル,2020,Q1,7.7503399999999205,[2000 100]
アクセル,2020,Q2,5.904379999999954,[2000 100]
アクセル,2020,Q3,26.776985000000032,[2000 100]
アクセル,2020,Q4,3.2696600000000027,[2000 100]
アジアパイルホールディングス,2018,Q1,5.602100000000003,[100 100]
アジアパイルホールディングス,2018,Q2,18.8082,[100 100]
アジアパイルホールディングス,2018,Q3,16.8491,[100 100]
アジアパイルホールディングス,2018,Q4,20.774099999999983,[100 100]
アジアパイルホールディングス,2019,Q1,19.343599999999995,[100 100]
アジアパイルホールディングス,2019,Q2,27.4694,[100 100]
アジアパイルホールディングス,2019,Q3,18.692599999999988,[100 100]
アジアパイルホールディングス,2019,Q4,15.186100000000007,[100 100]
アジアパイルホールディングス,2020,Q1,15.05320000000001,[100 100]
アジアパイルホールディングス,2020,Q2,19.907500000000006,[100 100]
アジアパイルホールディングス,2020,Q3,18.55709999999998,[100 100]
アジアパイルホールディングス,2020,Q4,15.674899999999989,[100 100]
アステラス製薬,2018,Q1,27.041124851688128,[100 10]
アステラス製薬,2018,Q2,18.086300000000005,[100 10]
アステラス製薬,2018,Q3,31.90616666666666,[100 10]
アステラス製薬,2018,Q4,22.27639856907405,[100 10]
アステラス製薬,2019,Q1,30.348217274469015,[100 10]
アステラス製薬,2019,Q2,22.126986781805773,[100 10]
アステラス製薬,2019,Q3,47.067666489396935,[100 10]
アステラス製薬,2019,Q4,18.16678680877984,[100 10]
アステラス製薬,2020,Q1,24.882552892787317,[100 10]
アステラス製薬,2020,Q2,24.89800000000001,[100 10]
アステラス製薬,2020,Q3,33.645450000000004,[100 10]
アステラス製薬,2020,Q4,19.383300000000016,[100 10]
アズビル,2018,Q1,16.0725,[100 10]
アズビル,2018,Q2,64.44809999999997,[100 10]
アズビル,2018,Q3,67.57413369463042,[100 10]
アズビル,2018,Q4,82.54527527097272,[100 10]
アズビル,2019,Q1,32.307816847315216,[100 10]
アズビル,2019,Q2,48.81766847315197,[100 10]
アズビル,2019,Q3,50.86904266023361,[100 10]
アズビル,2019,Q4,51.0454334236576,[100 10]
アズビル,2020,Q1,10.5103,[100 10]
アズビル,2020,Q2,35.811883694630396,[100 10]
アズビル,2020,Q3,47.80990000000003,[100 10]
アズビル,2020,Q4,56.61470000000005,[100 10]
アズワン,2018,Q1,62.53914499999957,[2000 10]
アズワン,2018,Q2,57.63379499999989,[2000 10]
アズワン,2018,Q3,70.66998999999902,[2000 10]
アズワン,2018,Q4,76.37708999999833,[2000 10]
アズワン,2019,Q1,72.62724000000054,[2000 10]
アズワン,2019,Q2,71.1331800000017,[2000 10]
アズワン,2019,Q3,74.14317000000115,[2000 10]
アズワン,2019,Q4,79.99566000000105,[2000 10]
アズワン,2020,Q1,70.37858000000045,[2000 10]
アズワン,2020,Q2,94.55150000000056,[2000 10]
アズワン,2020,Q3,72.52177999999957,[2000 10]
アズワン,2020,Q4,88.6614800000012,[2000 10]
アツギ,2018,Q1,0.3195400000000006,[500 100]
アツギ,2018,Q2,-2.7048604907888936,[500 100]
アツギ,2018,Q3,8.861503825207803,[500 100]
アツギ,2018,Q4,-5.382620000000004,[500 100]
アツギ,2019,Q1,-52.28873999999998,[500 100]
アツギ,2019,Q2,6.482972295776032,[500 100]
アツギ,2019,Q3,-76.10356808739631,[500 100]
アツギ,2019,Q4,-125.56480000000056,[500 100]
アツギ,2020,Q1,-20.163238305886253,[500 100]
アツギ,2020,Q2,-206.08898213109487,[500 100]
アツギ,2020,Q3,-105.02282000000015,[500 100]
アツギ,2020,Q4,-107.11892000000023,[500 100]
アドウェイズ,2018,Q1,0.9926699999999868,[2000 100]
アドウェイズ,2018,Q2,3.0992299999999817,[2000 100]
アドウェイズ,2018,Q3,1.3908249999999989,[2000 100]
アドウェイズ,2018,Q4,2.2814149999999884,[2000 100]
アドウェイズ,2019,Q1,3.264824999999966,[2000 100]
アドウェイズ,2019,Q2,0.938385000000002,[2000 100]
アドウェイズ,2019,Q3,0.006415000000000106,[2000 100]
アドウェイズ,2019,Q4,3.5882699999999814,[2000 100]
アドウェイズ,2020,Q1,2.1747,[2000 100]
アドウェイズ,2020,Q2,2.5237300000000245,[2000 100]
アドウェイズ,2020,Q3,-0.8960400000000148,[2000 100]
アドウェイズ,2020,Q4,5.190100000000075,[2000 100]
アドソル日進,2018,Q1,17.22787037130092,[2000 10]
アドソル日進,2018,Q2,15.570095016873314,[2000 10]
アドソル日進,2018,Q3,16.524021848025328,[2000 10]
アドソル日進,2018,Q4,18.16809327815141,[2000 10]
アドソル日進,2019,Q1,14.197377772246885,[2000 10]
アドソル日進,2019,Q2,20.02367161497987,[2000 10]
アドソル日進,2019,Q3,16.679200222879146,[2000 10]
アドソル日進,2019,Q4,20.60469856004644,[2000 10]
アドソル日進,2020,Q1,20.861045053373484,[2000 10]
アドソル日進,2020,Q2,16.41857034193081,[2000 10]
アドソル日進,2020,Q3,20.50966580338534,[2000 10]
アドソル日進,2020,Q4,23.17783578306089,[2000 10]
アドバンテスト,2018,Q1,18.29784153773823,[100 100]
アドバンテスト,2018,Q2,41.70214461522959,[100 100]
アドバンテスト,2018,Q3,68.34388153840985,[100 100]
アドバンテスト,2018,Q4,82.50504845888749,[100 100]
アドバンテスト,2019,Q1,39.977423832847535,[100 100]
アドバンテスト,2019,Q2,59.89551153570726,[100 100]
アドバンテスト,2019,Q3,75.5838,[100 100]
アドバンテスト,2019,Q4,66.0397,[100 100]
アドバンテスト,2020,Q1,68.58559999999997,[100 100]
アドバンテスト,2020,Q2,63.78639999999994,[100 100]
アドバンテスト,2020,Q3,59.37859999999998,[100 100]
アドバンテスト,2020,Q4,70.8879999999999,[100 100]
アドヴァングループ,2018,Q1,11.001400000000006,[500 100]
アドヴァングループ,2018,Q2,40.8116799999999,[500 100]
アドヴァングループ,2018,Q3,26.59579999999996,[500 100]
アドヴァングループ,2018,Q4,16.003899999999962,[500 100]
アドヴァングループ,2019,Q1,34.523879999999906,[500 100]
アドヴァングループ,2019,Q2,22.510200000000022,[500 100]
アドヴァングループ,2019,Q3,28.779979999999924,[500 100]
アドヴァングループ,2019,Q4,40.25101962890379,[500 100]
アドヴァングループ,2020,Q1,28.783978886711797,[500 100]
アドヴァングループ,2020,Q2,29.78553925780797,[500 100]
アドヴァングループ,2020,Q3,23.025340000000032,[500 100]
アドヴァングループ,2020,Q4,21.315160000000056,[500 100]
アマダ,2018,Q1,10.288843343455257,[100 10]
アマダ,2018,Q2,21.40143173245906,[100 10]
アマダ,2018,Q3,19.7579866869105,[100 10]
アマダ,2018,Q4,26.032630030365723,[100 10]
アマダ,2019,Q1,16.1636,[100 10]
アマダ,2019,Q2,26.88463003036572,[100 10]
アマダ,2019,Q3,17.372100000000017,[100 10]
アマダ,2019,Q4,27.824645045548607,[100 10]
アマダ,2020,Q1,11.845000000000004,[100 10]
アマダ,2020,Q2,19.258549300781954,[100 10]
アマダ,2020,Q3,22.73170000000001,[100 10]
アマダ,2020,Q4,20.0597,[100 10]
アマノ,2018,Q1,12.018833333333328,[100 10]
アマノ,2018,Q2,40.94940000000004,[100 10]
アマノ,2018,Q3,40.967500000000065,[100 10]
アマノ,2018,Q4,45.35170000000002,[100 10]
アマノ,2019,Q1,13.245499999999998,[100 10]
アマノ,2019,Q2,43.03410000000002,[100 10]
アマノ,2019,Q3,26.826000000000004,[100 10]
アマノ,2019,Q4,42.36630000000003,[100 10]
アマノ,2020,Q1,31.24410000000001,[100 10]
アマノ,2020,Q2,40.72780000000003,[100 10]
アマノ,2020,Q3,28.16290000000001,[100 10]
アマノ,2020,Q4,48.67369999999998,[100 10]
アミューズ,2018,Q1,-4.986676499999966,[2000 10]
アミューズ,2018,Q2,23.764771166667035,[2000 10]
アミューズ,2018,Q3,65.21176994768085,[2000 10]
アミューズ,2018,Q4,62.09977195575489,[2000 10]
アミューズ,2019,Q1,76.42551691182939,[2000 10]
アミューズ,2019,Q2,92.81160125000095,[2000 10]
アミューズ,2019,Q3,102.7076500000013,[2000 10]
アミューズ,2019,Q4,55.82047066666712,[2000 10]
アミューズ,2020,Q1,71.16468999999995,[2000 10]
アミューズ,2020,Q2,37.379430500000026,[2000 10]
アミューズ,2020,Q3,60.35320399999996,[2000 10]
アミューズ,2020,Q4,99.12029000000015,[2000 10]
アリアケジャパン,2018,Q1,64.10930000000013,[500 100]
アリアケジャパン,2018,Q2,64.97126000000007,[500 100]
アリアケジャパン,2018,Q3,65.1256000000001,[500 100]
アリアケジャパン,2018,Q4,55.380559999999974,[500 100]
アリアケジャパン,2019,Q1,131.80760000000015,[500 100]
アリアケジャパン,2019,Q2,121.37027999999964,[500 100]
アリアケジャパン,2019,Q3,54.38861999999976,[500 100]
アリアケジャパン,2019,Q4,69.07479999999988,[500 100]
アリアケジャパン,2020,Q1,91.49957999999981,[500 100]
アリアケジャパン,2020,Q2,107.41042000000004,[500 100]
