企業名,会計年度,四半期,y_hat_srw
アドソル日進,2018,Q2,17.43
アドソル日進,2018,Q3,18.63
アドソル日進,2018,Q4,11.33
アドソル日進,2019,Q1,17.85
アドソル日進,2019,Q2,21.92
アドソル日進,2019,Q3,20.34
アドソル日進,2019,Q4,15.77
アドソル日進,2020,Q1,22.6
アドソル日進,2020,Q2,25.5
アドソル日進,2020,Q3,24.9
アドソル日進,2020,Q4,16.98
アドバネクス,2018,Q1,11.72
アドバネクス,2018,Q2,2.99
アドバネクス,2018,Q3,10.66
アドバネクス,2018,Q4,-13.17
アドバネクス,2019,Q1,-0.26
アドバネクス,2019,Q2,-10.49
アドバネクス,2019,Q3,-6.77
アドバネクス,2019,Q4,-8.72
アドバネクス,2020,Q1,-40.06
アドバネクス,2020,Q2,11.29
アドバネクス,2020,Q3,-14.96
アドバネクス,2020,Q4,-101.16
アドバンテスト,2018,Q1,5.6
アドバンテスト,2018,Q2,22.18
アドバンテスト,2018,Q3,14.33
アドバンテスト,2018,Q4,59.64
アドバンテスト,2019,Q1,76.99
アドバンテスト,2019,Q2,88.25
アドバンテスト,2019,Q3,92.37
アドバンテスト,2019,Q4,45.71
アドバンテスト,2020,Q1,61.07
アドバンテスト,2020,Q2,74.13
アドバンテスト,2020,Q3,60.21
アドバンテスト,2020,Q4,74.7
アドヴァングループ,2018,Q1,26.54
アドヴァングループ,2018,Q2,26.82
アドヴァングループ,2018,Q3,23.26
アドヴァングループ,2018,Q4,-1.32
アドヴァングループ,2019,Q1,26.94
アドヴァングループ,2019,Q2,23.72
アドヴァングループ,2019,Q3,18.44
アドヴァングループ,2019,Q4,32.3
アドヴァングループ,2020,Q1,15.0
アドヴァングループ,2020,Q2,31.24
アドヴァングループ,2020,Q3,36.61
アドヴァングループ,2020,Q4,33.29
アネスト岩田,2018,Q1,14.15
アネスト岩田,2018,Q2,21.23
アネスト岩田,2018,Q3,12.9
アネスト岩田,2018,Q4,19.04
アネスト岩田,2019,Q1,15.37
アネスト岩田,2019,Q2,24.2
アネスト岩田,2019,Q3,18.76
アネスト岩田,2019,Q4,12.3
アネスト岩田,2020,Q1,12.71
アネスト岩田,2020,Q2,22.84
アネスト岩田,2020,Q3,12.5
アネスト岩田,2020,Q4,17.09
アマダ,2018,Q1,10.94
アマダ,2018,Q2,26.04
アマダ,2018,Q3,18.71
アマダ,2018,Q4,18.627167172762118
アマダ,2019,Q1,13.25
アマダ,2019,Q2,31.17
アマダ,2019,Q3,14.58
アマダ,2019,Q4,32.84
アマダ,2020,Q1,10.25
アマダ,2020,Q2,27.17
アマダ,2020,Q3,12.79
アマダ,2020,Q4,15.68
アマノ,2018,Q1,13.67
アマノ,2018,Q2,39.98
