企業名,会計年度,四半期,y_hat_umlp
アイロムグループ,2018,Q3,75.36287
アイロムグループ,2018,Q4,-39.365383
アイロムグループ,2019,Q1,-3.5948887
アイロムグループ,2019,Q2,-0.2943697
アイロムグループ,2019,Q3,48.49266
アイロムグループ,2019,Q4,7.3298163
アイロムグループ,2020,Q1,13.444006
アイロムグループ,2020,Q2,36.79254
アイロムグループ,2020,Q3,63.144947
アイロムグループ,2020,Q4,261.42227
アキレス,2018,Q1,15.969791
アキレス,2018,Q2,18.275766
アキレス,2018,Q3,18.064018
アキレス,2018,Q4,-1.098286
アキレス,2019,Q1,10.238693
アキレス,2019,Q2,-14.378334
アキレス,2019,Q3,11.124973
アキレス,2019,Q4,5.4767613
アキレス,2020,Q1,57.519352
アキレス,2020,Q2,15.630621
アキレス,2020,Q3,52.79706
アキレス,2020,Q4,16.058245
アクシアル　リテイリング,2018,Q1,34.555645
アクシアル　リテイリング,2018,Q2,46.537434
アクシアル　リテイリング,2018,Q3,56.752914
アクシアル　リテイリング,2018,Q4,32.887123
アクシアル　リテイリング,2019,Q1,46.322575
アクシアル　リテイリング,2019,Q2,63.89646
アクシアル　リテイリング,2019,Q3,50.690105
アクシアル　リテイリング,2019,Q4,42.73973
アクシアル　リテイリング,2020,Q1,51.426895
アクシアル　リテイリング,2020,Q2,47.295227
アクシアル　リテイリング,2020,Q3,40.877724
アクシアル　リテイリング,2020,Q4,46.908783
アクセル,2018,Q1,24.549109
アクセル,2018,Q2,16.301569
アクセル,2018,Q3,2.6750886
アクセル,2018,Q4,8.873682
アクセル,2019,Q1,-2.8141294
アクセル,2019,Q2,1.6643507
アクセル,2019,Q3,-11.415403
アクセル,2019,Q4,-41.049725
アクセル,2020,Q1,13.953577
アクセル,2020,Q2,-1.6830416
アクセル,2020,Q3,50.270897
アクセル,2020,Q4,15.191168
アジアパイルホールディングス,2018,Q1,14.161691
アジアパイルホールディングス,2018,Q2,15.306353
アジアパイルホールディングス,2018,Q3,13.724088
アジアパイルホールディングス,2018,Q4,16.785698
アジアパイルホールディングス,2019,Q1,14.23354
アジアパイルホールディングス,2019,Q2,32.388878
アジアパイルホールディングス,2019,Q3,19.130297
アジアパイルホールディングス,2019,Q4,14.454992
アジアパイルホールディングス,2020,Q1,29.3536
アジアパイルホールディングス,2020,Q2,19.656708
アジアパイルホールディングス,2020,Q3,28.753721
アジアパイルホールディングス,2020,Q4,28.248203
アステラス製薬,2018,Q1,40.012512
アステラス製薬,2018,Q2,26.320665
アステラス製薬,2018,Q3,43.437683
アステラス製薬,2018,Q4,14.644504
アステラス製薬,2019,Q1,27.92776
アステラス製薬,2019,Q2,31.979635
アステラス製薬,2019,Q3,59.421497
アステラス製薬,2019,Q4,11.260034
アステラス製薬,2020,Q1,34.647774
アステラス製薬,2020,Q2,51.888973
アステラス製薬,2020,Q3,63.61067
アステラス製薬,2020,Q4,28.048502
アズビル,2018,Q1,29.924227
アズビル,2018,Q2,51.33213
アズビル,2018,Q3,54.62262
アズビル,2018,Q4,94.3826
アズビル,2019,Q1,43.538162
アズビル,2019,Q2,55.48446
アズビル,2019,Q3,51.036716
アズビル,2019,Q4,98.05465
アズビル,2020,Q1,20.406456
アズビル,2020,Q2,41.38139
アズビル,2020,Q3,35.71256
アズビル,2020,Q4,61.875435
アズワン,2018,Q1,51.75189
アズワン,2018,Q2,42.26018
アズワン,2018,Q3,54.627174
アズワン,2018,Q4,51.848812
アズワン,2019,Q1,53.123814
アズワン,2019,Q2,56.170826
アズワン,2019,Q3,55.138844
アズワン,2019,Q4,38.465084
アズワン,2020,Q1,49.940918
アズワン,2020,Q2,64.9053
アズワン,2020,Q3,64.74361
アズワン,2020,Q4,50.5461
アツギ,2018,Q1,-0.41810054
アツギ,2018,Q2,25.379534
アツギ,2018,Q3,21.582594
アツギ,2018,Q4,1.380626
アツギ,2019,Q1,-162.29472
アツギ,2019,Q2,-76.3454
アツギ,2019,Q3,-94.07864
アツギ,2019,Q4,-156.75066
アツギ,2020,Q1,-37.888145
アツギ,2020,Q2,-208.85388
アツギ,2020,Q3,-97.50349
アツギ,2020,Q4,-85.74773
アドウェイズ,2018,Q1,54.282684
アドウェイズ,2018,Q2,23.139929
アドウェイズ,2018,Q3,53.16711
アドウェイズ,2018,Q4,27.64076
アドウェイズ,2019,Q1,116.45539
アドウェイズ,2019,Q2,228.8886
アドウェイズ,2019,Q3,219.41412
アドウェイズ,2019,Q4,169.65074
アドウェイズ,2020,Q1,18.76706
アドウェイズ,2020,Q2,-14.856987
アドウェイズ,2020,Q3,85.32513
