企業名,会計年度,四半期,y_hat_sarima_g
アステラス製薬,2018,Q2,19.213423351556376
アステラス製薬,2018,Q3,24.989216617167298
アステラス製薬,2018,Q4,7.987147804872695
アステラス製薬,2019,Q1,21.40165460029028
アステラス製薬,2019,Q2,19.886337280125563
アステラス製薬,2019,Q3,38.91658223494517
アステラス製薬,2019,Q4,13.09522148231743
アステラス製薬,2020,Q1,28.033904419749756
アステラス製薬,2020,Q2,31.35168449243028
アステラス製薬,2020,Q3,17.9091589144208
アステラス製薬,2020,Q4,-1.0235596480854632
アズビル,2018,Q1,29.844941168128507
アズビル,2018,Q2,68.88018688794
アズビル,2018,Q3,69.99458003866805
アズビル,2018,Q4,112.34137180474197
アズビル,2019,Q1,-9.395533404970884
アズビル,2019,Q2,46.38911709104198
アズビル,2019,Q3,30.47032818856923
アズビル,2019,Q4,76.6047740043732
アズビル,2020,Q1,-3.862017370381068
アズビル,2020,Q2,43.210429817595646
アズビル,2020,Q3,31.397362945352548
アズビル,2020,Q4,69.33556036555477
アズワン,2018,Q1,61.07665133943113
アズワン,2018,Q2,58.20792318661662
アズワン,2018,Q3,66.26470392901136
アズワン,2018,Q4,90.88081358820477
アズワン,2019,Q1,72.3598924449192
アズワン,2019,Q2,64.86654668415595
アズワン,2019,Q3,76.57563834194389
アズワン,2019,Q4,90.07634239388405
アズワン,2020,Q1,78.70899575065917
アズワン,2020,Q2,78.41805338333417
アズワン,2020,Q3,77.13166397244298
アズワン,2020,Q4,94.3081373345343
アツギ,2018,Q1,0.6532454117961053
アツギ,2018,Q2,1.796014634171451
アツギ,2018,Q3,15.54301302264085
アツギ,2018,Q4,-1.9613529486170247
アツギ,2019,Q1,-333.35207782371697
アツギ,2019,Q2,1.8803129239479706
アツギ,2019,Q3,-17.899974119687883
アツギ,2019,Q4,-426.32884533344986
アツギ,2020,Q1,-69.80909460330102
アツギ,2020,Q2,-53.83700003883338
アツギ,2020,Q3,-141.35423985531781
アツギ,2020,Q4,-75.96266499565783
アドウェイズ,2018,Q1,-447.3620841218301
アドウェイズ,2018,Q2,212.52118279055577
アドウェイズ,2018,Q3,-178.71371355677488
アドウェイズ,2018,Q4,-343.4560875228888
アドウェイズ,2019,Q1,-493.9420920154155
アドウェイズ,2019,Q2,402.83348666530907
アドウェイズ,2019,Q3,-19.341741624972897
アドウェイズ,2019,Q4,-310.5458841665978
アドウェイズ,2020,Q1,-333.4563380899724
アドウェイズ,2020,Q2,0.14896789233106844
アドウェイズ,2020,Q3,-69.63945482145448
アドウェイズ,2020,Q4,-11.143513257712906
アドソル日進,2018,Q1,20.036211866369086
アドソル日進,2018,Q2,23.434771134674886
アドソル日進,2018,Q3,20.290458622979507
