企業名,会計年度,四半期,y_hat_ul1_i_tuned_simple,best_hyparam
アクシアル　リテイリング,2019,Q3,75.65429620348215,[0.001]
アクシアル　リテイリング,2019,Q4,70.19229006298863,[0.001]
アクシアル　リテイリング,2020,Q1,69.91132479776374,[0.001]
アクシアル　リテイリング,2020,Q2,73.99229310122874,[0.001]
アクシアル　リテイリング,2020,Q3,92.2878778989986,[0.001]
アクシアル　リテイリング,2020,Q4,76.57514735521849,[0.001]
アクセル,2018,Q1,45.50580772075694,[1000]
アクセル,2018,Q2,12.879709878015866,[1000]
アクセル,2018,Q3,11.80484172500224,[1000]
アクセル,2018,Q4,9.169027563157474,[1000]
アクセル,2019,Q1,8.907222222222224,[1000]
アクセル,2019,Q2,8.746388888888891,[1000]
アクセル,2019,Q3,8.170833333333336,[1000]
アクセル,2019,Q4,7.923333333333334,[1000]
アクセル,2020,Q1,7.731944444444445,[1000]
アクセル,2020,Q2,8.161388888888887,[1000]
アクセル,2020,Q3,7.473055555555557,[1000]
アクセル,2020,Q4,6.811944444444445,[1000]
アジアパイルホールディングス,2018,Q1,10.292312256874773,[100]
アジアパイルホールディングス,2018,Q2,12.536748432579943,[100]
アジアパイルホールディングス,2018,Q3,15.385458984419305,[100]
アジアパイルホールディングス,2018,Q4,14.63005900753683,[100]
アジアパイルホールディングス,2019,Q1,12.554478550026346,[100]
アジアパイルホールディングス,2019,Q2,13.645616309904543,[100]
アジアパイルホールディングス,2019,Q3,14.927777777777777,[100]
アジアパイルホールディングス,2019,Q4,15.755277777777776,[100]
アジアパイルホールディングス,2020,Q1,16.342777777777776,[100]
アジアパイルホールディングス,2020,Q2,17.245,[100]
アジアパイルホールディングス,2020,Q3,17.589999999999996,[100]
アジアパイルホールディングス,2020,Q4,17.489444444444445,[100]
アステラス製薬,2018,Q1,25.849478429870132,[0.001]
アステラス製薬,2018,Q2,22.65252038472442,[0.001]
アステラス製薬,2018,Q3,31.577786785480875,[0.001]
アステラス製薬,2018,Q4,17.783150342334466,[0.001]
アステラス製薬,2019,Q1,32.186701204295865,[0.001]
アステラス製薬,2019,Q2,24.84904182113774,[0.001]
アステラス製薬,2019,Q3,39.35537030930767,[0.001]
アステラス製薬,2019,Q4,22.01117052629601,[0.001]
アステラス製薬,2020,Q1,30.800725235238353,[0.001]
アステラス製薬,2020,Q2,34.53284794791352,[0.001]
アステラス製薬,2020,Q3,32.11335289857182,[0.001]
アステラス製薬,2020,Q4,13.08158364117866,[0.001]
アズビル,2018,Q1,21.477804691806877,[100]
アズビル,2018,Q2,56.139202815719855,[100]
アズビル,2018,Q3,56.82115215540706,[100]
アズビル,2018,Q4,105.35005618951713,[100]
アズビル,2019,Q1,26.811626214973707,[100]
アズビル,2019,Q2,53.4207879082814,[100]
アズビル,2019,Q3,37.62378091216662,[100]
アズビル,2019,Q4,48.6220339935323,[100]
アズビル,2020,Q1,18.280104119347975,[100]
アズビル,2020,Q2,33.88457430626708,[100]
アズビル,2020,Q3,36.50945066215297,[100]
アズビル,2020,Q4,55.513458327582285,[100]
アズワン,2018,Q1,59.90489041315971,[10]
アズワン,2018,Q2,57.35454043160481,[10]
アズワン,2018,Q3,65.4773246047798,[10]
アズワン,2018,Q4,85.81857555052605,[10]
アズワン,2019,Q1,72.02376745457201,[10]
アズワン,2019,Q2,67.37722574852063,[10]
アズワン,2019,Q3,78.44483176919232,[10]
アズワン,2019,Q4,82.61662329038964,[10]
アズワン,2020,Q1,73.92902932848008,[10]
アズワン,2020,Q2,85.58129116359731,[10]
アズワン,2020,Q3,76.14943856606567,[10]
アズワン,2020,Q4,101.88421811076091,[10]
アツギ,2018,Q1,1.2128605041937404,[1000]
アツギ,2018,Q2,0.8014716153048512,[1000]
アツギ,2018,Q3,1.2220271708604067,[1000]
アツギ,2018,Q4,1.2745271708604067,[1000]
アツギ,2019,Q1,-4.191861718028482,[1000]
アツギ,2019,Q2,-4.656861718028483,[1000]
アツギ,2019,Q3,-4.6338061624729265,[1000]
アツギ,2019,Q4,-19.435458690962225,[1000]
アツギ,2020,Q1,-10.030095816753361,[1000]
アツギ,2020,Q2,-189.13510640574688,[1000]
アツギ,2020,Q3,-21.906223973400934,[1000]
アツギ,2020,Q4,-21.459970749812555,[1000]
アドウェイズ,2018,Q1,205.66289417476233,[0.001]
アドウェイズ,2018,Q2,149.15531412700122,[0.001]
アドウェイズ,2018,Q3,122.87182941633861,[0.001]
アドウェイズ,2018,Q4,126.47238527347818,[0.001]
アドウェイズ,2019,Q1,106.33484240104933,[0.001]
アドウェイズ,2019,Q2,97.6570655479433,[0.001]
アドウェイズ,2019,Q3,78.66502998614551,[0.001]
アドウェイズ,2019,Q4,77.0001396621867,[0.001]
アドウェイズ,2020,Q1,73.30402169684258,[0.001]
アドウェイズ,2020,Q2,71.9387460722844,[0.001]
アドウェイズ,2020,Q3,56.35262145013169,[0.001]
アドウェイズ,2020,Q4,32.438556853172926,[0.001]
アドソル日進,2018,Q1,16.456473881470863,[100]
アドソル日進,2018,Q2,17.68706105405301,[100]
アドソル日進,2018,Q3,17.676846807651614,[100]
