企業名,会計年度,四半期,y_hat_comb_mols
アズワン,2018,Q2,62.5466671193088
アズワン,2018,Q3,83.57557926114292
アズワン,2018,Q4,94.12981843436886
アズワン,2019,Q1,77.97641141038707
アズワン,2019,Q2,65.09481991815831
アズワン,2019,Q3,84.53820583381172
アズワン,2019,Q4,68.05338823367374
アズワン,2020,Q1,73.32021031205254
アズワン,2020,Q2,74.49240924095135
アズワン,2020,Q3,77.57639101096072
アズワン,2020,Q4,168.18291273288273
アツギ,2018,Q1,74.8167022431078
アツギ,2018,Q2,177.9084751100872
アツギ,2018,Q3,214.20285568586394
アツギ,2018,Q4,75.12195190569584
アツギ,2019,Q1,-9.059998207463224
アツギ,2019,Q2,-29.325847770676717
アツギ,2019,Q3,34.10307800477022
アツギ,2019,Q4,-1462.5883128989208
アツギ,2020,Q1,34.45777788884811
アツギ,2020,Q2,-37.79749552707798
アツギ,2020,Q3,-876.5197063977093
アツギ,2020,Q4,-100.02409612580112
アドウェイズ,2018,Q1,-28.48730935280666
アドウェイズ,2018,Q2,-876.0655045689509
アドウェイズ,2018,Q3,-149.7332102510732
アドウェイズ,2018,Q4,18.406520568259182
アドウェイズ,2019,Q1,10.317389507957358
アドウェイズ,2019,Q2,0.04846191673914291
アドウェイズ,2019,Q3,10.642769782673883
アドウェイズ,2019,Q4,9.657618845586095
アドウェイズ,2020,Q1,17.176180592352864
アドウェイズ,2020,Q2,15.753211771326391
アドウェイズ,2020,Q3,15.34982783577694
アドウェイズ,2020,Q4,6.270436265010517
アドソル日進,2018,Q1,20.418867879400555
アドソル日進,2018,Q2,14.995908049530149
アドソル日進,2018,Q3,13.008169260910469
アドソル日進,2018,Q4,7.279081106502599
アドソル日進,2019,Q1,23.53162054264921
アドソル日進,2019,Q2,22.854468965212675
アドソル日進,2019,Q3,26.970868829358153
アドソル日進,2019,Q4,24.28528064546005
アドソル日進,2020,Q1,18.99378488703808
アドソル日進,2020,Q2,16.154559137689194
アドソル日進,2020,Q3,19.082201418606154
アドソル日進,2020,Q4,13.981827372604707
アドバンテスト,2018,Q1,60.722109880050056
アドバンテスト,2018,Q2,35.22434010714283
アドバンテスト,2018,Q3,53.40936129330728
アドバンテスト,2018,Q4,43.16056509343497
アドバンテスト,2019,Q1,45.88333441915222
アドバンテスト,2019,Q2,51.85926617730873
アドバンテスト,2019,Q3,27.25681390914936
アドバンテスト,2019,Q4,39.37072258468015
アドバンテスト,2020,Q1,38.82025721863939
アドバンテスト,2020,Q2,97.3252781507503
アドバンテスト,2020,Q3,74.86426471456377
アドバンテスト,2020,Q4,117.60909711753136
アドヴァングループ,2018,Q1,-12.946019647944746
アドヴァングループ,2018,Q2,15.245267885887472
アドヴァングループ,2018,Q3,35.30350210149783
アドヴァングループ,2018,Q4,27.47154198145329
アドヴァングループ,2019,Q1,16.809637362447642
アドヴァングループ,2019,Q2,12.124135993343534
アドヴァングループ,2019,Q3,-4.858924364427177
アドヴァングループ,2019,Q4,37.99257734654871
アドヴァングループ,2020,Q1,30.540524798895344
アドヴァングループ,2020,Q2,33.071113028463344
アドヴァングループ,2020,Q3,10.57507046965086
アドヴァングループ,2020,Q4,22.611354547096216
アマダ,2018,Q1,-9.781128809169337
アマダ,2018,Q2,16.02339778699835
アマダ,2018,Q3,38.56308424090309
アマダ,2018,Q4,30.826703254165626
アマダ,2019,Q1,29.568634739271555
アマダ,2019,Q2,34.58402903901393
アマダ,2019,Q3,17.892612678742356
アマダ,2019,Q4,30.623253134083885
アマダ,2020,Q1,3.6423117347388207
アマダ,2020,Q2,41.906088331162785
アマダ,2020,Q3,11.530090233153691
アマダ,2020,Q4,16.35985129556236
アマノ,2018,Q1,11.17013714885555
アマノ,2018,Q2,33.08811666726021
アマノ,2018,Q3,39.12064359752076
アマノ,2018,Q4,52.255613340306354
アマノ,2019,Q1,-16.90135433651456
アマノ,2019,Q2,38.54016252368866
アマノ,2019,Q3,16.800648524313107
アマノ,2019,Q4,52.546060557676505
アマノ,2020,Q1,22.81510991783789
アマノ,2020,Q2,-35.26976166784764
アマノ,2020,Q3,-351.1648602658093
