企業名,会計年度,四半期,y_test - y_test,y_test - y_hat_rw,y_test - y_hat_sarima_br,y_test - y_hat_sarima_f,y_test - y_hat_sarima_g,y_test - y_hat_umlp,y_test - y_hat_mlm1,y_test - y_hat_mlm2,y_test - y_hat_mlm3,y_test - y_hat_mlm4
日水製薬,2018,Q2,0.0,-7.5600000000000005,-17.917319093821806,-18.262389465389518,-16.167626037099048,-12.500160000000001,-22.42885915038045,-11.56367231860197,-13.721323605046766,-41.57573164427973
日水製薬,2018,Q3,0.0,9.13,-5.059939405949182,4.8084230015426215,-2.135214907284526,-0.18614399999999875,-0.5900766278823433,8.608400675807582,8.183437880355742,-91.53307124821802
日水製薬,2018,Q4,0.0,3.879999999999999,-4.178220370933291,0.5741580626563145,2.221947339020426,14.073346469999999,-0.5669011594527049,5.16186988617021,4.611858340323483,35.928461225934235
日水製薬,2019,Q1,0.0,-14.41,-12.545752148388345,-9.098968795304623,-5.668603859382495,-32.428523,-18.922970902132327,-3.314797178382262,-5.527948345307974,-113.5053336865425
日水製薬,2019,Q2,0.0,14.1,-0.7500440806918505,14.174311238671235,5.466649682915781,-8.141583,13.138534350391787,9.38827829953322,6.376860190748297,59.47965273344838
日水製薬,2019,Q3,0.0,-5.969999999999999,-11.958601537446434,-4.225582316514039,-4.3145564366187745,-19.439372999999996,-12.544341495250467,4.90755003954974,7.8495295928722655,-30.097762765729996
日水製薬,2019,Q4,0.0,-12.17,-22.098948444652933,-18.11686592135007,-15.504281914765004,-6.980322999999999,8.356721737848055,-7.322717266741213,-9.320493014241128,-40.88687692834161
日水製薬,2020,Q1,0.0,5.859999999999999,-2.6769008048174836,4.482189700306563,3.4318073776268485,-4.4835308,-5.482779893254322,-9.519261950776372,-10.347373715885615,65.53779847697503
日水製薬,2020,Q2,0.0,8.120000000000001,-4.3869650408101535,-4.405029867894784,5.503279624794194,9.910887544000001,18.006922482399624,8.625693099919692,13.06505912836973,257.5538683358836
日水製薬,2020,Q3,0.0,-1.200000000000001,-8.316989351313051,1.170803115857396,0.8319594426685901,-0.33332300000000004,4.939156307544291,-34.789988979289035,-37.469073231746634,-63.05130948266727
日水製薬,2020,Q4,0.0,-0.03999999999999915,-4.00554078210984,12.661692237569353,1.1773914278515907,11.419918000000001,14.349269787068117,-12.404771283393643,-13.891933137362926,16.06920115205925
日油,2018,Q1,0.0,-8.979999999999997,-22.289696708629698,-11.719521812963116,-14.94476807315069,39.278864,-14.208157391680636,-2.0914073279970893,-2.598059060307399,531.9357597768897
日油,2018,Q2,0.0,-2.3100000000000023,0.6828834475902426,0.5722427880394392,-2.3336772912327106,18.157604,-8.483172532702461,-3.9050451022308508,16.1310748790293,130.01801485183086
日油,2018,Q3,0.0,6.949999999999996,-21.671754643065327,-28.516074374268214,-23.4338659251907,38.126052,-38.51434676608581,-35.9352326585295,-35.47439580334013,-94.97235365377367
日油,2018,Q4,0.0,12.36,17.496489532164638,7.335897209143226,15.62291695267325,29.792005999999994,-8.414052587723674,0.058236159195431014,-1.7283927167459439,48.73505851732851
日油,2019,Q1,0.0,-16.46999999999999,-12.36602566705269,-5.490313660974287,-15.281417838672134,28.881736,-30.29092490362124,-9.366986153944104,-13.940272548797374,-52.42385984634084
日油,2019,Q2,0.0,-7.640000000000001,-4.018453090562474,-5.194896527162989,-8.860104998381566,10.549777000000006,-18.328459467129555,11.964115930511504,14.647897009165526,-41.23766980624223
日油,2019,Q3,0.0,10.779999999999994,-2.366994493887219,2.6177316583139216,-4.623267034787872,4.138435999999999,6.2511386619896925,16.536382171816776,18.722081748483987,-9.995276233475892
日油,2019,Q4,0.0,11.0,4.446031998047189,-1.6070514287760176,5.5506463226066245,-3.9642099999999942,5.352611748493047,-11.528279887936904,-11.70830774368281,48.28231788289682
日油,2020,Q1,0.0,-29.65,-16.276340140422533,-13.77443740093225,-19.164258250927197,-10.265294999999995,-22.985526088697362,-9.094427393883329,-9.47464647165355,40.30327309809969
日油,2020,Q2,0.0,-7.57,-4.00116024825757,-3.762841430848475,-2.8011306925157626,-8.356124000000001,-17.63158707873408,21.45739920533589,20.82660549469921,10.68867096185653
日油,2020,Q3,0.0,73.82000000000001,59.7150003052469,59.39097201812923,62.246697013669,61.28806500000001,53.036985364691205,67.24254815584642,67.31142651588131,52.97797121813597
日油,2020,Q4,0.0,-24.31511806620894,-20.287880140893577,-17.819131872426837,-3.8475808016047495,66.92267493379106,6.6815632378186365,-45.63757811881621,-53.37442443580642,23.743132190379356
日清オイリオグループ,2018,Q1,0.0,13.100000000000001,16.155325771772652,26.54203454720333,10.972043316644367,74.279644,19.548918874318716,15.108468420608965,11.242238686183825,-413.3106073177557
