企業名,会計年度,四半期,y_hat_comb_all
アイチコーポレーション,2020,Q4,18.784834802933958
アイティフォー,2018,Q1,3.1022378919756495
アイティフォー,2018,Q2,5.1392182159754505
アイティフォー,2018,Q3,7.533518162683188
アイティフォー,2018,Q4,19.807738240886962
アイティフォー,2019,Q1,5.603107766151912
アイティフォー,2019,Q2,9.263457096990944
アイティフォー,2019,Q3,9.905433798957386
アイティフォー,2019,Q4,16.747436107356048
アイティフォー,2020,Q1,7.232372134203484
アイティフォー,2020,Q2,11.703757669924302
アイティフォー,2020,Q3,2.842008599718118
アイティフォー,2020,Q4,20.605861254911925
アイティメディア,2018,Q1,-4.311674385170883
アイティメディア,2018,Q2,9.935869682712783
アイティメディア,2018,Q3,2.4128347648860595
アイティメディア,2018,Q4,7.613138420618635
アイティメディア,2019,Q1,4.401484601041288
アイティメディア,2019,Q2,10.34653734681264
アイティメディア,2019,Q3,7.743803708482462
アイティメディア,2019,Q4,10.74143117692504
アイティメディア,2020,Q1,7.3778169804264895
アイティメディア,2020,Q2,11.4388316988423
アイティメディア,2020,Q3,12.94644271305885
アイティメディア,2020,Q4,13.549088294187882
アイネス,2018,Q1,0.8843927961533383
アイネス,2018,Q2,12.816197079033074
アイネス,2018,Q3,1.7223086192299126
アイネス,2018,Q4,23.10344459484161
アイネス,2019,Q1,3.0251748720352936
アイネス,2019,Q2,14.033825084090584
アイネス,2019,Q3,31.42944997099894
アイネス,2019,Q4,-52.795869926654916
アイネス,2020,Q1,22.479531721235755
アイネス,2020,Q2,-0.5126257195574697
アイネス,2020,Q3,51.45673057850374
アイネス,2020,Q4,25.21172158530898
アイネット,2018,Q1,13.574566868493589
アイネット,2018,Q2,23.788421653561308
アイネット,2018,Q3,22.637306038290735
アイネット,2018,Q4,25.587758363174228
アイネット,2019,Q1,17.13270106748085
アイネット,2019,Q2,28.830316987923133
アイネット,2019,Q3,22.184763792757405
アイネット,2019,Q4,27.981999012390215
アイネット,2020,Q1,20.029100776946727
アイネット,2020,Q2,23.085664522526475
アイネット,2020,Q3,21.014751700702135
アイネット,2020,Q4,25.522607383493675
アイホン,2018,Q1,15.379369488608571
アイホン,2018,Q2,54.949291082107656
アイホン,2018,Q3,22.220520451259357
アイホン,2018,Q4,48.05181489318761
アイホン,2019,Q1,22.249010786937006
アイホン,2019,Q2,56.421018228290315
アイホン,2019,Q3,31.63609278107277
アイホン,2019,Q4,55.29635145812709
アイホン,2020,Q1,18.756863478067014
アイホン,2020,Q2,53.87063691185544
アイホン,2020,Q3,34.25851584926588
アイホン,2020,Q4,34.39239439549005
アイロムグループ,2018,Q1,29.73839058210827
アイロムグループ,2018,Q2,11.308223239527338
アイロムグループ,2018,Q3,26.528715558406034
アイロムグループ,2018,Q4,24.617291669401798
アイロムグループ,2019,Q1,20.65686124093752
アイロムグループ,2019,Q2,0.4449599284361988
アイロムグループ,2019,Q3,39.03994818894289
アイロムグループ,2019,Q4,37.60245903177409
アイロムグループ,2020,Q1,33.16627059823042
アイロムグループ,2020,Q2,19.65051681299555
アイロムグループ,2020,Q3,58.01317013827262
アイロムグループ,2020,Q4,42.35627716618543
アキレス,2018,Q1,15.275987968238875
アキレス,2018,Q2,32.43146994629427
アキレス,2018,Q3,23.619987083339634
アキレス,2018,Q4,21.046207475017503
アキレス,2019,Q1,2.8123496306880207
アキレス,2019,Q2,15.430733253235749
アキレス,2019,Q3,-23.531885128203797
アキレス,2019,Q4,33.30735311758799
アキレス,2020,Q1,-9.931380470840354
アキレス,2020,Q2,70.77433881506015
アキレス,2020,Q3,13.15977436276399
アキレス,2020,Q4,15.9613430739608
アクシアル　リテイリング,2018,Q1,61.37941732868592
アクシアル　リテイリング,2018,Q2,69.17307417121222
アクシアル　リテイリング,2018,Q3,86.56140043803344
アクシアル　リテイリング,2018,Q4,54.888805496288384
アクシアル　リテイリング,2019,Q1,67.78299107768922
アクシアル　リテイリング,2019,Q2,74.0980342904852
アクシアル　リテイリング,2019,Q3,77.82468828109332
アクシアル　リテイリング,2019,Q4,66.76211566314788
アクシアル　リテイリング,2020,Q1,78.26879203095027
アクシアル　リテイリング,2020,Q2,75.0225104776264
アクシアル　リテイリング,2020,Q3,92.26087112082703
アクシアル　リテイリング,2020,Q4,51.17623749311442
アクセル,2018,Q1,-0.16177865758821358
アクセル,2018,Q2,16.08869622612109
アクセル,2018,Q3,1.6199366126232522
アクセル,2018,Q4,21.170074126203602
アクセル,2019,Q1,6.3973032213993575
アクセル,2019,Q2,9.348488038104115
アクセル,2019,Q3,5.525914432086332
アクセル,2019,Q4,5.817946245662962
アクセル,2020,Q1,11.554693736031844
アクセル,2020,Q2,11.996069149176211
アクセル,2020,Q3,11.278523132570745
アクセル,2020,Q4,-3.846681394965925
アジアパイルホールディングス,2018,Q1,10.481127922233666
