企業名,会計年度,四半期,y_hat_ibes_comb_all
スクウェア・エニックス・ホール,2018,Q1,35.95591060395192
スクウェア・エニックス・ホール,2018,Q2,43.60570061155155
スクウェア・エニックス・ホール,2018,Q3,44.122105274884895
スクウェア・エニックス・ホール,2018,Q4,28.804520358999156
スクウェア・エニックス・ホール,2019,Q1,43.70303280086375
スクウェア・エニックス・ホール,2019,Q2,56.273920506119794
スクウェア・エニックス・ホール,2019,Q3,40.21644915130921
スクウェア・エニックス・ホール,2019,Q4,28.479641041549776
スクウェア・エニックス・ホール,2020,Q1,55.395675304575
スクウェア・エニックス・ホール,2020,Q2,46.75014743351574
スクウェア・エニックス・ホール,2020,Q3,69.11375260779312
スクウェア・エニックス・ホール,2020,Q4,65.57991837207122
スズキ,2018,Q1,135.28583276207587
スズキ,2018,Q2,108.93010721905976
スズキ,2018,Q3,135.86026544918565
スズキ,2018,Q4,84.39925804747226
スズキ,2019,Q1,133.73138530882275
スズキ,2019,Q2,54.9708022295324
スズキ,2019,Q3,100.35305657498368
スズキ,2019,Q4,28.793608546190956
スズキ,2020,Q1,62.9865290758346
スズキ,2020,Q2,42.95549446246368
スズキ,2020,Q3,62.262487008223054
スズキ,2020,Q4,63.5256883010983
セイコーエプソン,2018,Q1,38.935945576990235
セイコーエプソン,2018,Q2,33.038008032635894
セイコーエプソン,2018,Q3,54.294260346555426
セイコーエプソン,2018,Q4,52.44039236965677
セイコーエプソン,2019,Q1,25.542337118502672
セイコーエプソン,2019,Q2,14.116026090492339
セイコーエプソン,2019,Q3,41.43171302331422
セイコーエプソン,2019,Q4,28.11895229177033
セイコーエプソン,2020,Q1,-34.858405214392086
セイコーエプソン,2020,Q2,25.643299605164177
セイコーエプソン,2020,Q3,48.822438485835896
セイコーエプソン,2020,Q4,0.9751100175221056
ソニーグループ,2018,Q1,97.39191008542463
ソニーグループ,2018,Q2,78.83282425986702
ソニーグループ,2018,Q3,129.87940073544772
ソニーグループ,2018,Q4,95.03589909226078
ソニーグループ,2019,Q1,194.36020375176759
ソニーグループ,2019,Q2,153.62453991572494
ソニーグループ,2019,Q3,229.15114867846802
ソニーグループ,2019,Q4,84.95855686744356
ソニーグループ,2020,Q1,109.55675640681548
ソニーグループ,2020,Q2,112.3068797862031
ソニーグループ,2020,Q3,186.93302196825817
ソニーグループ,2020,Q4,80.84169415776748
ダイキン工業,2018,Q1,160.69166280340093
ダイキン工業,2018,Q2,186.49483796992658
ダイキン工業,2018,Q3,168.60401087136944
ダイキン工業,2018,Q4,120.39035981290404
ダイキン工業,2019,Q1,202.93671670063617
ダイキン工業,2019,Q2,191.78518132582286
ダイキン工業,2019,Q3,158.90570931113558
ダイキン工業,2019,Q4,130.9472206168666
ダイキン工業,2020,Q1,157.24439084184715
ダイキン工業,2020,Q2,148.45946991132024
ダイキン工業,2020,Q3,116.80809280535888
ダイキン工業,2020,Q4,102.83487167276282
ダイセル,2018,Q1,26.30260272560858
ダイセル,2018,Q2,30.676685408264415
ダイセル,2018,Q3,31.742774892002966
ダイセル,2018,Q4,28.54718862213579
ダイセル,2019,Q1,25.306359081113275
ダイセル,2019,Q2,28.972249260751852
ダイセル,2019,Q3,21.434700310992348
ダイセル,2019,Q4,-6.544944597511036
ダイセル,2020,Q1,4.033007091037414
ダイセル,2020,Q2,6.356485411293247
ダイセル,2020,Q3,-1.8727822977395676
ダイセル,2020,Q4,15.158987455447908
ダイフク,2018,Q1,56.69650998938073
ダイフク,2018,Q2,82.88641947911665
ダイフク,2018,Q3,83.3468938241992
ダイフク,2018,Q4,80.5081118717961
ダイフク,2019,Q1,72.0014690274883
ダイフク,2019,Q2,62.45473853617926
ダイフク,2019,Q3,74.5996434049729
ダイフク,2019,Q4,63.20329486963159
ダイフク,2020,Q1,42.00431522182336
ダイフク,2020,Q2,62.75774669230681
ダイフク,2020,Q3,59.67163422445883
ダイフク,2020,Q4,55.075032462121264
テルモ,2018,Q1,33.89597326414884
テルモ,2018,Q2,47.778742837582236
テルモ,2018,Q3,41.92731030339457
テルモ,2018,Q4,45.10098557285287
テルモ,2019,Q1,47.42507132757764
テルモ,2019,Q2,41.157809980151065
テルモ,2019,Q3,48.976186581386685
テルモ,2019,Q4,35.72164923895992
テルモ,2020,Q1,34.04585845131374
テルモ,2020,Q2,30.57268564312555
テルモ,2020,Q3,40.1364947648857
テルモ,2020,Q4,31.867293987983153
ディスコ,2018,Q1,264.01927398202037
ディスコ,2018,Q2,219.0629794725626
ディスコ,2018,Q3,203.99889558002258
ディスコ,2018,Q4,219.41219679089986
ディスコ,2019,Q1,179.0195962087083
ディスコ,2019,Q2,175.88842284316794
ディスコ,2019,Q3,190.336712361467
ディスコ,2019,Q4,202.56384678061187
ディスコ,2020,Q1,185.75511254812054
ディスコ,2020,Q2,211.39358542178644
