企業名,会計年度,四半期,y_hat_ibes_comb_mml
セイコーエプソン,2020,Q4,30.093126639152086
ソニーグループ,2018,Q1,147.778729810636
ソニーグループ,2018,Q2,119.72101803385085
ソニーグループ,2018,Q3,85.98505346465618
ソニーグループ,2018,Q4,100.7993724278631
ソニーグループ,2019,Q1,210.76217574274028
ソニーグループ,2019,Q2,210.5321572688243
ソニーグループ,2019,Q3,231.56097878233922
ソニーグループ,2019,Q4,90.8575074217418
ソニーグループ,2020,Q1,103.09747540439936
ソニーグループ,2020,Q2,67.19560872420003
ソニーグループ,2020,Q3,149.37594940935074
ソニーグループ,2020,Q4,57.102340679763074
ダイキン工業,2018,Q1,160.18829354359627
ダイキン工業,2018,Q2,178.6905621042354
ダイキン工業,2018,Q3,153.3593138625992
ダイキン工業,2018,Q4,131.44075589181304
ダイキン工業,2019,Q1,214.803266485072
ダイキン工業,2019,Q2,182.57285834543566
ダイキン工業,2019,Q3,125.71999933535106
ダイキン工業,2019,Q4,122.47045048946491
ダイキン工業,2020,Q1,144.4455846900855
ダイキン工業,2020,Q2,168.50536655726782
ダイキン工業,2020,Q3,138.19844113194497
ダイキン工業,2020,Q4,106.05373205063047
ダイセル,2018,Q1,28.467496360653303
ダイセル,2018,Q2,29.911037061978053
ダイセル,2018,Q3,32.23862155030468
ダイセル,2018,Q4,27.465790708438206
ダイセル,2019,Q1,27.785331317401898
ダイセル,2019,Q2,22.889396143542427
ダイセル,2019,Q3,20.31010531341794
ダイセル,2019,Q4,8.46460569754838
ダイセル,2020,Q1,0.09488653972562504
ダイセル,2020,Q2,2.6918908677225453
ダイセル,2020,Q3,0.26040501285252793
ダイセル,2020,Q4,15.541971851023026
ダイフク,2018,Q1,52.267482878198784
ダイフク,2018,Q2,76.10839676479782
ダイフク,2018,Q3,74.279550372193
ダイフク,2018,Q4,76.51579470561063
ダイフク,2019,Q1,62.98870617143425
ダイフク,2019,Q2,66.73187281074512
ダイフク,2019,Q3,72.44952877801323
ダイフク,2019,Q4,65.45479610303771
ダイフク,2020,Q1,59.561055050721485
ダイフク,2020,Q2,65.48677128115978
ダイフク,2020,Q3,62.55758197169484
ダイフク,2020,Q4,64.18125932444137
テルモ,2018,Q1,36.797678535703774
テルモ,2018,Q2,49.524459451899226
テルモ,2018,Q3,29.874435746991292
テルモ,2018,Q4,46.63461443748065
テルモ,2019,Q1,38.013386065141276
テルモ,2019,Q2,30.817259521398785
テルモ,2019,Q3,45.48018165623387
テルモ,2019,Q4,22.707995640375362
テルモ,2020,Q1,39.63617618831001
テルモ,2020,Q2,34.53887863567089
テルモ,2020,Q3,43.67211657416731
テルモ,2020,Q4,31.774226128858462
ディスコ,2018,Q1,240.0424159199023
ディスコ,2018,Q2,219.58496979508266
ディスコ,2018,Q3,182.65476557686134
ディスコ,2018,Q4,175.87800884754566
ディスコ,2019,Q1,163.8363326861767
ディスコ,2019,Q2,183.0286782511275
ディスコ,2019,Q3,182.94280988099456
ディスコ,2019,Q4,195.6652599962999
ディスコ,2020,Q1,195.87388992270715
ディスコ,2020,Q2,247.80232493802933
ディスコ,2020,Q3,236.8626798477989
ディスコ,2020,Q4,309.80004254408544
デンソー,2018,Q1,104.30731276139574
デンソー,2018,Q2,87.56895209332525
デンソー,2018,Q3,96.80431156783904
デンソー,2018,Q4,77.32922511546072
デンソー,2019,Q1,86.43062966225762
デンソー,2019,Q2,67.93879826383497
デンソー,2019,Q3,63.749064301898386
デンソー,2019,Q4,25.070303863215315
デンソー,2020,Q1,-2.2957049353890793
デンソー,2020,Q2,44.079510392094484
デンソー,2020,Q3,97.62429993939821
デンソー,2020,Q4,97.90629796584676
トヨタ自動車,2018,Q1,203.0121758951285
トヨタ自動車,2018,Q2,168.1722611696499
トヨタ自動車,2018,Q3,205.61503378561088
トヨタ自動車,2018,Q4,140.84051580266626
トヨタ自動車,2019,Q1,63.43857161925385
トヨタ自動車,2019,Q2,195.63961671706616
トヨタ自動車,2019,Q3,129.38204731646147
トヨタ自動車,2019,Q4,-35.076897702777046
トヨタ自動車,2020,Q1,127.5061076195948
トヨタ自動車,2020,Q2,131.14244249789127
トヨタ自動車,2020,Q3,229.33412677468132
トヨタ自動車,2020,Q4,77.11153731253096
ニコン,2018,Q1,20.564811835261168
ニコン,2018,Q2,23.111637554686833
ニコン,2018,Q3,17.916461963333564
ニコン,2018,Q4,29.86313839513144
ニコン,2019,Q1,27.854329640278653
ニコン,2019,Q2,26.881658823129584
ニコン,2019,Q3,32.11310768824549
ニコン,2019,Q4,16.81003030356292
ニコン,2020,Q1,4.656255546297711
ニコン,2020,Q2,3.5189318955585285
ニコン,2020,Q3,-5.2403626289795495
ニコン,2020,Q4,-24.54200580687355
ニチコン,2018,Q1,3.2100234496561364
ニチコン,2018,Q2,-1.1847965421352573
ニチコン,2018,Q3,-40.69820035771343
ニチコン,2018,Q4,-13.837157278490954
ニチコン,2019,Q1,-15.829935992480161
ニチコン,2019,Q2,-43.79707337972422
ニチコン,2019,Q3,11.733238055493183
ニチコン,2019,Q4,-32.62024986130066
ニチコン,2020,Q1,-7.579621347888818
ニチコン,2020,Q2,1.2736118740633493
ニチコン,2020,Q3,5.891545227064441
ニチコン,2020,Q4,-0.48198077615866985
ニフコ,2018,Q1,64.55807596942786
ニフコ,2018,Q2,69.45019811230024
ニフコ,2018,Q3,40.22908535980203
ニフコ,2018,Q4,57.079251718907805
ニフコ,2019,Q1,34.845349416024135
ニフコ,2019,Q2,41.67168551034111
ニフコ,2019,Q3,40.03467137987112
ニフコ,2019,Q4,39.09440834463805
ニフコ,2020,Q1,29.16070610824183
ニフコ,2020,Q2,28.194475426436327
ニフコ,2020,Q3,38.74246936473472
ニフコ,2020,Q4,47.61170872526113
バンダイナムコホールディングス,2018,Q1,46.267255151690584
バンダイナムコホールディングス,2018,Q2,73.66999686984232
バンダイナムコホールディングス,2018,Q3,79.50180865953176
バンダイナムコホールディングス,2018,Q4,43.87395372068618
バンダイナムコホールディングス,2019,Q1,70.02638983550189
