企業名,会計年度,四半期,y_hat_comb_mall
アルコニックス,2019,Q2,45.69873301830857
アルコニックス,2019,Q3,16.085159424991396
アルコニックス,2019,Q4,23.185372588934957
アルコニックス,2020,Q1,41.3957052698936
アルコニックス,2020,Q2,43.157311333654626
アルコニックス,2020,Q3,42.98846312781721
アルコニックス,2020,Q4,21.535882130718175
アルゴグラフィックス,2018,Q1,63.221606379245785
アルゴグラフィックス,2018,Q2,61.47721172457896
アルゴグラフィックス,2018,Q3,60.97486242126113
アルゴグラフィックス,2018,Q4,83.09181521958003
アルゴグラフィックス,2019,Q1,55.39627934774613
アルゴグラフィックス,2019,Q2,34.94406344485301
アルゴグラフィックス,2019,Q3,29.47893221139043
アルゴグラフィックス,2019,Q4,37.45725563032037
アルゴグラフィックス,2020,Q1,23.0144600341004
アルゴグラフィックス,2020,Q2,33.657594686023764
アルゴグラフィックス,2020,Q3,33.91453562348599
アルゴグラフィックス,2020,Q4,38.621364933534224
アルファ,2018,Q1,38.2636253591907
アルファ,2018,Q2,30.916681278473966
アルファ,2018,Q3,28.330525698694828
アルファ,2018,Q4,57.866487050071115
アルファ,2019,Q1,37.15959128181815
アルファ,2019,Q2,23.968697895036172
アルファ,2019,Q3,45.0654250880411
アルファ,2019,Q4,65.88002851719439
アルファ,2020,Q1,-36.76392995223388
アルファ,2020,Q2,10.737670916983868
アルファ,2020,Q3,-3.734663523431929
アルファ,2020,Q4,28.064771702668175
アルファシステムズ,2018,Q1,37.61211960691096
アルファシステムズ,2018,Q2,38.34850988582561
アルファシステムズ,2018,Q3,32.38514048030139
アルファシステムズ,2018,Q4,43.5420703386617
アルファシステムズ,2019,Q1,33.170793916166105
アルファシステムズ,2019,Q2,33.08631872739058
アルファシステムズ,2019,Q3,27.29445444496672
アルファシステムズ,2019,Q4,45.720362994808305
アルファシステムズ,2020,Q1,28.573055860274724
アルファシステムズ,2020,Q2,42.52230092465996
アルファシステムズ,2020,Q3,33.1952411415798
アルファシステムズ,2020,Q4,51.47656420876446
アルフレッサ　ホールディングス,2018,Q1,40.70455935526077
アルフレッサ　ホールディングス,2018,Q2,37.236735367545926
アルフレッサ　ホールディングス,2018,Q3,58.677164659293226
アルフレッサ　ホールディングス,2018,Q4,39.10082182048297
アルフレッサ　ホールディングス,2019,Q1,46.67052187866119
アルフレッサ　ホールディングス,2019,Q2,48.11518103421426
アルフレッサ　ホールディングス,2019,Q3,53.136681290895034
アルフレッサ　ホールディングス,2019,Q4,46.94440411761679
アルフレッサ　ホールディングス,2020,Q1,32.107832539620276
アルフレッサ　ホールディングス,2020,Q2,32.43708739901909
アルフレッサ　ホールディングス,2020,Q3,41.355351100897465
アルフレッサ　ホールディングス,2020,Q4,26.29032901550159
アルプスアルパイン,2018,Q1,47.55756226504728
アルプスアルパイン,2018,Q2,82.18832977286198
アルプスアルパイン,2018,Q3,73.82722464877752
アルプスアルパイン,2018,Q4,-15.42361820797348
アルプスアルパイン,2019,Q1,13.730671096924686
アルプスアルパイン,2019,Q2,60.38084253927551
アルプスアルパイン,2019,Q3,24.16317159415286
アルプスアルパイン,2019,Q4,-22.427341717768776
アルプスアルパイン,2020,Q1,-20.093104076967446
