企業名,会計年度,四半期,y_hat_comb_uts
アイロムグループ,2019,Q1,26.557848945191942
アイロムグループ,2019,Q2,7.86983583629752
アイロムグループ,2019,Q3,33.67469181091518
アイロムグループ,2019,Q4,48.33803807238696
アイロムグループ,2020,Q1,22.314409069683812
アイロムグループ,2020,Q2,-6.235345958116744
アイロムグループ,2020,Q3,33.318918168215035
アイロムグループ,2020,Q4,72.39988355145098
アキレス,2018,Q1,37.76976144494458
アキレス,2018,Q2,17.835024019690632
アキレス,2018,Q3,31.632744033039067
アキレス,2018,Q4,-7.920708481487447
アキレス,2019,Q1,9.827823359226675
アキレス,2019,Q2,14.446773617194925
アキレス,2019,Q3,0.8698350427305197
アキレス,2019,Q4,26.739568866332654
アキレス,2020,Q1,33.806629448957395
アキレス,2020,Q2,79.60993651406145
アキレス,2020,Q3,38.595778017880875
アキレス,2020,Q4,34.37969126191564
アクシアル　リテイリング,2018,Q1,62.630178829328734
アクシアル　リテイリング,2018,Q2,64.53798645283146
アクシアル　リテイリング,2018,Q3,85.35628135839058
アクシアル　リテイリング,2018,Q4,51.94796784092584
アクシアル　リテイリング,2019,Q1,62.59136330508922
アクシアル　リテイリング,2019,Q2,74.73375572860111
アクシアル　リテイリング,2019,Q3,74.02235724684151
アクシアル　リテイリング,2019,Q4,71.09956765975829
アクシアル　リテイリング,2020,Q1,67.24272227641698
アクシアル　リテイリング,2020,Q2,69.88568788848765
アクシアル　リテイリング,2020,Q3,87.66081665432415
アクシアル　リテイリング,2020,Q4,68.71857985523182
アクセル,2018,Q1,4.971361568034887
アクセル,2018,Q2,-43.89166923509121
アクセル,2018,Q3,-9.135015014613325
アクセル,2018,Q4,-14.795135273385739
アクセル,2019,Q1,-58.939256480834196
アクセル,2019,Q2,-5.9379244872287575
アクセル,2019,Q3,-43.21587584889435
アクセル,2019,Q4,-5.5408422811009626
アクセル,2020,Q1,-1.8805676998040064
アクセル,2020,Q2,16.53224882306764
アクセル,2020,Q3,5.1147231609881025
アクセル,2020,Q4,7.778901152626274
アジアパイルホールディングス,2018,Q1,10.486003799998555
アジアパイルホールディングス,2018,Q2,24.263428865918506
アジアパイルホールディングス,2018,Q3,29.231640584804552
アジアパイルホールディングス,2018,Q4,13.517653428389917
アジアパイルホールディングス,2019,Q1,21.437876861436614
アジアパイルホールディングス,2019,Q2,27.046443807807474
アジアパイルホールディングス,2019,Q3,15.762219541139377
アジアパイルホールディングス,2019,Q4,10.864542690071332
アジアパイルホールディングス,2020,Q1,21.72484865732701
アジアパイルホールディングス,2020,Q2,25.022812463764915
アジアパイルホールディングス,2020,Q3,19.363008606389496
アジアパイルホールディングス,2020,Q4,11.119818623086983
アステラス製薬,2018,Q1,18.93893863472141
アステラス製薬,2018,Q2,21.53770760117619
アステラス製薬,2018,Q3,28.311418782329554
アステラス製薬,2018,Q4,17.82677283141422
アステラス製薬,2019,Q1,23.760921640629498
