,決算期,決算発表日,決算月数,売上高・営業収益,売上総利益,営業利益,経常利益／税金等調整前当期純利益,当期純利益（連結）,１株当たり利益,販売費及び一般管理費,棚卸資産,資本的支出,期末従業員数,受取手形・売掛金／売掛金及びその他の短期債権
37,2011-09-01,2011-11-08,6.0,4574872.0,666315.0,75390.0,79128.0,103474.0,25.65,447307.0,1429363.0,754138.0,322809.0,1573116.0
38,2011-12-01,2012-02-07,9.0,4865205.0,739158.0,149684.0,198602.0,101723.0,25.81,460886.0,1465876.0,1018390.0,324747.0,1560153.0
39,2012-03-01,2012-05-09,12.0,5702526.0,916543.0,238516.0,235674.0,160246.0,38.379999999999995,519123.0,1622282.0,1532082.0,325905.0,2012831.0
40,2012-06-01,2012-08-03,3.0,5501573.0,960700.0,353143.0,415203.0,321630.0,91.68,475598.0,1625803.0,439043.0,328762.0,1770548.0
41,2012-09-01,2012-11-05,6.0,5406781.0,962378.0,340607.0,379334.0,285918.0,81.44999999999999,488671.0,1566995.0,842528.0,330189.0,1697071.0
42,2012-12-01,2013-02-05,9.0,5318752.0,883235.0,124757.0,131249.0,122083.0,31.55000000000001,595939.0,1623827.0,1361691.0,331876.0,1568066.0
43,2013-03-01,2013-05-08,12.0,5837086.0,1247310.0,502381.0,477863.0,353851.0,99.13999999999999,542101.0,1715786.0,1974152.0,333498.0,1987534.0
44,2013-06-01,2013-08-02,3.0,6255319.0,1452863.0,663383.0,724163.0,603971.0,177.45,569683.0,1863046.0,643279.0,337685.0,1838834.0
45,2013-09-01,2013-11-06,6.0,6282166.0,1378196.0,592092.0,619362.0,461165.0,138.35000000000002,589743.0,1885416.0,1333384.0,338475.0,1788720.0
46,2013-12-01,2014-02-04,9.0,6585044.0,1451287.0,600509.0,678956.0,560494.0,165.8,637342.0,1889127.0,2083838.0,338623.0,1831092.0
47,2014-03-01,2014-05-08,12.0,6569382.0,1421320.0,436128.0,418599.0,366018.0,93.69999999999993,801892.0,1894704.0,2779719.0,338875.0,2055012.0
48,2014-06-01,2014-08-05,3.0,6390688.0,1494602.0,692728.0,771826.0,617182.0,185.43,602785.0,1972856.0,796300.0,342872.0,1793667.0
49,2014-09-01,2014-11-05,6.0,6554909.0,1525419.0,659218.0,737348.0,564297.0,170.64999999999998,643321.0,2062906.0,1557617.0,343511.0,1918624.0
50,2014-12-01,2015-02-04,9.0,7170017.0,1693864.0,762880.0,846461.0,635489.0,189.86000000000007,689348.0,2133775.0,2373362.0,343716.0,1986294.0
51,2015-03-01,2015-05-08,12.0,7118907.0,1604274.0,635738.0,537193.0,490936.0,142.07999999999993,706827.0,2137618.0,3470959.0,344109.0,2149509.0
52,2015-06-01,2015-08-04,3.0,6987648.0,1738858.0,756001.0,845259.0,678204.0,205.41,674482.0,2201802.0,1594721.0,349131.0,1922211.0
53,2015-09-01,2015-11-05,6.0,7103840.0,1833843.0,827404.0,829892.0,642241.0,193.98,726063.0,2195186.0,3079472.0,349508.0,1988350.0
54,2015-12-01,2016-02-05,9.0,7339882.0,1733523.0,722266.0,777761.0,663372.0,202.05000000000007,730674.0,2104725.0,3773177.0,349766.0,1915883.0
55,2016-03-01,2016-05-11,12.0,6971748.0,1640808.0,548300.0,530469.0,450394.0,139.91999999999996,812463.0,2061511.0,5121960.0,348877.0,2084118.0
56,2016-06-01,2016-08-04,3.0,6589113.0,1575305.0,642230.0,677056.0,579231.0,181.12,667657.0,1958499.0,960066.0,354974.0,1790851.0
