,,,,,,決算期,決算月数,決算種別フラグ,連結基準フラグ,実績・予想フラグ,資料公表日／決算発表日,決算期初日,決算期末日,最新予想フラグ,売上高＜累計＞,営業利益＜累計＞,経常利益＜累計＞,潜在株式調整後１株当たり利益＜累計＞,１株当たり利益＜累計＞,親会社株主に帰属する当期利益［連結］／当期利益［単独］＜累計＞,当期利益＜累計＞,売上高＜３ヵ月＞,営業利益＜３ヵ月＞,経常利益＜３ヵ月＞,親会社株主に帰属する当期利益［連結］／当期利益［単独］＜３ヵ月＞,１株当たり利益＜３ヵ月＞,当期利益＜３ヵ月＞
,,,,,,FINHISA'ACC,FINHISA'MACC,FINHISA'HACC,FINHISA'SECFLG,FINHISA'RPFLG,FINHISA'PUBLISHDATE,FINHISA'CE001,FINHISA'CE002,FINHISA'CE066,FINHISA'CE003,FINHISA'CE004,FINHISA'CE005,FINHISA'CE009,FINHISA'CE007,FINHISA'CE006,FINHISA'CE008,FINHISA'CE011,FINHISA'CE012,FINHISA'CE013,FINHISA'CE014,FINHISA'CE015,FINHISA'CE016
,,,,,,年月,ヶ月,2桁コード,1桁コード,1桁コード,年月日,年月日,年月日,1桁コード,百万円,百万円,百万円,円,円,百万円,百万円,百万円,百万円,百万円,百万円,円,百万円
トヨタ自動車,T7203,月次(M),2008/06,#2002,#2002,2008/06,3,21,2,2,2009/08/04,2008/04/01,2008/06/30,-,6215130,412591,453054,112.28,112.3,353659,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2008/09,#0001,#0001,2008/09,6,22,2,0,2008/05/08,-,-,0,12200000,750000,800000,-,190.52,600000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2008/09,#0002,#0002,2008/09,6,22,2,0,2008/08/07,-,-,1,12200000,750000,800000,-,190.52,600000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2008/09,#2001,#2001,2008/09,6,22,2,2,2008/11/06,2008/04/01,2008/09/30,-,12190405,582068,636487,156.9,156.92,493469,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2008/09,#2002,#2002,2008/09,6,22,2,2,2009/11/05,2008/04/01,2008/09/30,-,12190405,582068,636487,156.9,156.92,493469,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2008/12,#2001,#2001,2008/12,9,23,2,2,2009/02/06,2008/04/01,2008/12/31,-,16993248,221517,354348,104.66,104.66,328828,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2008/12,#2002,#2002,2008/12,9,23,2,2,2010/02/04,2008/04/01,2008/12/31,-,16993248,221517,354348,104.66,104.66,328828,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2009/03,#0001,#0001,2009/03,12,10,2,0,2008/05/08,-,-,0,25000000,1600000,1700000,-,396.92,1250000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2009/03,#0002,#0002,2009/03,12,10,2,0,2008/08/07,-,-,0,25000000,1600000,1700000,-,396.91,1250000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2009/03,#0003,#0003,2009/03,12,10,2,0,2008/11/06,-,-,0,23000000,600000,640000,-,175.42,550000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2009/03,#0004,#0004,2009/03,12,10,2,0,2008/12/22,-,2009/03/31,0,21500000,-150000,-50000,-,175.42,50000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2009/03,#0005,#0005,2009/03,12,10,2,0,2009/02/06,-,-,1,21000000,-450000,-500000,-,-111.6,-350000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2009/03,#2001,#2001,2009/03,12,10,2,2,2009/05/08,2008/04/01,2009/03/31,-,20529570,-461011,-560381,-139.13,-139.13,-436937,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2009/03,#2002,#2002,2009/03,12,10,2,2,2010/05/11,2008/04/01,2009/03/31,-,20529570,-461011,-560381,-139.13,-139.13,-436937,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2009/06,#2001,#2001,2009/06,3,21,2,2,2009/08/04,2009/04/01,2009/06/30,-,3836077,-194863,-138508,-24.82,-24.82,-77822,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2009/06,#2002,#2002,2009/06,3,21,2,2,2010/08/04,2009/04/01,2009/06/30,-,3836077,-194863,-138508,-24.82,-24.82,-77822,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2009/09,#0001,#0001,2009/09,6,22,2,0,2009/05/08,2009/04/01,2009/09/30,0,7600000,-600000,-600000,-,-143.5,-450000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2009/09,#0002,#0002,2009/09,6,22,2,0,2009/08/04,2009/04/01,2009/09/30,1,7800000,-400000,-350000,-,-79.72,-250000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2009/09,#2001,#2001,2009/09,6,22,2,2,2009/11/05,2009/04/01,2009/09/30,-,8377643,-136859,-62975,-17.85,-17.85,-55986,-,-,-,-,-,-,-
