企業名,登記上本店所在地‐住所,登記上本店所在地‐地域コード,本社事務所所在地‐住所,本社事務所所在地‐地域コード,実質上設立年月日,形式上設立年月日,所属団体１,所属団体２,所属団体３,所属商工会議所
クロスキャット,東京都港区港南１－２－７０,13103,東京都港区港南１－２－７０　品川シーズンテラス,13103,1973/06/01,1973/06/01,情報サービス産業協会,ＩＴＡ,-,東京商工会議所
クロップス,名古屋市中村区名駅４－２３－９,23105,名古屋市中村区名駅４－２３－９,23105,1977/11/02,1977/11/02,全国携帯電話販売代理店協会,-,-,-
クワザワホールディングス,札幌市白石区中央二条７－１－１,01104,札幌市白石区中央二条７－１－１,01104,1951/02/01,1951/02/01,北海道建材協会,-,-,札幌商工会議所
グランディハウス,栃木県宇都宮市大通り４－３－１８,09201,栃木県宇都宮市大通り４－３－１８,09201,1991/04/10,1991/04/10,栃木県宅地建物取引業協会,全国宅地建物取引業保証協会,首都圏不動産公正取引協議会,宇都宮商工会議所
グリムス,東京都品川区東品川２－２－４,13109,東京都品川区東品川２－２－４　天王洲ファーストタワー,13109,2005/07/04,2005/07/04,-,-,-,東京商工会議所
グルメ杵屋,大阪市住之江区北加賀屋３－４－７,27125,大阪市住之江区北加賀屋３－４－７,27125,1967/03/18,1967/03/18,日本フードサービス協会,大阪外食産業協会,日本ショッピングセンター協会,大阪商工会議所
グローセル,東京都千代田区神田司町２－１,13101,東京都千代田区神田司町２－１,13101,1954/12/23,1954/12/23,東京都電機卸商業協同組合,-,-,東京商工会議所
グローブライド,東京都東久留米市前沢３－１４－１６,13222,東京都東久留米市前沢３－１４－１６,13222,1958/07/29,1945/12/26,日本釣振興会,日本釣用品工業会,日本ゴルフ用品協会,-
グローリー,兵庫県姫路市下手野１－３－１,28201,兵庫県姫路市下手野１－３－１,28201,1944/11/27,1944/11/27,日本自動販売システム,機械工業会,-,姫路商工会議所
グンゼ,京都府綾部市青野町膳所１,26203,大阪市北区梅田２－５－２５　ハービスＯＳＡＫＡオフィスタワー,27127,1896/08/10,1896/08/10,日本アパレル・ファッション産業,日本靴下協会,-,大阪商工会議所
ケンコーマヨネーズ,神戸市灘区都通３－３－１６,28102,東京都杉並区高井戸東３－８－１３　ＮＡＦ第３ビル,13115,1958/03/01,1958/03/01,マヨネーズ・ドレッシング類協会,-,-,東京商工会議所
ケーズホールディングス,茨城県水戸市柳町１－１３－２０,08201,茨城県水戸市桜川１－１－１,08201,1973/09/29,1980/09/22,全国家庭電器公正取引協議会,茨城県電機商工組合,-,水戸商工会議所
ケーユーホールディングス,東京都町田市鶴間８－１７－１,13209,東京都町田市鶴間８－１７－１,13209,1972/10/26,1972/10/26,-,-,-,町田商工会議所
ゲオホールディングス,名古屋市中区富士見町８－８,23106,名古屋市中区富士見町８－８　ＯＭＣビル,23106,1989/01/10,1989/01/10,-,-,-,-
コア,東京都世田谷区三軒茶屋１－２２－３　コアビル,13112,東京都世田谷区三軒茶屋１－２２－３　コアビル,13112,1969/12/11,1969/12/11,組込みシステム技術協会,情報サービス産業協会,-,-
コニカミノルタ,東京都千代田区丸の内２－７－２,13101,東京都千代田区丸の内２－７－２　ＪＰタワー,13101,1936/12/22,1936/12/22,ＪＢＭＩＡ,電子情報技術産業協会,日本画像医療システム工業会,東京商工会議所
コニシ,大阪市中央区道修町１－６－１０,27128,大阪市中央区道修町１－７－１,27128,1925/09/25,1925/09/25,日本接着剤工業会,日本シーリング材工業会,日本フロアーポリッシュ工業会,大阪商工会議所
コネクシオ,東京都新宿区西新宿８－１７－１,13104,東京都新宿区西新宿８－１７－１　住友不動産新宿グランドタワー,13104,1997/08/19,1997/08/19,全国携帯電話販売代理店協会,-,-,-
コマツ,東京都港区赤坂２－３－６,13103,東京都港区赤坂２－３－６,13103,1921/05/13,1921/05/13,日本建設機械工業会,日本鍛圧機械工業会,-,東京商工会議所
コムシスホールディングス,東京都品川区東五反田２－１７－１,13109,東京都品川区東五反田２－１７－１,13109,2003/09/29,2003/09/29,-,-,-,-
コムチュア,東京都品川区大崎１－１１－２,13109,東京都品川区大崎１－１１－２,13109,1985/01/18,1985/01/18,ＪＩＳＡ,ＪＡＳＰＡ,ＩＴコーディネータ協会,東京商工会議所
コメリ,新潟市南区清水４５０１－１,15106,新潟市南区清水４５０１－１,15106,1962/07/02,1962/07/02,日本ＤＩＹ・ＨＣ協会,-,-,新潟商工会議所
コロナ,新潟県三条市東新保７－７,15204,新潟県三条市東新保７－７,15204,1950/07/03,1950/07/03,日本ガス石油機器工業会,日本冷凍空調工業会,日本電機工業会,三条商工会議所
コロワイド,横浜市西区みなとみらい２－２－１　ランドマークタワー,14103,横浜市西区みなとみらい２－２－１　ランドマークタワー,14103,1963/04/19,1963/04/19,日本フードサービス協会,-,-,東京商工会議所
コンドーテック,大阪市西区境川２－２－９０,27106,大阪市西区境川２－２－９０,27106,1953/01/14,1953/01/14,全日本ロープ加工組合連合会,仮設工業会,日本貿易振興機構,大阪商工会議所
