企業名,登記上本店所在地‐住所,登記上本店所在地‐地域コード,本社事務所所在地‐住所,本社事務所所在地‐地域コード,実質上設立年月日,形式上設立年月日,所属団体１,所属団体２,所属団体３,所属商工会議所
コーセー,東京都中央区日本橋３－６－２,13102,東京都中央区日本橋３－６－２,13102,1948/06/11,1948/06/11,東京化粧品工業会,-,-,東京商工会議所
ゴールドウイン,富山県小矢部市清沢２１０,16209,東京都渋谷区松濤２－２０－６,13113,1951/12/22,1948/04/01,全国運動用品商工団体連合会,日本スポーツ用品工業協会,東京スポーツ用品工業協同組合,東京商工会議所
ゴールドクレスト,東京都千代田区大手町２－１－１,13101,東京都千代田区大手町２－１－１,13101,1992/01/22,1968/01/17,不動産協会,全国住宅産業協会,不動産流通経営協会,-
サイネックス,大阪市天王寺区上本町５－３－１５,27109,大阪市天王寺区上本町５－３－１５,27109,1966/02/25,1966/02/25,-,-,-,大阪商工会議所
サカイオーベックス,福井市花堂中２－１５－１,18201,福井市花堂中２－１５－１,18201,1934/10/03,1934/10/03,日本染色協会,福井県繊維協会,福井県染色同業会,福井商工会議所
サカイ引越センター,堺市堺区石津北町５６,27141,堺市堺区石津北町５６,27141,1979/09/19,1956/03/26,大阪府トラック協会,-,-,堺商工会議所
サクサホールディングス,東京都港区白金１－１７－３　ＮＢＦプラチナタワー,13103,東京都港区白金１－１７－３　ＮＢＦプラチナタワー,13103,2004/02/02,2004/02/02,-,-,-,東京商工会議所
サックスバー　ホールディングス,東京都葛飾区新小岩１－４８－１４,13122,東京都葛飾区新小岩１－４８－１４,13122,1974/08/01,1974/08/01,日本専門店協会,-,-,東京商工会議所
サトーホールディングス,東京都港区芝浦３－１－１,13103,東京都港区芝浦３－１－１　ｍｓｂＴａｍａｃｈｉ田町ステーションタワーＮ,13103,1951/05/16,1951/05/16,日本自動認識システム協会,流通システム開発センター,ユビキタスＩＤセンター,東京商工会議所
サニックス,福岡市博多区博多駅東２－１－２３,40132,福岡市博多区博多駅東２－１－２３,40132,1978/09/12,1978/09/12,日本ペストコントロール協会,福岡県産業廃棄物協会,全国賃貸管理ビジネス協会,福岡商工会議所
サンケン電気,埼玉県新座市北野３－６－３,11230,埼玉県新座市北野３－６－３,11230,1946/09/05,1946/09/05,通信機械工業会,電子情報技術産業協会,-,-
サンゲツ,名古屋市西区幅下１－４－１,23104,名古屋市西区幅下１－４－１,23104,1953/04/21,1936/09/24,日本壁装協会,ＮＩＦ,インテリア産業協会,名古屋商工会議所
サンコール,京都市右京区梅津西浦町１４,26108,京都市右京区梅津西浦町１４,26108,1943/06/02,1943/06/02,日本ばね工業会,協豊会,-,京都商工会議所
サンデンホールディングス,群馬県伊勢崎市寿町２０,10204,群馬県伊勢崎市寿町２０,10204,1943/07/30,1943/07/30,日本冷凍空調工業会,日本自動車部品工業会,-,伊勢崎商工会議所
サンドラッグ,東京都府中市若松町１－３８－１,13206,東京都府中市若松町１－３８－１,13206,1980/07/07,1980/07/07,オールジャパンドラッグ,日本チェーンドラッグストア協会,-,むさし府中商工会議所
サンフロンティア不動産,東京都千代田区有楽町１－２－２,13101,東京都千代田区有楽町１－２－２　東宝日比谷ビル,13101,1999/04/08,1999/04/08,不動産流通経営協会,全日本不動産協会,不動産保証協会,東京商工会議所
サンマルクホールディングス,岡山市北区平田１７３－１０４,33101,岡山市北区平田１７３－１０４,33101,1991/07/19,1991/07/19,-,-,-,岡山商工会議所
サンリオ,東京都品川区大崎１－６－１,13109,東京都品川区大崎１－１１－１,13109,1960/08/10,1949/04/23,-,-,-,東京商工会議所
サンリツ,東京都港区港南２－１２－３２,13103,東京都港区港南２－１２－３２,13103,1948/03/27,1948/03/27,東日本梱包工業組合,東京都トラック協会,日本梱包管理士会,東京商工会議所
サンワテクノス,東京都中央区京橋３－１－１,13102,東京都中央区京橋３－１－１　東京スクエアガーデン,13102,1949/11/04,1949/11/04,-,-,-,東京商工会議所
シキボウ,大阪市中央区備後町３－２－６,27128,大阪市中央区備後町３－２－６,27128,1892/08/05,1892/08/05,日本紡績協会,-,-,大阪商工会議所
システムリサーチ,名古屋市中村区岩塚本通２－１２,23105,名古屋市中村区岩塚本通２－１２,23105,1981/03/26,1981/03/26,愛知県情報サービス産業協会,-,-,名古屋商工会議所
シスメックス,神戸市中央区脇浜海岸通１－５－１,28110,神戸市中央区脇浜海岸通１－５－１,28110,1968/02/20,1978/03/07,日本臨床検査薬協会,電子情報技術産業協会,-,神戸商工会議所
シチズン時計,東京都西東京市田無町６－１－１２,13229,東京都西東京市田無町６－１－１２,13229,1930/05/28,1930/05/28,-,-,-,-
シップヘルスケアホールディング,大阪府吹田市春日３－２０－８,27205,大阪府吹田市春日３－２０－８,27205,1992/08/27,1992/08/27,-,-,-,-
シモジマ,東京都台東区浅草橋５－２９－８,13106,東京都台東区浅草橋５－２９－８,13106,1962/04/26,1962/04/26,全日本包装資材連合会,-,-,東京商工会議所
シャープ,堺市堺区匠町１,27141,堺市堺区匠町１,27141,1935/05/02,1935/05/02,電子情報技術産業協会,日本電機工業会,ビジネス機械・情報システム産業,大阪商工会議所
シンニッタン,茨城県高萩市上手綱３３３３－３,08214,川崎市川崎区貝塚１－１３－１　ＳＮＴビル,14131,1948/11/15,1948/11/15,日本鍛造協会,仮設工業会,軽仮設リース業協会,-
シンフォニア　テクノロジー,東京都港区芝大門１－１－３０　芝ＮＢＦタワー,13103,東京都港区芝大門１－１－３０　芝ＮＢＦタワー,13103,1949/08/18,1949/08/18,日本電機工業会,日本航空宇宙工業会,日本工作機器工業会,東京商工会議所
シーティーエス,長野県上田市古里１１５,20203,長野県上田市古里１１５,20203,1990/11/20,1990/11/20,-,-,-,上田商工会議所
シード,東京都文京区本郷２－４０－２,13105,東京都文京区本郷２－４０－２,13105,1957/10/09,1957/10/09,コンタクトレンズ協会,-,-,-
ジェイテクト,愛知県刈谷市朝日町１－１,23210,愛知県刈谷市朝日町１－１,23210,1935/01/18,1935/01/18,日本ベアリング工業会,日本工作機械工業会,日本自動車部品工業会,大阪商工会議所
ジェコス,東京都中央区日本橋浜町２－３１－１,13102,東京都中央区日本橋浜町２－３１－１　浜町センタービル,13102,1968/06/20,1946/08/01,重仮設業協会,-,-,東京商工会議所
ジャストシステム,徳島市川内町平石若松１０８－４,36201,東京都新宿区西新宿６－８－１　住友不動産新宿オークタワー,13104,1981/06/02,1980/09/26,ＡＣＣＳ,-,-,東京商工会議所
ジャパンフーズ,千葉県長生郡長柄町皿木２０３－１,12426,千葉県長生郡長柄町皿木２０３－１,12426,1976/12/23,1976/12/23,全国清涼飲料水工業会,日本清涼飲料検査協会,全国飲用牛乳公正取引協議会,東京商工会議所
