企業名,日経業種コード,日経業種名（漢字）,日経業種名（英文）,日経業種大分類,日経業種中分類,日経業種小分類,東証業種コード,東証業種名（漢字）,東証業種名（英文）,日本標準産業分類（１）,日本標準産業分類（２）,日本標準産業分類（３）
タカミヤ,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000007022,000000000,000000000
タカラスタンダード,133325,その他製造業,"Manufacturing, NEC",1,33,325,3800,その他製品,Other Products,000002199,000002432,000000000
タカラトミー,133325,その他製造業,"Manufacturing, NEC",1,33,325,3800,その他製品,Other Products,000003251,000000000,000000000
タカラバイオ,109082,医家向医薬品,Ethical Drugs,1,09,082,3200,化学,Chemicals,000001652,000001653,000001697
タカラレーベン,253522,分譲,Real Estate - Sales,2,53,522,8050,不動産業,Real Estate,000006811,000000000,000000000
タキロンシーアイ,107065,合成樹脂,Plastics,1,07,065,3200,化学,Chemicals,000001811,000001845,000000000
タクマ,121210,その他機械,"Machinery, NEC",1,21,210,3600,機械,Machinery,000002599,000000000,000000000
タダノ,121204,運搬機・建設機械・内燃機,Construction Machines,1,21,204,3600,機械,Machinery,000002533,000000000,000000000
タチエス,127262,自動車部品,Auto Parts & Accessories,1,27,262,3700,輸送用機器,Transport Equipment,000003113,000000000,000000000
タツタ電線,119184,電線・ケーブル,Wire & Cable,1,19,184,3500,非鉄金属,Nonferrous Metals,000002341,000000000,000000000
タナベ経営,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000007281,000000000,000000000
タムラ製作所,123224,通信機（含通信機部品）,Communication Equipment,1,23,224,3650,電気機器,Electric Appliances,000002912,000003011,000003013
ダイオーズ,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000005893,000007099,000000000
ダイキン工業,121210,その他機械,"Machinery, NEC",1,21,210,3600,機械,Machinery,000002535,000001636,000000000
ダイコク電機,121210,その他機械,"Machinery, NEC",1,21,210,3600,機械,Machinery,000002722,000000000,000000000
ダイジェット工業,121201,工作機械,Machine Tools,1,21,201,3600,機械,Machinery,000002664,000002661,000000000
ダイセル,107065,合成樹脂,Plastics,1,07,065,3200,化学,Chemicals,000001632,000001635,000000000
ダイダン,241406,その他建設,Special Constructions,2,41,406,2050,建設業,Construction,000000832,000000811,000000000
ダイトウボウ,103024,毛紡績,Wool Spinning & Weaving,1,03,024,3100,繊維製品,Textile & Apparels,000001123,000000000,000000000
ダイドーリミテッド,103024,毛紡績,Wool Spinning & Weaving,1,03,024,3100,繊維製品,Textile & Apparels,000001123,000001161,000001162
ダイニチ工業,119186,その他金属製品,"Metal Products, NEC",1,19,186,3550,金属製品,Metal Products,000002432,000000000,000000000
ダイニック,103025,繊維二次加工,Finished Textile Goods,1,03,025,3100,繊維製品,Textile & Apparels,000001431,000001157,000000000
ダイビル,253521,賃貸,Real Estate - Rental,2,53,521,8050,不動産業,Real Estate,000006911,000006912,000000000
ダイフク,121204,運搬機・建設機械・内燃機,Construction Machines,1,21,204,3600,機械,Machinery,000002533,000003199,000000000
ダイヘン,123222,重電,Heavy Electric,1,23,222,3650,電気機器,Electric Appliances,000002912,000002921,000000000
ダイワボウホールディングス,243428,電機関連商社,Wholesale - Electric Goods,2,43,428,6050,卸売業,Wholesale Trade,000005432,000001114,000002661
ダスキン,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000007813,000000000,000000000
チノー,123226,制御機器,Electric Industrial Controls,1,23,226,3650,電気機器,Electric Appliances,000002971,000002899,000000000
ツカモトコーポレーション,243424,繊維商社,Wholesale - Fabrics & Apparel,2,43,424,6050,卸売業,Wholesale Trade,000005129,000005122,000000000
ツガミ,121201,工作機械,Machine Tools,1,21,201,3600,機械,Machinery,000002661,000000000,000000000
ツツミ,133325,その他製造業,"Manufacturing, NEC",1,33,325,3800,その他製品,Other Products,000003211,000003212,000000000
ツムラ,109082,医家向医薬品,Ethical Drugs,1,09,082,3250,医薬品,Pharmaceutical,000001654,000000000,000000000
ティアック,123223,家庭電器（含音響機器）,Household Appliances,1,23,223,3650,電気機器,Electric Appliances,000003039,000003023,000000000
ティーガイア,265641,通信,Communication Services,2,65,641,5250,情報・通信業,Information & Communication,000003731,000005432,000000000
テイカ,107071,その他化学,"Chemical Products, NEC",1,07,071,3200,化学,Chemicals,000001622,000001643,000000000
テイクアンドギヴ・ニーズ,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000007992,000007999,000000000
テイ・エス　テック,127262,自動車部品,Auto Parts & Accessories,1,27,262,3700,輸送用機器,Transport Equipment,000003113,000000000,000000000
テクノメディカ,123229,その他電気機器,"Electric Equipment, NEC",1,23,229,3650,電気機器,Electric Appliances,000002973,000000000,000000000
テクマトリックス,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003911,000003913,000000000
テルモ,131303,計器・その他,"Measuring Devices, NEC",1,31,303,3750,精密機器,Precision Instruments,000002741,000001651,000000000
テレビ朝日ホールディングス,265641,通信,Communication Services,2,65,641,5250,情報・通信業,Information & Communication,000003821,000000000,000000000
テンアライド,271704,その他サービス業,Miscellaneous Services,2,71,704,6100,小売業,Retail Trade,000007651,000009299,000000000
テーオーシー,253521,賃貸,Real Estate - Rental,2,53,521,8050,不動産業,Real Estate,000006911,000006912,000000000
ディスコ,131303,計器・その他,"Measuring Devices, NEC",1,31,303,3600,機械,Machinery,000002661,000002664,000000000
ディーブイエックス,243425,機械金属商社,Wholesale - Machinery &   Metals,2,43,425,6050,卸売業,Wholesale Trade,000005493,000000000,000000000
デサント,243424,繊維商社,Wholesale - Fabrics & Apparel,2,43,424,3100,繊維製品,Textile & Apparels,000005593,000000000,000000000
デリカフーズホールディングス,243423,食品商社,Wholesale - Foods,2,43,423,6050,卸売業,Wholesale Trade,000005213,000000000,000000000
デンカ,107065,合成樹脂,Plastics,1,07,065,3200,化学,Chemicals,000001634,000001629,000000000
デンソー,123228,自動車関連,Electric Auto Parts,1,23,228,3700,輸送用機器,Transport Equipment,000003113,000002859,000000000
デンヨー,123222,重電,Heavy Electric,1,23,222,3650,電気機器,Electric Appliances,000002911,000002921,000002522
トクヤマ,107063,塩素・ソーダ,Alkali & Chlorine,1,07,063,3200,化学,Chemicals,000001621,000002121,000000000
トッパン・フォームズ,133321,印刷,Printing,1,33,321,3800,その他製品,Other Products,000001441,000000000,000000000
トナミホールディングス,257561,陸運,Trucking,2,57,561,5050,陸運業,Land Transportation,000004411,000004711,000000000
トピー工業,129283,その他輸送用機器,"Transportation Equipment, NEC",1,29,283,3700,輸送用機器,Transport Equipment,000002451,000003113,000000000
トプコン,131302,カメラ,Optical Instrument,1,31,302,3750,精密機器,Precision Instruments,000002741,000002737,000002752
トヨタ紡織,127262,自動車部品,Auto Parts & Accessories,1,27,262,3700,輸送用機器,Transport Equipment,000003113,000000000,000000000
トヨタ自動車,127261,自動車,Motor Vehicles,1,27,261,3700,輸送用機器,Transport Equipment,000003111,000003113,000000000
トランコム,263622,運輸関連,Harbor Transportation,2,63,622,5200,倉庫・運輸関連業,Warehousing and Harbor transportation,000003922,000004411,000000000
トランスコスモス,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000003921,000000000,000000000
トーエネック,241404,電設工事,Electric Plant Construction,2,41,404,2050,建設業,Construction,000000811,000000000,000000000
トーカイ,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000007099,000006099,000000000
トーカロ,119186,その他金属製品,"Metal Products, NEC",1,19,186,3550,金属製品,Metal Products,000002462,000002469,000000000
トーメンデバイス,243428,電機関連商社,Wholesale - Electric Goods,2,43,428,6050,卸売業,Wholesale Trade,000005432,000000000,000000000
トーモク,105042,その他パルプ・紙,Other Paper,1,05,042,3150,パルプ・紙,Pulp & Paper,000001453,000000000,000000000
トーヨーカネツ,121206,化工機械,Special Industrial Machcnes,1,21,206,3600,機械,Machinery,000002446,000002533,000000000
ドウシシャ,243429,その他商社,Miscellaneous Wholesales,2,43,429,6050,卸売業,Wholesale Trade,000005599,000000000,000000000
ナイス,243427,建材商社,Wholesale - Lumber & Building  Materials,2,43,427,6050,卸売業,Wholesale Trade,000005311,000006811,000000000
ナカノフドー建設,241402,中堅建設,Other General Construction,2,41,402,2050,建設業,Construction,000000641,000000611,000000000
ナカバヤシ,133324,事務用品,Office Supplies,1,33,324,3800,その他製品,Other Products,000001442,000001531,000000000
ナカヨ,123224,通信機（含通信機部品）,Communication Equipment,1,23,224,3650,電気機器,Electric Appliances,000003011,000000000,000000000
ナガワ,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000006099,000003299,000007022
ナック,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000007099,000005599,000000000
ニコン,131302,カメラ,Optical Instrument,1,31,302,3750,精密機器,Precision Instruments,000002752,000003297,000002751
ニチアス,115143,セメント二次,Concrete Products,1,15,143,3400,ガラス・土石製品,Glass & Ceramics Products,000000611,000002159,000000000
ニチコン,123225,電子部品,Electronic Components,1,23,225,3650,電気機器,Electric Appliances,000002899,000002814,000000000
ニチハ,115143,セメント二次,Concrete Products,1,15,143,3400,ガラス・土石製品,Glass & Ceramics Products,000001226,000000000,000000000
ニチバン,107071,その他化学,"Chemical Products, NEC",1,07,071,3200,化学,Chemicals,000001821,000000000,000000000
ニチモウ,243429,その他商社,Miscellaneous Wholesales,2,43,429,6050,卸売業,Wholesale Trade,000005599,000005216,000000000
ニチレイ,101010,その他食品,"Foods, NEC",1,01,010,3050,食料品,Foods,000000995,000000921,000000000
ニチレキ,111102,石炭石油製品,Oil & Coal Products,1,11,102,3300,石油・石炭製品,Oil & Coal Products,000001741,000000000,000000000
ニッカトー,115144,陶器,Pottery & Related Products,1,15,144,3400,ガラス・土石製品,Glass & Ceramics Products,000002145,000002149,000000000
ニッコンホールディングス,257561,陸運,Trucking,2,57,561,5050,陸運業,Land Transportation,000004821,000004711,000004841
ニッタ,113122,その他ゴム製品,"Rubber Products, NEC",1,13,122,3350,ゴム製品,Rubber Products,000001931,000001932,000000000
ニッパツ,119186,その他金属製品,"Metal Products, NEC",1,19,186,3550,金属製品,Metal Products,000002492,000000000,000000000
ニップン,101003,製粉,Grain Mill Products,1,01,003,3050,食料品,Foods,000000962,000000000,000000000
ニフコ,133325,その他製造業,"Manufacturing, NEC",1,33,325,3200,化学,Chemicals,000001833,000000000,000000000
ニプロ,131303,計器・その他,"Measuring Devices, NEC",1,31,303,3750,精密機器,Precision Instruments,000005361,000005522,000005699
ニホンフラッシュ,133323,建材,Lumber & Wood Products,1,33,323,3800,その他製品,Other Products,000001221,000001331,000000000
ネットワンシステムズ,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000004013,000000821,000005432
ネツレン,119186,その他金属製品,"Metal Products, NEC",1,19,186,3550,金属製品,Metal Products,000002221,000000000,000000000
ノジマ,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000005931,000005939,000000000
ノリタケカンパニーリミテド,115144,陶器,Pottery & Related Products,1,15,144,3400,ガラス・土石製品,Glass & Ceramics Products,000002142,000000000,000000000
ハイマックス,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003911,000003913,000000000
ハウス食品グループ本社,101010,その他食品,"Foods, NEC",1,01,010,3050,食料品,Foods,000000949,000000995,000001011
ハピネット,243429,その他商社,Miscellaneous Wholesales,2,43,429,6050,卸売業,Wholesale Trade,000006072,000000000,000000000
ハマキョウレックス,257561,陸運,Trucking,2,57,561,5050,陸運業,Land Transportation,000004411,000000000,000000000
ハリマ化成グループ,107067,油脂・洗剤,"Oils, Fats & Soap",1,07,067,3200,化学,Chemicals,000001639,000000000,000000000
ハークスレイ,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000005899,000000000,000000000
ハードオフコーポレーション,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000006098,000006062,000005933
バルカー,107065,合成樹脂,Plastics,1,07,065,3200,化学,Chemicals,000001897,000001933,000001822
バローホールディングス,245442,スーパー,Supermarket Chains,2,45,442,6100,小売業,Retail Trade,000005811,000000000,000000000
バンダイナムコホールディングス,133325,その他製造業,"Manufacturing, NEC",1,33,325,3800,その他製品,Other Products,000003251,000008065,000003296
バンドー化学,113122,その他ゴム製品,"Rubber Products, NEC",1,13,122,3350,ゴム製品,Rubber Products,000001931,000001821,000000000
パイオラックス,119186,その他金属製品,"Metal Products, NEC",1,19,186,3550,金属製品,Metal Products,000002492,000000000,000000000
パスコ,261601,空運,Air Transportation,2,61,601,5150,空運業,Air Transportation,000007422,000003911,000000000
パナソニック,123223,家庭電器（含音響機器）,Household Appliances,1,23,223,3650,電気機器,Electric Appliances,000003014,000002939,000003023
ヒロセ電機,123224,通信機（含通信機部品）,Communication Equipment,1,23,224,3650,電気機器,Electric Appliances,000002899,000000000,000000000
ビジネスエンジニアリング,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003921,000003911,000000000
ビジネスブレイン太田昭和,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000007281,000003913,000003921
ビジネス・ブレークスルー,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000008216,000000000,000000000
ビーアールホールディングス,241403,土木・道路・浚渫,Civil Engineering,2,41,403,2050,建設業,Construction,000000611,000000621,000000000
ビー・エム・エル,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000008492,000000000,000000000
ピエトロ,101008,調味料,Flavoring Extracts,1,01,008,3050,食料品,Foods,000000949,000007629,000000000
ピーエス三菱,241402,中堅建設,Other General Construction,2,41,402,2050,建設業,Construction,000000611,000000000,000000000
ピーシーデポコーポレーション,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000005931,000000000,000000000
ピー・シー・エー,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003911,000003913,000000000
ファナック,123226,制御機器,Electric Industrial Controls,1,23,226,3650,電気機器,Electric Appliances,000003039,000002661,000002694
ファンケル,107068,化粧品・歯磨,Cosmetics & Toilet Goods,1,07,068,3200,化学,Chemicals,000001669,000000999,000000000
フィールズ,243425,機械金属商社,Wholesale - Machinery &   Metals,2,43,425,6050,卸売業,Wholesale Trade,000005419,000000000,000000000
フェイス,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003911,000003921,000000000
フォスター電機,123223,家庭電器（含音響機器）,Household Appliances,1,23,223,3650,電気機器,Electric Appliances,000003023,000003039,000000000
フォーバル,243428,電機関連商社,Wholesale - Electric Goods,2,43,428,6050,卸売業,Wholesale Trade,000005432,000000000,000000000
フクシマガリレイ,121210,その他機械,"Machinery, NEC",1,21,210,3600,機械,Machinery,000002535,000000000,000000000
フコク,113122,その他ゴム製品,"Rubber Products, NEC",1,13,122,3350,ゴム製品,Rubber Products,000001933,000000000,000000000
フジクラ,119184,電線・ケーブル,Wire & Cable,1,19,184,3500,非鉄金属,Nonferrous Metals,000002341,000000000,000000000
フジシールインターナショナル,133325,その他製造業,"Manufacturing, NEC",1,33,325,3800,その他製品,Other Products,000001821,000000000,000000000
フジッコ,101010,その他食品,"Foods, NEC",1,01,010,3050,食料品,Foods,000000996,000000922,000000929
フジテック,121210,その他機械,"Machinery, NEC",1,21,210,3600,機械,Machinery,000002532,000002596,000000000
フジミインコーポレーテッド,115146,カーボン・その他,"Carbon, NEC",1,15,146,3400,ガラス・土石製品,Glass & Ceramics Products,000002171,000000000,000000000
フジ・メディア・ホールディング,265641,通信,Communication Services,2,65,641,5250,情報・通信業,Information & Communication,000003821,000000000,000000000
フジ住宅,253522,分譲,Real Estate - Sales,2,53,522,8050,不動産業,Real Estate,000006811,000000000,000000000
フタバ産業,127262,自動車部品,Auto Parts & Accessories,1,27,262,3700,輸送用機器,Transport Equipment,000003113,000002599,000000000
フランスベッドホールディングス,133325,その他製造業,"Manufacturing, NEC",1,33,325,3800,その他製品,Other Products,000001311,000001312,000001191
ブイ・テクノロジー,131303,計器・その他,"Measuring Devices, NEC",1,31,303,3750,精密機器,Precision Instruments,000002734,000000000,000000000
ブラザー工業,123229,その他電気機器,"Electric Equipment, NEC",1,23,229,3650,電気機器,Electric Appliances,000003269,000002635,000002939
ブルドックソース,101008,調味料,Flavoring Extracts,1,01,008,3050,食料品,Foods,000000943,000000000,000000000
プリマハム,101007,ハム,Meat Products,1,01,007,3050,食料品,Foods,000000912,000000000,000000000
プレサンスコーポレーション,253522,分譲,Real Estate - Sales,2,53,522,8050,不動産業,Real Estate,000006811,000006921,000000000
プレステージ・インターナショナ,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000007499,000000000,000000000
プレス工業,127262,自動車部品,Auto Parts & Accessories,1,27,262,3700,輸送用機器,Transport Equipment,000003112,000000000,000000000
プロシップ,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003913,000003911,000000000
プロトコーポレーション,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000004141,000003922,000000000
プロネクサス,133321,印刷,Printing,1,33,321,3800,その他製品,Other Products,000001511,000001591,000000000
ヘリオス　テクノ　ホールディン,123223,家庭電器（含音響機器）,Household Appliances,1,23,223,3650,電気機器,Electric Appliances,000002942,000002941,000000000
ベネッセホールディングス,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000008216,000004141,000000000
ベネフィット・ワン,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000008096,000000000,000000000
ベルーナ,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000006112,000000000,000000000
ペガサスミシン製造,121207,ミシン・編機,Sawing & Knitting Machines,1,21,207,3600,機械,Machinery,000002635,000000000,000000000
ホウスイ,243423,食品商社,Wholesale - Foods,2,43,423,6050,卸売業,Wholesale Trade,000000312,000000925,000000000
ホギメディカル,103026,その他繊維,Miscellaneous Textile Products,1,03,026,3100,繊維製品,Textile & Apparels,000001157,000001165,000000000
ホクト,235341,水産,Fish & Marine Products,2,35,341,0050,水産・農林業,"Fishery, Agriculture & Forestry",000000113,000000999,000000000
ホシデン,123225,電子部品,Electronic Components,1,23,225,3650,電気機器,Electric Appliances,000002859,000000000,000000000
ホッカンホールディングス,119186,その他金属製品,"Metal Products, NEC",1,19,186,3550,金属製品,Metal Products,000002411,000000000,000000000
ホーチキ,123229,その他電気機器,"Electric Equipment, NEC",1,23,229,3650,電気機器,Electric Appliances,000003019,000002591,000003039
マックス,121209,事務機,Office Machines,1,21,209,3600,機械,Machinery,000002664,000003269,000000000
マツダ,127261,自動車,Motor Vehicles,1,27,261,3700,輸送用機器,Transport Equipment,000003111,000003113,000000000
マルシェ,271704,その他サービス業,Miscellaneous Services,2,71,704,6100,小売業,Retail Trade,000007651,000000000,000000000
マンダム,107068,化粧品・歯磨,Cosmetics & Toilet Goods,1,07,068,3200,化学,Chemicals,000001669,000000000,000000000
マースグループホールディングス,121209,事務機,Office Machines,1,21,209,3600,機械,Machinery,000002719,000002722,000002999
マーベラス,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003914,000003296,000004113
ミクニ,127262,自動車部品,Auto Parts & Accessories,1,27,262,3700,輸送用機器,Transport Equipment,000003113,000000000,000000000
ミスミグループ本社,243425,機械金属商社,Wholesale - Machinery &   Metals,2,43,425,6050,卸売業,Wholesale Trade,000005413,000005419,000000000
ミズノ,133325,その他製造業,"Manufacturing, NEC",1,33,325,3800,その他製品,Other Products,000003253,000000000,000000000
ミツウロコグループホールディン,243429,その他商社,Miscellaneous Wholesales,2,43,429,6050,卸売業,Wholesale Trade,000005331,000005332,000000000
ミツバ,123228,自動車関連,Electric Auto Parts,1,23,228,3650,電気機器,Electric Appliances,000003113,000000000,000000000
ミネベアミツミ,123225,電子部品,Electronic Components,1,23,225,3650,電気機器,Electric Appliances,000002599,000002899,000002594
ミマキエンジニアリング,123229,その他電気機器,"Electric Equipment, NEC",1,23,229,3650,電気機器,Electric Appliances,000003034,000000000,000000000
ミロク情報サービス,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003911,000003913,000005432
メイコー,123225,電子部品,Electronic Components,1,23,225,3650,電気機器,Electric Appliances,000002841,000000000,000000000
メイテック,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000007431,000003911,000000000
メガチップス,123225,電子部品,Electronic Components,1,23,225,3650,電気機器,Electric Appliances,000002813,000002814,000000000
メディパルホールディングス,243426,化学商社,Wholesale - Chemicals,2,43,426,6050,卸売業,Wholesale Trade,000005521,000000000,000000000
メルコホールディングス,123224,通信機（含通信機部品）,Communication Equipment,1,23,224,3650,電気機器,Electric Appliances,000003039,000003033,000000000
メンバーズ,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000003911,000003929,000000000
モスフードサービス,271704,その他サービス業,Miscellaneous Services,2,71,704,6050,卸売業,Wholesale Trade,000007691,000000000,000000000
モリタホールディングス,121210,その他機械,"Machinery, NEC",1,21,210,3700,輸送用機器,Transport Equipment,000002521,000003111,000002591
モリ工業,117162,平電炉・単圧,Ordinary Steel,1,17,162,3450,鉄鋼,Iron & Steel,000002339,000002234,000000000
モーニングスター,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000003922,000009299,000000000
ヤオコー,245442,スーパー,Supermarket Chains,2,45,442,6100,小売業,Retail Trade,000005811,000000000,000000000
ヤクルト本社,101009,乳製品,Dairy Products,1,01,009,3050,食料品,Foods,000000913,000000000,000000000
ヤマタネ,243423,食品商社,Wholesale - Foods,2,43,423,6050,卸売業,Wholesale Trade,000004711,000004821,000005211
ヤマダホールディングス,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000005931,000000000,000000000
ヤマト,241406,その他建設,Special Constructions,2,41,406,2050,建設業,Construction,000000831,000000833,000000000
ヤマトホールディングス,257561,陸運,Trucking,2,57,561,5050,陸運業,Land Transportation,000004411,000004431,000000000
ヤマハ,133322,楽器,Musical Instrument,1,33,322,3800,その他製品,Other Products,000003241,000003249,000000000
ユアサ商事,243425,機械金属商社,Wholesale - Machinery &   Metals,2,43,425,6050,卸売業,Wholesale Trade,000005419,000005319,000000000
ユアテック,241404,電設工事,Electric Plant Construction,2,41,404,2050,建設業,Construction,000000811,000000000,000000000
ユシロ化学工業,111102,石炭石油製品,Oil & Coal Products,1,11,102,3300,石油・石炭製品,Oil & Coal Products,000001721,000000000,000000000
ユナイテッドアローズ,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000005721,000005731,000000000
ユニチカ,103022,綿紡績,Cotton Spinning & Weaving,1,03,022,3100,繊維製品,Textile & Apparels,000001114,000000000,000000000
ユニデンホールディングス,123224,通信機（含通信機部品）,Communication Equipment,1,23,224,3650,電気機器,Electric Appliances,000003011,000003013,000000000
ユニプレス,127262,自動車部品,Auto Parts & Accessories,1,27,262,3700,輸送用機器,Transport Equipment,000003113,000000000,000000000
ユーシン精機,121210,その他機械,"Machinery, NEC",1,21,210,3600,機械,Machinery,000002599,000000000,000000000
ユー・エス・エス,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000009299,000000000,000000000
ヨコオ,123223,家庭電器（含音響機器）,Household Appliances,1,23,223,3650,電気機器,Electric Appliances,000002859,000003253,000000000
ヨロズ,127262,自動車部品,Auto Parts & Accessories,1,27,262,3700,輸送用機器,Transport Equipment,000003113,000000000,000000000
ヨータイ,115145,耐火煉瓦,Bricks,1,15,145,3400,ガラス・土石製品,Glass & Ceramics Products,000002151,000002159,000000000
ライト工業,241406,その他建設,Special Constructions,2,41,406,2050,建設業,Construction,000000799,000000000,000000000
ラウンドワン,271702,娯楽施設,Amusement Services,2,71,702,9050,サービス業,Services,000008045,000000000,000000000
ラサ工業,107071,その他化学,"Chemical Products, NEC",1,07,071,3200,化学,Chemicals,000001612,000000000,000000000
リオン,123223,家庭電器（含音響機器）,Household Appliances,1,23,223,3650,電気機器,Electric Appliances,000003023,000002971,000000000
リケン,121208,軸受,Bearings,1,21,208,3600,機械,Machinery,000002595,000003113,000002251
リケンテクノス,107071,その他化学,"Chemical Products, NEC",1,07,071,3200,化学,Chemicals,000001821,000000000,000000000
リコー,123224,通信機（含通信機部品）,Communication Equipment,1,23,224,3650,電気機器,Electric Appliances,000002711,000003034,000000000
リズム,131301,時計,Watches & Clocks,1,31,301,3750,精密機器,Precision Instruments,000003231,000000000,000000000
リソルホールディングス,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000008043,000007511,000000000
リゾートトラスト,271703,ホテル,Hotels,2,71,703,9050,サービス業,Services,000007592,000000000,000000000
リックス,243425,機械金属商社,Wholesale - Machinery &   Metals,2,43,425,6050,卸売業,Wholesale Trade,000005419,000002523,000000000
リョーサン,243429,その他商社,Miscellaneous Wholesales,2,43,429,6050,卸売業,Wholesale Trade,000005432,000000000,000000000
リログループ,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000009299,000006941,000008096
リンテック,133325,その他製造業,"Manufacturing, NEC",1,33,325,3800,その他製品,Other Products,000001694,000000000,000000000
リンナイ,119186,その他金属製品,"Metal Products, NEC",1,19,186,3550,金属製品,Metal Products,000002432,000000000,000000000
ルネサンス,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000008048,000000000,000000000
レイズネクスト,241406,その他建設,Special Constructions,2,41,406,2050,建設業,Construction,000002652,000000831,000000000
レオパレス２１,253522,分譲,Real Estate - Sales,2,53,522,8050,不動産業,Real Estate,000006811,000006812,000006941
レオン自動機,121210,その他機械,"Machinery, NEC",1,21,210,3600,機械,Machinery,000002641,000000000,000000000
レシップホールディングス,127262,自動車部品,Auto Parts & Accessories,1,27,262,3700,輸送用機器,Transport Equipment,000003113,000002942,000002929
レック,107071,その他化学,"Chemical Products, NEC",1,07,071,3200,化学,Chemicals,000001891,000001199,000000000
レンゴー,105042,その他パルプ・紙,Other Paper,1,05,042,3150,パルプ・紙,Pulp & Paper,000001453,000001432,000000000
ロート製薬,109083,大衆向医薬品,Proprietary Drugs,1,09,083,3250,医薬品,Pharmaceutical,000001652,000000000,000000000
ローム,123225,電子部品,Electronic Components,1,23,225,3650,電気機器,Electric Appliances,000002814,000002813,000002899
ワイエイシイホールディングス,121210,その他機械,"Machinery, NEC",1,21,210,3600,機械,Machinery,000002645,000002599,000000000
ワコム,123229,その他電気機器,"Electric Equipment, NEC",1,23,229,3650,電気機器,Electric Appliances,000003039,000003913,000000000
ワコールホールディングス,103025,繊維二次加工,Finished Textile Goods,1,03,025,3100,繊維製品,Textile & Apparels,000001174,000000000,000000000
ワタミ,271704,その他サービス業,Miscellaneous Services,2,71,704,6100,小売業,Retail Trade,000007621,000007651,000000000
ヴィア・ホールディングス,271704,その他サービス業,Miscellaneous Services,2,71,704,6100,小売業,Retail Trade,000001511,000000000,000000000
三ツ星ベルト,113122,その他ゴム製品,"Rubber Products, NEC",1,13,122,3350,ゴム製品,Rubber Products,000001931,000001933,000000000
三井不動産,253522,分譲,Real Estate - Sales,2,53,522,8050,不動産業,Real Estate,000006811,000006812,000006911
三井住友建設,241402,中堅建設,Other General Construction,2,41,402,2050,建設業,Construction,000000611,000000000,000000000
三井化学,107064,石油化学,Petro-Chemicals,1,07,064,3200,化学,Chemicals,000001631,000001635,000000000
三井松島ホールディングス,237361,石炭鉱業,Coal Mining,2,37,361,1050,鉱業,Mining,000005332,000000000,000000000
